# VVDS template produced by T Contini
# from VVDS deep type 4 galaxies on autumn 2004
# templates have been cut between 2400 and 8000 A
# to avoid noisy parts
# it was also part of yaz custom_c template set
# with the name tspec4
# extended from 8000 to 10000 with Mannucci templates 
# lambda   flux
  2400   0.0       
  2401   0.0       
  2402   0.013405  
  2403   0.012878  
  2404   0.012936  
  2405   0.013504  
  2406   0.013946  
  2407   0.013817  
  2408   0.013646  
  2409   0.013464  
  2410   0.013649  
  2411   0.014018  
  2412   0.014335  
  2413   0.014481  
  2414   0.014052  
  2415   0.013253  
  2416   0.012974  
  2417   0.013186  
  2418   0.013434  
  2419   0.013482  
  2420   0.013551  
  2421   0.014053  
  2422   0.014155  
  2423   0.013762  
  2424   0.013582  
  2425   0.013535  
  2426   0.013433  
  2427   0.013334  
  2428   0.01344   
  2429   0.013038  
  2430   0.01279   
  2431   0.01286   
  2432   0.013356  
  2433   0.014105  
  2434   0.014639  
  2435   0.014427  
  2436   0.013943  
  2437   0.013842  
  2438   0.01374   
  2439   0.013619  
  2440   0.013454  
  2441   0.013163  
  2442   0.012917  
  2443   0.012901  
  2444   0.013304  
  2445   0.014245  
  2446   0.014907  
  2447   0.014858  
  2448   0.014448  
  2449   0.014241  
  2450   0.014458  
  2451   0.014737  
  2452   0.014644  
  2453   0.014279  
  2454   0.014126  
  2455   0.014527  
  2456   0.014826  
  2457   0.014402  
  2458   0.014174  
  2459   0.014247  
  2460   0.014423  
  2461   0.014345  
  2462   0.013861  
  2463   0.013572  
  2464   0.013773  
  2465   0.014219  
  2466   0.014997  
  2467   0.015808  
  2468   0.016225  
  2469   0.015964  
  2470   0.01515   
  2471   0.014046  
  2472   0.014383  
  2473   0.014141  
  2474   0.013354  
  2475   0.013071  
  2476   0.013912  
  2477   0.014373  
  2478   0.01423   
  2479   0.014049  
  2480   0.014217  
  2481   0.015052  
  2482   0.015964  
  2483   0.015953  
  2484   0.015042  
  2485   0.014553  
  2486   0.014498  
  2487   0.014407  
  2488   0.014277  
  2489   0.014227  
  2490   0.014381  
  2491   0.014863  
  2492   0.015782  
  2493   0.015491  
  2494   0.015293  
  2495   0.015701  
  2496   0.015783  
  2497   0.014644  
  2498   0.01402   
  2499   0.013934  
  2500   0.014528  
  2501   0.015121  
  2502   0.014918  
  2503   0.014235  
  2504   0.013938  
  2505   0.013969  
  2506   0.015353  
  2507   0.015978  
  2508   0.016147  
  2509   0.016099  
  2510   0.015858  
  2511   0.015432  
  2512   0.015158  
  2513   0.015228  
  2514   0.015233  
  2515   0.015178  
  2516   0.015222  
  2517   0.015312  
  2518   0.01531   
  2519   0.015306  
  2520   0.014969  
  2521   0.014737  
  2522   0.01464   
  2523   0.014754  
  2524   0.015022  
  2525   0.01528   
  2526   0.015392  
  2527   0.015186  
  2528   0.01514   
  2529   0.015203  
  2530   0.015094  
  2531   0.014887  
  2532   0.014803  
  2533   0.014736  
  2534   0.014898  
  2535   0.015013  
  2536   0.014772  
  2537   0.014479  
  2538   0.014381  
  2539   0.014458  
  2540   0.014447  
  2541   0.014485  
  2542   0.014584  
  2543   0.01475   
  2544   0.014827  
  2545   0.014778  
  2546   0.014649  
  2547   0.014432  
  2548   0.014361  
  2549   0.014498  
  2550   0.014679  
  2551   0.014772  
  2552   0.014801  
  2553   0.014872  
  2554   0.015008  
  2555   0.014891  
  2556   0.014721  
  2557   0.014682  
  2558   0.014714  
  2559   0.014747  
  2560   0.014737  
  2561   0.014672  
  2562   0.014771  
