# VVDS template produced by T Contini
# from VVDS deep type 2 galaxies on autumn 2004
# templates have been cut between 2400 and 8000 A
# to avoid noisy parts
# it was also part of yaz custom_c template set
# with the name tspec2
# extended from 8000 to 10000 with Mannucci templates 
# lambda   flux
2400 0.000000
2401 0.000000
2402 0.012786
2403 0.012849
2404 0.012782
2405 0.012494
2406 0.012346
2407 0.012362
2408 0.012777
2409 0.013365
2410 0.013831
2411 0.014144
2412 0.014027
2413 0.014117
2414 0.014247
2415 0.014168
2416 0.013898
2417 0.013837
2418 0.013982
2419 0.013566
2420 0.013400
2421 0.013509
2422 0.013686
2423 0.013683
2424 0.013062
2425 0.012980
2426 0.012983
2427 0.012959
2428 0.012805
2429 0.012454
2430 0.012210
2431 0.012541
2432 0.012622
2433 0.012444
2434 0.012209
2435 0.012121
2436 0.012076
2437 0.012160
2438 0.012092
2439 0.012091
2440 0.012167
2441 0.012227
2442 0.012315
2443 0.012693
2444 0.012939
2445 0.013081
2446 0.013129
2447 0.013047
2448 0.012743
2449 0.012536
2450 0.012496
2451 0.012564
2452 0.012692
2453 0.012856
2454 0.013055
2455 0.013089
2456 0.013045
2457 0.013012
2458 0.013011
2459 0.013008
2460 0.012962
2461 0.013122
2462 0.013220
2463 0.013362
2464 0.013412
2465 0.013413
2466 0.013562
2467 0.013575
2468 0.013402
2469 0.013040
2470 0.012772
2471 0.012722
2472 0.012817
2473 0.012923
2474 0.012860
2475 0.012814
2476 0.012840
2477 0.012863
2478 0.012805
2479 0.012810
2480 0.013043
2481 0.013122
2482 0.012890
2483 0.012569
2484 0.012449
2485 0.012511
2486 0.012700
2487 0.012815
2488 0.012857
2489 0.012767
2490 0.012563
2491 0.012437
2492 0.012431
2493 0.012482
2494 0.012860
2495 0.013259
2496 0.013394
2497 0.013310
2498 0.013255
2499 0.013141
2500 0.012865
2501 0.012641
2502 0.012641
2503 0.012839
2504 0.012845
2505 0.012875
2506 0.012998
2507 0.013116
2508 0.013186
2509 0.013210
2510 0.013021
2511 0.012707
2512 0.012430
2513 0.012249
2514 0.012294
2515 0.012580
2516 0.012539
2517 0.012328
2518 0.012185
2519 0.012108
2520 0.012145
2521 0.012304
2522 0.012415
2523 0.012317
2524 0.012275
2525 0.012229
2526 0.012226
2527 0.012301
2528 0.012382
2529 0.012560
2530 0.012541
2531 0.012354
2532 0.012138
2533 0.012012
2534 0.011997
2535 0.012384
2536 0.012589
2537 0.012752
2538 0.012761
2539 0.012537
2540 0.012162
2541 0.011935
2542 0.011913
2543 0.011980
2544 0.012048
2545 0.012123
2546 0.012269
2547 0.012379
2548 0.012472
2549 0.012525
2550 0.012429
2551 0.012131
2552 0.011734
2553 0.011708
2554 0.011817
2555 0.011812
2556 0.012012
2557 0.012308
2558 0.012348
2559 0.011971
2560 0.012067
2561 0.012367
2562 0.012874
2563 0.013108
2564 0.012743
2565 0.012309
2566 0.012215
2567 0.011905
2568 0.011878
2569 0.011989
2570 0.012029
2571 0.012150
2572 0.012529
2573 0.012297
2574 0.012055
2575 0.011854
2576 0.011648
2577 0.011482
2578 0.011442
2579 0.011415
2580 0.011432
2581 0.011411
2582 0.011271
2583 0.011066
2584 0.011626
2585 0.011755
2586 0.011573
2587 0.011410
2588 0.011503
2589 0.011839
2590 0.011869
2591 0.011663
2592 0.011457
2593 0.011344
2594 0.011202
2595 0.010871
2596 0.010542
2597 0.010217
2598 0.010270
2599 0.010592
2600 0.010790
2601 0.010641
2602 0.010668
2603 0.010911
2604 0.011185
2605 0.011344
2606 0.011563
2607 0.011844
2608 0.011626
2609 0.011368
2610 0.011341
2611 0.011573
2612 0.011875
2613 0.012005
2614 0.011818
2615 0.011668
2616 0.011669
2617 0.011890
2618 0.012082
2619 0.012060
2620 0.011876
2621 0.011923
2622 0.011964
2623 0.012054
2624 0.012109
2625 0.012102
2626 0.012076
2627 0.011978
2628 0.012006
2629 0.012051
2630 0.012126
2631 0.012231
2632 0.012319
2633 0.012242
2634 0.012148
2635 0.012036
2636 0.011892
2637 0.011747
2638 0.011687
2639 0.011877
2640 0.011972
2641 0.012056
2642 0.012141
2643 0.012189
2644 0.012143
2645 0.011954
2646 0.011964
2647 0.011816
2648 0.011755
2649 0.011767
2650 0.011752
2651 0.011653
2652 0.011586
2653 0.011700
2654 0.011892
2655 0.012088
2656 0.012233
2657 0.012285
2658 0.012098
2659 0.011882
2660 0.011629
2661 0.011508
