# VVDS template produced by T Contini
# from VVDS deep type 3 galaxies on autumn 2004
# templates have been cut between 2400 and 8000 A
# to avoid noisy parts
# it was also part of yaz custom_c template set
# with the name tspec3
# extended from 8000 to 10000 with Mannucci templates 
# lambda   flux
2400 0.000000
2401 0.000000
2402 0.000000
2403 0.013656
2404 0.013842
2405 0.013848
2406 0.013810
2407 0.013749
2408 0.013686
2409 0.013716
2410 0.013735
2411 0.013763
2412 0.013908
2413 0.013831
2414 0.013715
2415 0.013633
2416 0.013803
2417 0.014026
2418 0.014209
2419 0.014248
2420 0.014083
2421 0.013973
2422 0.014025
2423 0.014539
2424 0.014728
2425 0.014753
2426 0.014640
2427 0.014253
2428 0.014148
2429 0.014152
2430 0.014121
2431 0.013926
2432 0.013752
2433 0.013656
2434 0.013781
2435 0.014036
2436 0.014224
2437 0.014279
2438 0.014114
2439 0.014059
2440 0.014073
2441 0.014131
2442 0.014231
2443 0.014234
2444 0.014186
2445 0.014207
2446 0.014337
2447 0.014471
2448 0.014568
2449 0.014478
2450 0.014384
2451 0.014324
2452 0.014332
2453 0.014232
2454 0.014206
2455 0.014219
2456 0.014200
2457 0.014162
2458 0.014217
2459 0.014367
2460 0.014438
2461 0.014254
2462 0.014057
2463 0.013999
2464 0.014169
2465 0.014171
2466 0.014014
2467 0.013692
2468 0.013523
2469 0.013578
2470 0.013827
2471 0.013972
2472 0.014153
2473 0.014260
2474 0.014218
2475 0.014021
2476 0.013922
2477 0.013890
2478 0.013884
2479 0.013823
2480 0.013768
2481 0.013742
2482 0.013825
2483 0.013709
2484 0.013551
2485 0.013429
2486 0.013397
2487 0.013593
2488 0.013863
2489 0.013977
2490 0.013863
2491 0.013820
2492 0.013887
2493 0.014062
2494 0.014095
2495 0.014090
2496 0.014090
2497 0.014104
2498 0.014148
2499 0.014173
2500 0.014106
2501 0.014110
2502 0.014027
2503 0.013898
2504 0.013980
2505 0.013892
2506 0.013782
2507 0.013714
2508 0.013815
2509 0.013975
2510 0.014051
2511 0.013846
2512 0.013643
2513 0.013533
2514 0.013518
2515 0.013580
2516 0.013602
2517 0.013561
2518 0.013461
2519 0.013648
2520 0.013629
2521 0.013507
2522 0.013381
2523 0.013315
2524 0.013286
2525 0.013272
2526 0.013207
2527 0.013421
2528 0.013647
2529 0.013792
2530 0.013785
2531 0.013675
2532 0.013563
2533 0.013551
2534 0.013590
2535 0.013477
2536 0.013263
2537 0.013119
2538 0.012962
2539 0.012882
2540 0.012914
2541 0.013127
2542 0.013295
2543 0.013426
2544 0.013520
2545 0.013649
2546 0.013710
2547 0.013684
2548 0.013525
2549 0.013367
2550 0.013343
2551 0.013481
2552 0.013680
2553 0.013764
2554 0.013805
2555 0.013852
2556 0.013909
2557 0.013942
2558 0.013920
2559 0.013761
2560 0.013518
2561 0.013466
2562 0.013661
2563 0.013988
2564 0.014082
2565 0.013996
2566 0.013742
2567 0.013387
2568 0.013315
2569 0.013419
2570 0.013489
2571 0.013625
2572 0.013715
2573 0.013733
2574 0.013668
2575 0.013577
2576 0.013466
2577 0.013338
2578 0.013227
2579 0.013060
2580 0.012868
2581 0.012705
2582 0.012587
2583 0.012429
2584 0.012232
2585 0.012103
2586 0.012023
2587 0.011989
2588 0.012002
2589 0.012064
2590 0.012069
2591 0.012025
2592 0.011927
2593 0.011797
2594 0.011750
2595 0.011799
2596 0.011923
2597 0.011963
2598 0.011867
2599 0.011596
2600 0.011183
2601 0.010985
2602 0.011031
2603 0.011413
2604 0.011863
2605 0.012278
2606 0.012626
2607 0.012823
2608 0.012932
2609 0.013004
2610 0.013058
2611 0.013128
2612 0.013344
2613 0.013603
2614 0.013769
2615 0.013848
2616 0.013835
2617 0.013737
2618 0.013570
2619 0.013557
2620 0.013658
2621 0.013864
2622 0.014182
2623 0.014369
2624 0.014417
2625 0.014285
2626 0.014111
2627 0.013995
2628 0.013940
2629 0.013932
2630 0.014002
2631 0.014099
2632 0.014196
2633 0.014137
2634 0.014059
2635 0.013913
2636 0.013639
2637 0.013610
2638 0.013668
2639 0.013772
2640 0.013842
2641 0.013790
2642 0.013756
2643 0.013785
2644 0.013882
2645 0.013894
2646 0.013807
2647 0.013593
2648 0.013541
2649 0.013593
2650 0.013737
2651 0.013973
2652 0.014071
2653 0.013998
2654 0.013768
2655 0.013747
2656 0.013703
2657 0.013646
2658 0.013583
2659 0.013677
2660 0.013707
2661 0.013687
