# VVDS template produced by T Contini
# from VVDS deep type 6 galaxies on autumn 2004
# templates have been cut between 2400 and 8000 A
# to avoid noisy parts
# it was also part of yaz custom_c template set
# with the name tspec6
# manually edited by BG & MS to reshape 5007 and 6563
# extended from 8000 to 10000 with Mannucci templates 
# lambda   flux        
  2400.0   0.0         
  2401.0   0.0         
  2402.0   0.01287808  
  2403.0   0.01244359  
  2404.0   0.01205974  
  2405.0   0.01191085  
  2406.0   0.01180897  
  2407.0   0.01170549  
  2408.0   0.0118735   
  2409.0   0.01168131  
  2410.0   0.01172138  
  2411.0   0.01196499  
  2412.0   0.01259447  
  2413.0   0.0132888   
  2414.0   0.0135369   
  2415.0   0.01327746  
  2416.0   0.01324994  
  2417.0   0.0139183   
  2418.0   0.01422041  
  2419.0   0.01460714  
  2420.0   0.01445135  
  2421.0   0.01354773  
  2422.0   0.01266954  
  2423.0   0.01274345  
  2424.0   0.01343704  
  2425.0   0.01366016  
  2426.0   0.01305448  
  2427.0   0.01303197  
  2428.0   0.01288599  
  2429.0   0.01285539  
  2430.0   0.01303653  
  2431.0   0.01308061  
  2432.0   0.01308292  
  2433.0   0.01281649  
  2434.0   0.01291489  
  2435.0   0.01361192  
  2436.0   0.01403047  
  2437.0   0.01383941  
  2438.0   0.01343385  
  2439.0   0.0134465   
  2440.0   0.01388118  
  2441.0   0.01389001  
  2442.0   0.01336833  
  2443.0   0.01291998  
  2444.0   0.01308721  
  2445.0   0.01359018  
  2446.0   0.01370882  
  2447.0   0.01318391  
  2448.0   0.01321338  
  2449.0   0.01356545  
  2450.0   0.01375253  
  2451.0   0.01358459  
  2452.0   0.01341546  
  2453.0   0.01337582  
  2454.0   0.01342378  
  2455.0   0.01356874  
  2456.0   0.01355668  
  2457.0   0.01348521  
  2458.0   0.01322902  
  2459.0   0.01282153  
  2460.0   0.01267141  
  2461.0   0.01297339  
  2462.0   0.01357817  
  2463.0   0.0141699   
  2464.0   0.01436545  
  2465.0   0.01434418  
  2466.0   0.01425523  
  2467.0   0.01420518  
  2468.0   0.01417885  
  2469.0   0.01407476  
  2470.0   0.01380231  
  2471.0   0.01338372  
  2472.0   0.01291738  
  2473.0   0.0131237   
  2474.0   0.01342062  
  2475.0   0.01348912  
  2476.0   0.01350015  
  2477.0   0.01366038  
  2478.0   0.01382847  
  2479.0   0.01350293  
  2480.0   0.01312798  
  2481.0   0.01325655  
  2482.0   0.01347717  
  2483.0   0.01350038  
  2484.0   0.01335825  
  2485.0   0.01329082  
  2486.0   0.01349465  
  2487.0   0.01384181  
  2488.0   0.01373111  
  2489.0   0.01325958  
  2490.0   0.01341793  
  2491.0   0.01409982  
  2492.0   0.01467212  
  2493.0   0.01465464  
  2494.0   0.01417913  
  2495.0   0.01388659  
  2496.0   0.0140216   
  2497.0   0.01430587  
  2498.0   0.01405666  
  2499.0   0.01394809  
  2500.0   0.01408785  
  2501.0   0.01412309  
  2502.0   0.01395636  
  2503.0   0.0133995   
  2504.0   0.01257237  
  2505.0   0.01230702  
  2506.0   0.01265793  
  2507.0   0.0132651   
  2508.0   0.01360793  
  2509.0   0.01352608  
  2510.0   0.01349738  
  2511.0   0.01342659  
  2512.0   0.01351006  
  2513.0   0.01374002  
  2514.0   0.01395195  
  2515.0   0.01400256  
  2516.0   0.01391394  
  2517.0   0.01380934  
  2518.0   0.01372504  
  2519.0   0.01371206  
  2520.0   0.01399617  
  2521.0   0.01423435  
  2522.0   0.01400126  
  2523.0   0.01359127  
  2524.0   0.01347832  
  2525.0   0.01372787  
  2526.0   0.01377513  
  2527.0   0.01328269  
  2528.0   0.01345723  
  2529.0   0.01397291  
  2530.0   0.01436299  
  2531.0   0.01461793  
  2532.0   0.01478106  
  2533.0   0.01469223  
  2534.0   0.01434381  
  2535.0   0.01403049  
  2536.0   0.01409076  
  2537.0   0.01404943  
  2538.0   0.01385896  
  2539.0   0.01368883  
  2540.0   0.01373377  
  2541.0   0.01409897  
  2542.0   0.01485182  
  2543.0   0.01510599  
  2544.0   0.01476579  
  2545.0   0.01467723  
  2546.0   0.01496107  
  2547.0   0.0151558   
  2548.0   0.01489929  
  2549.0   0.01451903  
  2550.0   0.01471666  
  2551.0   0.01473247  
  2552.0   0.01436746  
  2553.0   0.0139709   
  2554.0   0.01423023  
  2555.0   0.01482105  
  2556.0   0.01503087  
  2557.0   0.01510834  
  2558.0   0.01500883  
  2559.0   0.01522263  
  2560.0   0.01552958  
  2561.0   0.0156607   
  2562.0   0.01542648  
  2563.0   0.01494684  
  2564.0   0.01459131  
  2565.0   0.01466228  
  2566.0   0.01509333  
  2567.0   0.0151247   
  2568.0   0.01514094  
  2569.0   0.01510404  
  2570.0   0.01500107  
  2571.0   0.01483067  
  2572.0   0.01452237  
  2573.0   0.01393567  
  2574.0   0.01391827  
  2575.0   0.0141546   
  2576.0   0.01478478  
  2577.0   0.01494725  
  2578.0   0.01470579  
  2579.0   0.01452525  
  2580.0   0.01444383  
  2581.0   0.01390859  
  2582.0   0.01360425  
  2583.0   0.01287562  
  2584.0   0.01211267  
  2585.0   0.01190865  
  2586.0   0.01217338  
  2587.0   0.01256815  
  2588.0   0.01307175  
  2589.0   0.01372222  
  2590.0   0.01381581  
  2591.0   0.01353324  
  2592.0   0.01301514  
  2593.0   0.0124463   
  2594.0   0.01204478  
  2595.0   0.01201181  
  2596.0   0.01242347  
  2597.0   0.01299659  
  2598.0   0.01318252  
  2599.0   0.01313396  
  2600.0   0.01309231  
  2601.0   0.01312861  
  2602.0   0.01323908  
  2603.0   0.01345478  
  2604.0   0.0138591   
  2605.0   0.01423061  
  2606.0   0.01454277  
  2607.0   0.01484438  
  2608.0   0.01481821  
  2609.0   0.01457714  
  2610.0   0.01444731  
  2611.0   0.01475193  
  2612.0   0.01562864  
  2613.0   0.01603885  
  2614.0   0.015791    
  2615.0   0.01552624  
  2616.0   0.01520224  
  2617.0   0.0149952   
  2618.0   0.01505333  
  2619.0   0.01524512  
  2620.0   0.01521162  
  2621.0   0.01522494  
  2622.0   0.01569778  
  2623.0   0.01595056  
  2624.0   0.0162528   
  2625.0   0.01649882  
  2626.0   0.01653324  
  2627.0   0.01645657  
  2628.0   0.01619729  
  2629.0   0.01595109  
  2630.0   0.01587312  
  2631.0   0.01572955  
  2632.0   0.0154944   
  2633.0   0.01526043  
  2634.0   0.01515846  
  2635.0   0.01529216  
  2636.0   0.01571485  
  2637.0   0.01607559  
  2638.0   0.01582707  
  2639.0   0.01544599  
  2640.0   0.01538647  
  2641.0   0.01570418  
  2642.0   0.01612823  
  2643.0   0.01638936  
  2644.0   0.01657665  
  2645.0   0.01654761  
  2646.0   0.01633371  
  2647.0   0.01598261  
  2648.0   0.01572493  
  2649.0   0.01573445  
  2650.0   0.01600897  
  2651.0   0.01635984  
  2652.0   0.01628228  
  2653.0   0.0160304   
  2654.0   0.01582952  
  2655.0   0.01574536  
  2656.0   0.0157941   
  2657.0   0.01594809  
  2658.0   0.01617228  
  2659.0   0.01644409  
  2660.0   0.01629255  
  2661.0   0.01614654  
  2662.0   0.01614291  
  2663.0   0.01629194  
  2664.0   0.01649993  
  2665.0   0.01662727  
  2666.0   0.01657733  
  2667.0   0.0163852   
  2668.0   0.01605632  
  2669.0   0.01582295  
  2670.0   0.01581314  
  2671.0   0.01592888  
  2672.0   0.01597973  
  2673.0   0.01589198  
  2674.0   0.01585365  
  2675.0   0.01627698  
  2676.0   0.01662429  
  2677.0   0.01631147  
  2678.0   0.01588276  
  2679.0   0.01566085  
  2680.0   0.01567797  
  2681.0   0.01574955  
  2682.0   0.01564429  
  2683.0   0.01529575  
  2684.0   0.01507452  
  2685.0   0.01525107  
  2686.0   0.01560632  
  2687.0   0.015879    
  2688.0   0.01590061  
  2689.0   0.01575725  
  2690.0   0.01573501  
  2691.0   0.0154804   
  2692.0   0.0151235   
  2693.0   0.01492185  
  2694.0   0.01494497  
  2695.0   0.0150367   
  2696.0   0.01516029  
  2697.0   0.0153594   
  2698.0   0.01549786  
  2699.0   0.01547726  
  2700.0   0.01531469  
  2701.0   0.01538268  
  2702.0   0.01560215  
  2703.0   0.01575349  
  2704.0   0.01566143  
  2705.0   0.01535048  
  2706.0   0.01510982  
  2707.0   0.01518714  
  2708.0   0.01536776  
  2709.0   0.01544696  
  2710.0   0.01536241  
  2711.0   0.01519754  
  2712.0   0.01511583  
  2713.0   0.01522088  
  2714.0   0.0153895   
  2715.0   0.01556507  
  2716.0   0.01566252  
  2717.0   0.01555294  
  2718.0   0.01555291  
  2719.0   0.01555538  
  2720.0   0.01528402  
  2721.0   0.01481548  
  2722.0   0.01487583  
  2723.0   0.01498182  
  2724.0   0.01523567  
  2725.0   0.01562631  
  2726.0   0.01606602  
  2727.0   0.01631655  
  2728.0   0.01623887  
  2729.0   0.01601246  
  2730.0   0.01595011  
  2731.0   0.01620078  
  2732.0   0.0162939   
  2733.0   0.01604666  
  2734.0   0.01570395  
  2735.0   0.01558493  
  2736.0   0.01578503  
  2737.0   0.01604858  
  2738.0   0.01597274  
  2739.0   0.01570446  
  2740.0   0.0154531   
  2741.0   0.01555251  
  2742.0   0.01573452  
  2743.0   0.01581593  
  2744.0   0.01575849  
  2745.0   0.01533192  
  2746.0   0.01496082  
  2747.0   0.0148887   
  2748.0   0.0150545   
  2749.0   0.01522492  
  2750.0   0.01524307  
  2751.0   0.01509771  
  2752.0   0.01494091  
  2753.0   0.01504535  
  2754.0   0.01548509  
  2755.0   0.0157617   
  2756.0   0.01595583  
  2757.0   0.01598438  
  2758.0   0.0156957   
  2759.0   0.01523318  
  2760.0   0.01506292  
  2761.0   0.01544319  
  2762.0   0.01561264  
  2763.0   0.01533187  
  2764.0   0.0150631   
  2765.0   0.0150781   
  2766.0   0.01524289  
  2767.0   0.01528279  
  2768.0   0.01515108  
  2769.0   0.01522386  
  2770.0   0.01502734  
  2771.0   0.01508572  
  2772.0   0.0152814   
  2773.0   0.01546579  
  2774.0   0.01558738  
  2775.0   0.0157819   
  2776.0   0.01621461  
  2777.0   0.01632622  
  2778.0   0.01589948  
  2779.0   0.01559249  
  2780.0   0.01539834  
  2781.0   0.01533635  
  2782.0   0.01532587  
  2783.0   0.01521691  
  2784.0   0.01493276  
  2785.0   0.01462243  
  2786.0   0.01443961  
  2787.0   0.01460048  
  2788.0   0.01472165  
  2789.0   0.01496748  
  2790.0   0.0152671   
  2791.0   0.01525224  
  2792.0   0.01483352  
  2793.0   0.01414034  
  2794.0   0.01391254  
  2795.0   0.01383683  
  2796.0   0.01392839  
  2797.0   0.01420051  
  2798.0   0.01438367  
  2799.0   0.01419742  
  2800.0   0.01402983  
  2801.0   0.01385983  
  2802.0   0.01398056  
  2803.0   0.01417636  
  2804.0   0.01430078  
  2805.0   0.01427909  
  2806.0   0.01419182  
  2807.0   0.01427116  
  2808.0   0.0147489   
  2809.0   0.01547185  
  2810.0   0.01579785  
  2811.0   0.01566839  
  2812.0   0.01538313  
  2813.0   0.01520696  
  2814.0   0.01518713  
  2815.0   0.01516006  
  2816.0   0.01496854  
  2817.0   0.01501688  
  2818.0   0.01491295  
  2819.0   0.01492664  
  2820.0   0.01499319  
  2821.0   0.01520651  
  2822.0   0.01549875  
  2823.0   0.01536281  
  2824.0   0.01476188  
  2825.0   0.01454675  
  2826.0   0.01461438  
  2827.0   0.01524605  
  2828.0   0.01589966  
  2829.0   0.01611497  
  2830.0   0.01586971  
  2831.0   0.01543025  
  2832.0   0.01501365  
  2833.0   0.01488063  
  2834.0   0.01483131  
  2835.0   0.01483858  
  2836.0   0.01487754  
  2837.0   0.01491155  
  2838.0   0.01490993  
  2839.0   0.01488034  
  2840.0   0.01489333  
  2841.0   0.0149311   
  2842.0   0.01497443  
  2843.0   0.01490546  
  2844.0   0.01460275  
  2845.0   0.01429703  
  2846.0   0.01440396  
  2847.0   0.01481728  
  2848.0   0.01506851  
  2849.0   0.01503691  
  2850.0   0.01504553  
  2851.0   0.0150922   
  2852.0   0.01499963  
  2853.0   0.01476054  
  2854.0   0.01459974  
  2855.0   0.0145408   
  2856.0   0.01456218  
  2857.0   0.0147234   
  2858.0   0.01489097  
  2859.0   0.01509786  
  2860.0   0.0152634   
  2861.0   0.01523846  
  2862.0   0.01498198  
  2863.0   0.01474986  
  2864.0   0.01492838  
  2865.0   0.01527186  
  2866.0   0.01543097  
  2867.0   0.01539276  
  2868.0   0.01521051  
  2869.0   0.01494135  
  2870.0   0.01469989  
  2871.0   0.01473378  
  2872.0   0.01490964  
  2873.0   0.0150511   
  2874.0   0.01516101  
  2875.0   0.01516297  
  2876.0   0.01503822  
  2877.0   0.01485658  
  2878.0   0.01471145  
