# template from Kinney (ref?) for blue starburst galaxies
# it has been trimmed between 2400 and 9800 to avoid noisy parts
# It was part of yaz standard template set
# extended up to 10000 with mannucci templates
# lambda   flux
2400 0.012484
2401 0.012790
2402 0.013095
2403 0.013400
2404 0.013705
2405 0.013552
2406 0.013400
2407 0.013247
2408 0.013095
2409 0.013022
2410 0.012950
2411 0.012878
2412 0.012806
2413 0.012992
2414 0.013179
2415 0.013366
2416 0.013552
2417 0.013562
2418 0.013572
2419 0.013582
2420 0.013592
2421 0.013319
2422 0.013046
2423 0.012773
2424 0.012500
2425 0.012812
2426 0.013123
2427 0.013434
2428 0.013745
2429 0.013490
2430 0.013235
2431 0.012980
2432 0.012725
2433 0.012976
2434 0.013227
2435 0.013478
2436 0.013729
2437 0.013598
2438 0.013468
2439 0.013337
2440 0.013207
2441 0.013235
2442 0.013263
2443 0.013291
2444 0.013319
2445 0.013241
2446 0.013163
2447 0.013085
2448 0.013006
2449 0.012906
2450 0.012806
2451 0.012705
2452 0.012605
2453 0.012665
2454 0.012725
2455 0.012785
2456 0.012846
2457 0.012587
2458 0.012328
2459 0.012069
2460 0.011810
2461 0.012015
2462 0.012219
2463 0.012424
2464 0.012629
2465 0.012701
2466 0.012773
2467 0.012846
2468 0.012918
2469 0.012952
2470 0.012986
2471 0.013020
2472 0.013054
2473 0.013169
2474 0.013283
2475 0.013398
2476 0.013512
2477 0.013195
2478 0.012878
2479 0.012561
2480 0.012244
2481 0.012205
2482 0.012167
2483 0.012129
2484 0.012091
2485 0.012147
2486 0.012203
2487 0.012260
2488 0.012316
2489 0.012131
2490 0.011947
2491 0.011762
2492 0.011577
2493 0.011800
2494 0.012023
2495 0.012246
2496 0.012468
2497 0.012219
2498 0.011971
2499 0.011722
2500 0.011473
2501 0.011523
2502 0.011573
2503 0.011623
2504 0.011674
2505 0.011698
2506 0.011722
2507 0.011746
2508 0.011770
2509 0.011670
2510 0.011569
2511 0.011469
2512 0.011368
2513 0.011314
2514 0.011260
2515 0.011206
2516 0.011152
2517 0.011266
2518 0.011380
2519 0.011495
2520 0.011609
2521 0.011539
2522 0.011469
2523 0.011399
2524 0.011328
2525 0.011433
2526 0.011537
2527 0.011641
2528 0.011746
2529 0.011736
2530 0.011726
2531 0.011716
2532 0.011706
2533 0.011808
2534 0.011910
2535 0.012013
2536 0.012115
2537 0.012055
2538 0.011995
2539 0.011934
2540 0.011874
2541 0.011684
2542 0.011493
2543 0.011302
2544 0.011112
2545 0.011148
2546 0.011184
2547 0.011220
2548 0.011256
2549 0.011240
2550 0.011224
2551 0.011208
2552 0.011192
2553 0.011120
2554 0.011047
2555 0.010975
2556 0.010903
2557 0.010859
2558 0.010814
2559 0.010770
2560 0.010726
2561 0.010702
2562 0.010678
2563 0.010654
2564 0.010630
2565 0.010684
2566 0.010738
2567 0.010792
2568 0.010847
2569 0.010814
2570 0.010782
2571 0.010750
2572 0.010718
2573 0.010535
2574 0.010353
2575 0.010170
2576 0.009988
2577 0.010128
2578 0.010269
2579 0.010409
2580 0.010550
2581 0.010465
2582 0.010381
2583 0.010297
2584 0.010212
2585 0.010477
2586 0.010742
2587 0.011007
2588 0.011272
2589 0.011041
2590 0.010810
2591 0.010580
2592 0.010349
2593 0.010299
2594 0.010248
2595 0.010198
2596 0.010148
2597 0.010261
2598 0.010373
2599 0.010485
2600 0.010598
2601 0.010540
2602 0.010481
2603 0.010423
2604 0.010365
2605 0.010457
2606 0.010550
2607 0.010642
2608 0.010734
2609 0.010905
2610 0.011075
2611 0.011246
2612 0.011417
2613 0.011306
2614 0.011196
2615 0.011085
2616 0.010975
2617 0.011059
2618 0.011144
2619 0.011228
2620 0.011312
2621 0.011278
2622 0.011244
2623 0.011210
2624 0.011176
2625 0.011081
2626 0.010987
2627 0.010893
2628 0.010798
2629 0.010889
2630 0.010979
2631 0.011069
2632 0.011160
2633 0.011128
2634 0.011095
2635 0.011063
2636 0.011031
2637 0.010895
2638 0.010758
2639 0.010622
2640 0.010485
2641 0.010527
2642 0.010570
2643 0.010612
2644 0.010654
2645 0.010732
2646 0.010810
2647 0.010889
2648 0.010967
2649 0.011005
2650 0.011043
2651 0.011081
2652 0.011120
2653 0.011087
2654 0.011055
2655 0.011023
2656 0.010991
2657 0.010875
2658 0.010758
2659 0.010642
2660 0.010525
2661 0.010537
2662 0.010550
2663 0.010562
2664 0.010574
2665 0.010550
2666 0.010525
2667 0.010501
2668 0.010477
2669 0.010395
2670 0.010313
2671 0.010230
2672 0.010148
2673 0.010130
2674 0.010112
2675 0.010094
2676 0.010076
2677 0.010202
2678 0.010329
2679 0.010455
2680 0.010582
2681 0.010529
2682 0.010477
2683 0.010425
2684 0.010373
2685 0.010387
2686 0.010401
2687 0.010415
2688 0.010429
2689 0.010425
2690 0.010421
2691 0.010417
2692 0.010413
2693 0.010411
2694 0.010409
2695 0.010407
2696 0.010405
2697 0.010333
2698 0.010261
2699 0.010188
2700 0.010116
2701 0.010098
2702 0.010080
2703 0.010062
2704 0.010044
2705 0.010092
2706 0.010140
2707 0.010188
2708 0.010236
2709 0.010246
2710 0.010256
2711 0.010267
2712 0.010277
2713 0.010104
2714 0.009931
2715 0.009759
2716 0.009586
2717 0.009572
2718 0.009558
2719 0.009544
2720 0.009530
2721 0.009614
2722 0.009699
2723 0.009783
2724 0.009867
2725 0.009877
2726 0.009887
2727 0.009897
2728 0.009907
2729 0.009935
2730 0.009963
2731 0.009992
2732 0.010020
2733 0.010016
2734 0.010012
2735 0.010008
2736 0.010004
2737 0.010046
2738 0.010088
2739 0.010130
2740 0.010172
2741 0.010106
2742 0.010040
2743 0.009973
2744 0.009907
2745 0.009931
2746 0.009955
2747 0.009980
2748 0.010004
2749 0.009937
2750 0.009871
2751 0.009805
2752 0.009739
2753 0.009827
2754 0.009915
2755 0.010004
2756 0.010092
2757 0.010036
2758 0.009980
2759 0.009923
2760 0.009867
2761 0.009831
2762 0.009795
2763 0.009759
2764 0.009723
2765 0.009654
2766 0.009586
2767 0.009518
2768 0.009450
2769 0.009343
2770 0.009237
2771 0.009130
2772 0.009024
2773 0.008868
2774 0.008711
2775 0.008554
2776 0.008398
2777 0.008538
2778 0.008679
2779 0.008819
2780 0.008960
2781 0.009034
2782 0.009108
2783 0.009183
2784 0.009257
2785 0.009424
2786 0.009590
2787 0.009757
2788 0.009923
2789 0.010158
2790 0.010393
2791 0.010628
2792 0.010863
2793 0.010927
2794 0.010991
2795 0.011055
2796 0.011120
2797 0.011162
2798 0.011204
2799 0.011246
2800 0.011288
2801 0.011112
2802 0.010935
2803 0.010758
2804 0.010582
2805 0.010457
2806 0.010333
2807 0.010208
2808 0.010084
2809 0.010054
2810 0.010024
2811 0.009994
2812 0.009963
2813 0.009827
2814 0.009690
2815 0.009554
2816 0.009418
2817 0.009440
2818 0.009462
2819 0.009484
2820 0.009506
2821 0.009596
2822 0.009686
2823 0.009777
2824 0.009867
2825 0.009839
2826 0.009811
2827 0.009783
2828 0.009755
2829 0.009773
2830 0.009791
2831 0.009809
2832 0.009827
2833 0.009594
2834 0.009361
2835 0.009128
2836 0.008896
2837 0.008940
2838 0.008984
2839 0.009028
2840 0.009072
2841 0.009187
2842 0.009301
2843 0.009416
2844 0.009530
2845 0.009548
2846 0.009566
2847 0.009584
2848 0.009602
2849 0.009397
2850 0.009193
2851 0.008988
2852 0.008783
2853 0.008892
2854 0.009000
2855 0.009108
2856 0.009217
2857 0.009259
2858 0.009301
2859 0.009343
2860 0.009385
2861 0.009375
2862 0.009365
2863 0.009355
2864 0.009345
2865 0.009381
2866 0.009418
2867 0.009454
2868 0.009490
2869 0.009383
2870 0.009277
2871 0.009171
2872 0.009064
2873 0.009014
2874 0.008964
2875 0.008914
2876 0.008864
2877 0.008932
2878 0.009000
2879 0.009068
2880 0.009137
2881 0.009080
2882 0.009024
2883 0.008968
2884 0.008912
2885 0.008767
2886 0.008623
2887 0.008478
2888 0.008334
2889 0.008400
2890 0.008466
2891 0.008532
2892 0.008599
2893 0.008679
2894 0.008759
2895 0.008839
2896 0.008920
2897 0.009036
2898 0.009153
2899 0.009269
2900 0.009385
2901 0.009337
2902 0.009289
2903 0.009241
2904 0.009193
2905 0.009104
2906 0.009016
2907 0.008928
2908 0.008839
2909 0.008856
2910 0.008872
2911 0.008888
2912 0.008904
2913 0.008962
2914 0.009020
2915 0.009078
2916 0.009137
2917 0.009082
2918 0.009028
2919 0.008974
2920 0.008920
2921 0.008880
2922 0.008839
2923 0.008799
2924 0.008759
2925 0.008946
2926 0.009132
2927 0.009319
2928 0.009506
2929 0.009407
2930 0.009309
2931 0.009211
2932 0.009112
2933 0.009197
2934 0.009281
2935 0.009365
2936 0.009450
2937 0.009426
2938 0.009401
2939 0.009377
2940 0.009353
2941 0.009363
2942 0.009373
2943 0.009383
2944 0.009393
2945 0.009399
2946 0.009405
2947 0.009411
2948 0.009418
2949 0.009371
2950 0.009325
2951 0.009279
2952 0.009233
2953 0.009145
2954 0.009056
2955 0.008968
2956 0.008880
2957 0.008864
2958 0.008847
2959 0.008831
2960 0.008815
2961 0.008801
2962 0.008787
2963 0.008773
2964 0.008759
2965 0.008886
2966 0.009012
2967 0.009139
2968 0.009265
2969 0.009305
2970 0.009345
2971 0.009385
2972 0.009426
2973 0.009407
2974 0.009389
2975 0.009371
2976 0.009353
2977 0.009285
2978 0.009217
2979 0.009149
2980 0.009080
2981 0.009024
2982 0.008968
2983 0.008912
2984 0.008856
2985 0.008970
2986 0.009084
2987 0.009199
2988 0.009313
2989 0.009335
2990 0.009357
2991 0.009379
2992 0.009401
2993 0.009407
2994 0.009413
2995 0.009420
2996 0.009426
2997 0.009371
2998 0.009317
2999 0.009263
3000 0.009209
3001 0.009135
3002 0.009060
3003 0.008986
3004 0.008912
3005 0.008950
3006 0.008988
3007 0.009026
3008 0.009064
3009 0.009048
3010 0.009032
3011 0.009016
3012 0.009000
3013 0.009020
3014 0.009040
3015 0.009060
3016 0.009080
3017 0.008908
3018 0.008735
3019 0.008562
3020 0.008390
3021 0.008283
3022 0.008175
3023 0.008068
3024 0.007961
3025 0.008118
3026 0.008276
3027 0.008433
3028 0.008591
