# zCosmos template for highz blue galaxies
# with stron EL
# created by OlF in august 2005
#               lambda1            flux    
      1099.999999999998    1.682160E-19    
      1101.357466101645    2.382666E-19    
      1102.714932203292    2.582687E-19    
      1104.072398304938    1.833566E-19    
      1105.429864406584    1.700601E-19    
      1106.787330508231    1.896582E-19    
      1108.144796609877    2.451807E-19    
      1109.502262711524    1.867741E-19    
       1110.85972881317    1.250429E-19    
      1112.217194914817    1.471212E-19    
      1113.574661016463    1.553146E-19    
      1114.932127118109    1.369591E-19    
      1116.289593219756    1.420688E-19    
      1117.647059321402    1.423429E-19    
      1119.004525423049    1.648264E-19    
      1120.361991524695    1.886605E-19    
      1121.719457626342    1.864204E-19    
      1123.076923727988    1.860041E-19    
      1124.434389829634    1.591655E-19    
      1125.791855931281    1.736274E-19    
      1127.149322032927    1.947773E-19    
      1128.506788134574    2.077413E-19    
       1129.86425423622    1.733851E-19    
      1131.221720337866    1.380889E-19    
      1132.579186439513    1.501007E-19    
      1133.936652541159    1.487146E-19    
      1135.294118642806    1.468419E-19    
      1136.651584744452    1.876208E-19    
      1138.009050846099    1.729812E-19    
      1139.366516947745    1.723636E-19    
      1140.723983049391    1.612534E-19    
      1142.081449151038    1.624380E-19    
      1143.438915252684    1.803729E-19    
      1144.796381354331    1.445234E-19    
      1146.153847455977    9.858030E-20    
      1147.511313557624    8.498988E-20    
       1148.86877965927    1.191017E-19    
      1150.226245760916    1.408114E-19    
      1151.583711862562    1.056959E-19    
      1152.941177964209    9.631637E-20    
      1154.298644065856    9.720117E-20    
      1155.656110167502    8.104902E-20    
      1157.013576269148    7.253666E-20    
      1158.371042370795    7.021879E-20    
      1159.728508472441    1.013668E-19    
      1161.085974574088    1.209127E-19    
      1162.443440675734    5.251554E-20    
       1163.80090677738    3.236589E-20    
      1165.158372879027    1.033804E-19    
      1166.515838980673    1.445258E-19    
       1167.87330508232    1.302651E-19    
      1169.230771183966    7.784726E-20    
      1170.588237285612    8.748443E-20    
      1171.945703387259    1.258722E-19    
      1173.303169488906    9.800736E-20    
      1174.660635590552    1.116936E-19    
      1176.018101692198    1.311841E-19    
      1177.375567793844    9.668436E-20    
      1178.733033895491    9.439693E-20    
      1180.090499997137    1.202764E-19    
      1181.447966098784    1.549259E-19    
       1182.80543220043    1.733982E-19    
      1184.162898302077    1.652912E-19    
