# zCosmos template for highz blue galaxies
# created by OlF in august 2005
#            lambda1            flux       
     916.39520263672    6.258794E-20       
   917.5898219462473    6.263876E-20       
   918.7844412557746    6.230915E-20       
   919.9790605653017    6.049019E-20       
   921.1736798748292    5.920926E-20       
   922.3682991843563    6.008260E-20       
   923.5629184938838    6.198343E-20       
    924.757537803411    6.425311E-20       
   925.9521571129383    6.724577E-20       
   927.1467764224656    7.065309E-20       
   928.3413957319929    7.407523E-20       
   929.5360150415202    7.602705E-20       
   930.7306343510475    6.676239E-20       
   931.9252536605748    4.926708E-20       
   933.1198729701021    4.608431E-20       
   934.3144922796295    4.788888E-20       
   935.5091115891568    5.572727E-20       
   936.7037308986841    6.535862E-20       
   937.8983502082112    6.469134E-20       
   939.0929695177387    5.443024E-20       
   940.2875888272658    4.257908E-20       
   941.4822081367933    2.046091E-20       
   942.6768274463206   -1.493336E-20       
   943.8714467558479   -3.053097E-20       
   945.0660660653753    1.054254E-20       
   946.2606853749026    5.361152E-20       
   947.4553046844297    5.084860E-20       
   948.6499239939572    4.193085E-20       
   949.8445433034843    5.511711E-20       
   951.0391626130118    7.379791E-20       
    952.233781922539    1.086386E-19       
   953.4284012320663    1.427929E-19       
   954.6230205415936    1.134250E-19       
   955.8176398511209    7.679208E-20       
   957.0122591606482    1.300193E-19       
   958.2068784701755    1.726592E-19       
   959.4014977797026    1.817766E-19       
   960.5961170892301    1.285548E-19       
   961.7907363987573    8.133160E-20       
   962.9853557082848    1.067839E-19       
   964.1799750178119    1.580394E-19       
   965.3745943273392    1.619656E-19       
   966.5692136368665    1.417476E-19       
   967.7638329463938    9.933187E-20       
   968.9584522559211    9.514518E-20       
   970.1530715654484    1.060120E-19       
   971.3476908749758    1.038584E-19       
   972.5423101845031    9.547850E-20       
   973.7369294940304    8.336880E-20       
   974.9315488035577    8.079292E-20       
    976.126168113085    8.382461E-20       
   977.3207874226121    8.165278E-20       
   978.5154067321396    7.782838E-20       
   979.7100260416668    7.319714E-20       
   980.9046453511943    5.882076E-20       
   982.0992646607214    4.872038E-20       
   983.2938839702487    7.975887E-20       
    984.488503279776    1.119886E-19       
   985.6831225893033    1.018128E-19       
   986.8777418988306    1.176727E-19       
   988.0723612083579    1.320656E-19       
   989.2669805178851    1.062969E-19       
   990.4615998274126    1.196233E-19       
   991.6562191369397    1.306363E-19       
   992.8508384464672    1.517635E-19       
   994.0454577559945    1.679757E-19       
   995.2400770655218    1.870418E-19       
   996.4346963750491    1.899366E-19       
   997.6293156845764    1.579796E-19       
   998.8239349941036    1.478162E-19       
   1000.018554303631    1.947249E-19       
   1001.213173613158    2.145508E-19       
   1002.407792922686    1.792181E-19       
   1003.602412232213    1.541166E-19       
    1004.79703154174    1.515363E-19       
   1005.991650851268    1.286244E-19       
   1007.186270160795    1.171957E-19       
   1008.380889470322    1.646799E-19       
   1009.575508779849    1.683735E-19       
   1010.770128089377    1.306143E-19       
   1011.964747398904    1.184074E-19       
   1013.159366708431    1.443032E-19       
   1014.353986017959    1.700161E-19       
   1015.548605327486    1.699766E-19       
   1016.743224637013    1.359543E-19       
   1017.937843946541    9.724572E-20       
   1019.132463256068    7.374562E-20       
   1020.327082565595    8.587898E-20       
   1021.521701875123    1.137475E-19       
    1022.71632118465    1.219336E-19       
   1023.910940494177    1.162523E-19       
   1025.105559803704    8.898038E-20       
   1026.300179113232    9.770231E-20       
   1027.494798422759    1.141030E-19       
   1028.689417732286    1.142985E-19       
   1029.884037041814    1.251633E-19       
   1031.078656351341    1.571361E-19       
   1032.273275660868    1.823758E-19       
   1033.467894970395    2.021985E-19       
   1034.662514279923    2.124114E-19       
    1035.85713358945    2.036108E-19       
   1037.051752898977    1.800676E-19       
   1038.246372208504    1.674189E-19       
   1039.440991518032    1.795575E-19       
   1040.635610827559    1.987612E-19       
   1041.830230137087    2.292102E-19       
   1043.024849446614    2.607294E-19       
   1044.219468756141    2.637327E-19       
   1045.414088065669    2.440657E-19       
   1046.608707375196    2.385401E-19       
   1047.803326684723    2.597086E-19       
    1048.99794599425    2.776792E-19       
   1050.192565303778    2.645583E-19       
   1051.387184613305    2.403523E-19       
   1052.581803922832    2.119581E-19       
    1053.77642323236    2.024853E-19       
   1054.971042541887    2.167066E-19       
   1056.165661851414    2.209480E-19       
   1057.360281160941    2.167492E-19       
   1058.554900470469    2.234210E-19       
   1059.749519779996    2.308094E-19       
   1060.944139089523    2.303449E-19       
   1062.138758399051    2.128320E-19       
   1063.333377708578    2.005956E-19       
   1064.527997018105    2.244842E-19       
   1065.722616327633    2.481685E-19       
    1066.91723563716    2.630180E-19       
   1068.111854946687    2.487328E-19       
   1069.306474256215    2.528431E-19       
   1070.501093565741    2.761738E-19       
   1071.695712875269    2.713187E-19       
   1072.890332184796    2.427363E-19       
   1074.084951494324    2.237216E-19       
   1075.279570803851    2.407984E-19       
   1076.474190113378    2.684217E-19       
   1077.668809422906    2.754230E-19       
   1078.863428732433    2.593944E-19       
    1080.05804804196    2.552867E-19       
   1081.252667351487    2.777370E-19       
   1082.447286661015    2.668276E-19       
   1083.641905970542    2.369620E-19       
   1084.836525280069    2.080695E-19       
   1086.031144589596    1.977223E-19       
   1087.225763899124    2.152226E-19       
   1088.420383208651    2.462924E-19       
   1089.615002518179    2.599975E-19       
   1090.809621827706    2.428889E-19       
   1092.004241137233    2.178084E-19       
   1093.198860446761    2.209237E-19       
   1094.393479756288    2.345829E-19       
   1095.588099065815    2.442424E-19       
   1096.782718375342    2.575004E-19       
   1097.977337684869    2.567994E-19       
   1099.171956994397    2.335737E-19       
   1100.366576303924    2.303064E-19       
   1101.561195613452    2.514840E-19       
   1102.755814922979    2.637913E-19       
   1103.950434232506    2.610880E-19       
   1105.145053542033    2.599424E-19       
   1106.339672851561    2.585417E-19       
   1107.534292161088    2.615295E-19       
   1108.728911470615    2.540645E-19       
   1109.923530780143    2.588389E-19       
    1111.11815008967    2.723453E-19       
   1112.312769399197    2.750724E-19       
   1113.507388708725    2.764639E-19       
   1114.702008018252    2.894759E-19       
   1115.896627327779    2.904252E-19       
   1117.091246637307    2.827191E-19       
   1118.285865946833    2.711009E-19       
   1119.480485256361    2.725022E-19       
   1120.675104565888    2.838032E-19       
   1121.869723875416    2.841758E-19       
   1123.064343184943    2.768108E-19       
    1124.25896249447    2.602717E-19       
   1125.453581803998    2.469463E-19       
   1126.648201113525    2.522925E-19       
   1127.842820423052    2.685483E-19       
   1129.037439732579    2.734277E-19       
   1130.232059042107    2.644998E-19       
   1131.426678351634    2.598152E-19       
   1132.621297661161    2.565237E-19       
   1133.815916970689    2.690731E-19       
   1135.010536280216    2.747145E-19       
   1136.205155589744    2.634231E-19       
   1137.399774899271    2.566089E-19       
   1138.594394208798    2.683368E-19       
   1139.789013518325    2.812502E-19       
   1140.983632827853    2.659857E-19       
    1142.17825213738    2.496269E-19       
   1143.372871446907    2.550482E-19       
   1144.567490756434    2.505022E-19       
   1145.762110065962    2.306639E-19       
   1146.956729375489    2.379525E-19       
   1148.151348685016    2.570931E-19       
   1149.345967994544    2.541085E-19       
   1150.540587304071    2.542510E-19       
   1151.735206613598    2.689146E-19       
   1152.929825923125    2.824203E-19       
   1154.124445232653    2.761329E-19       
    1155.31906454218    2.584906E-19       
   1156.513683851707    2.628795E-19       
   1157.708303161235    2.699166E-19       
   1158.902922470762    2.825974E-19       
   1160.097541780289    2.848206E-19       
   1161.292161089817    2.777030E-19       
   1162.486780399344    2.807592E-19       
   1163.681399708871    2.948252E-19       
   1164.876019018399    3.090941E-19       
   1166.070638327926    3.034496E-19       
   1167.265257637453    2.860536E-19       
    1168.45987694698    2.654658E-19       
   1169.654496256508    2.526223E-19       
   1170.849115566035    2.450809E-19       
   1172.043734875562    2.292734E-19       
    1173.23835418509    2.241720E-19       
   1174.432973494617    2.323236E-19       
   1175.627592804144    2.454515E-19       
   1176.822212113671    2.457470E-19       
   1178.016831423199    2.427545E-19       
   1179.211450732726    2.640480E-19       
   1180.406070042253    2.986713E-19       
    1181.60068935178    3.035800E-19       
   1182.795308661308    2.953593E-19       
   1183.989927970835    2.813305E-19       
   1185.184547280362    2.758962E-19       
    1186.37916658989    2.751128E-19       
   1187.573785899417    2.559305E-19       
   1188.768405208945    2.301628E-19       
   1189.963024518472    2.387406E-19       
   1191.157643827999    2.503509E-19       
   1192.352263137526    2.633615E-19       
   1193.546882447054    2.708514E-19       
   1194.741501756581    2.723517E-19       
   1195.936121066108    2.825040E-19       
   1197.130740375636    2.992612E-19       
   1198.325359685163    3.083550E-19       
    1199.51997899469    2.887044E-19       
   1200.714598304218    2.712841E-19       
   1201.909217613745    2.734012E-19       
   1203.103836923272    2.694306E-19       
   1204.298456232799    2.438532E-19       
   1205.493075542327    2.254841E-19       
   1206.687694851854    2.328925E-19       
   1207.882314161381    2.468290E-19       
   1209.076933470909    2.577698E-19       
   1210.271552780436    2.998395E-19       
   1211.466172089963    4.015347E-19       
    1212.66079139949    5.718758E-19       
   1213.855410709018    8.072884E-19       
   1215.050030018545    1.019312E-18       
   1216.244649328072    1.139550E-18       
   1217.439268637599    1.209866E-18       
   1218.633887947127    1.195342E-18       
   1219.828507256654    1.042908E-18       
