# VVDS template produced by T Contini
# from VVDS deep early type galaxies on autumn 2004
# templates have been cut between 2400 and 8000 A
# to avoid noisy parts
# it was also part of yaz custom_c template set
# with the name tspec1
# lambda   flux
  2400.   0.00000000
  2401.   0.00000000
  2402.   0.00000000
  2403.   0.00781012
  2404.   0.00798846
  2405.   0.00818240
  2406.   0.00812374
  2407.   0.00761388
  2408.   0.00761311
  2409.   0.00780496
  2410.   0.00820053
  2411.   0.00798153
  2412.   0.00786015
  2413.   0.00836734
  2414.   0.00838862
  2415.   0.00799839
  2416.   0.00680122
  2417.   0.00585860
  2418.   0.00533771
  2419.   0.00607175
  2420.   0.00664708
  2421.   0.00700004
  2422.   0.00660522
  2423.   0.00580680
  2424.   0.00497280
  2425.   0.00538729
  2426.   0.00558758
  2427.   0.00564064
  2428.   0.00559583
  2429.   0.00533149
  2430.   0.00492026
  2431.   0.00485473
  2432.   0.00581485
  2433.   0.00765700
  2434.   0.00767582
  2435.   0.00764393
  2436.   0.00755982
  2437.   0.00667100
  2438.   0.00610211
  2439.   0.00594466
  2440.   0.00563939
  2441.   0.00520808
  2442.   0.00461387
  2443.   0.00435892
  2444.   0.00434397
  2445.   0.00466113
  2446.   0.00466775
  2447.   0.00472364
  2448.   0.00497766
  2449.   0.00482260
  2450.   0.00475143
  2451.   0.00509014
  2452.   0.00571076
  2453.   0.00611088
  2454.   0.00565768
  2455.   0.00534172
  2456.   0.00524311
  2457.   0.00573983
  2458.   0.00621938
  2459.   0.00668506
  2460.   0.00712128
  2461.   0.00709986
  2462.   0.00682068
  2463.   0.00639000
  2464.   0.00567817
  2465.   0.00491302
  2466.   0.00513188
  2467.   0.00486375
  2468.   0.00434323
  2469.   0.00511255
  2470.   0.00568424
  2471.   0.00607747
  2472.   0.00594675
  2473.   0.00561056
  2474.   0.00507563
  2475.   0.00617969
  2476.   0.00635268
  2477.   0.00545298
  2478.   0.00521569
  2479.   0.00539391
  2480.   0.00607503
  2481.   0.00605793
  2482.   0.00635944
  2483.   0.00726022
  2484.   0.00757329
  2485.   0.00765643
  2486.   0.00747545
  2487.   0.00713925
  2488.   0.00667621
  2489.   0.00600400
  2490.   0.00588939
  2491.   0.00590639
  2492.   0.00589187
  2493.   0.00581933
  2494.   0.00584385
  2495.   0.00624094
  2496.   0.00652926
  2497.   0.00680153
  2498.   0.00718189
  2499.   0.00736284
  2500.   0.00743567
  2501.   0.00743571
  2502.   0.00668174
  2503.   0.00555189
  2504.   0.00477135
  2505.   0.00489395
  2506.   0.00561309
  2507.   0.00630704
  2508.   0.00641225
  2509.   0.00606867
  2510.   0.00591728
  2511.   0.00600658
  2512.   0.00631179
  2513.   0.00601143
  2514.   0.00594453
  2515.   0.00612543
  2516.   0.00573171
  2517.   0.00552656
  2518.   0.00558034
  2519.   0.00526813
  2520.   0.00506375
  2521.   0.00505786
  2522.   0.00588290
  2523.   0.00635890
  2524.   0.00605925
  2525.   0.00554788
  2526.   0.00493891
  2527.   0.00420792
  2528.   0.00445463
  2529.   0.00484605
  2530.   0.00503464
  2531.   0.00438921
  2532.   0.00386846
  2533.   0.00444505
  2534.   0.00444702
  2535.   0.00431262
  2536.   0.00444477
  2537.   0.00451849
  2538.   0.00466073
  2539.   0.00524618
  2540.   0.00528621
  2541.   0.00498350
  2542.   0.00432370
  2543.   0.00439690
  2544.   0.00492258
  2545.   0.00542387
  2546.   0.00557327
  2547.   0.00545085
  2548.   0.00508381
  2549.   0.00487175
  2550.   0.00479567
  2551.   0.00489942
  2552.   0.00494926
  2553.   0.00494533
  2554.   0.00497750
  2555.   0.00487322
  2556.   0.00460936
  2557.   0.00451380
  2558.   0.00449841
  2559.   0.00457827
  2560.   0.00452279
  2561.   0.00451649
  2562.   0.00461195
  2563.   0.00511710
  2564.   0.00559490
  2565.   0.00590017
  2566.   0.00622202
  2567.   0.00638463
  2568.   0.00618015
  2569.   0.00598509
  2570.   0.00574968
  2571.   0.00539731
  2572.   0.00495128
  2573.   0.00456061
  2574.   0.00446119
  2575.   0.00479544
  2576.   0.00530149
  2577.   0.00578567
  2578.   0.00598602
  2579.   0.00604799
  2580.   0.00611304
  2581.   0.00617506
  2582.   0.00619205
  2583.   0.00587045
  2584.   0.00573459
  2585.   0.00569716
  2586.   0.00530521
  2587.   0.00531456
  2588.   0.00564835
  2589.   0.00605964
  2590.   0.00612062
  2591.   0.00585348
  2592.   0.00607405
  2593.   0.00616448
  2594.   0.00611112
  2595.   0.00586504
  2596.   0.00566627
  2597.   0.00553871
  2598.   0.00505564
  2599.   0.00458202
  2600.   0.00416928
  2601.   0.00414503
  2602.   0.00408889
  2603.   0.00388348
  2604.   0.00376092
  2605.   0.00392171
  2606.   0.00464447
  2607.   0.00537668
  2608.   0.00593857
  2609.   0.00606507
  2610.   0.00589565
  2611.   0.00554951
  2612.   0.00493964
  2613.   0.00458056
  2614.   0.00443665
  2615.   0.00475604
  2616.   0.00515753
  2617.   0.00556501
  2618.   0.00581662
  2619.   0.00598823
  2620.   0.00607323
  2621.   0.00586640
  2622.   0.00567323
