# lambda      flux                   
  685.8989    0.0                    
  686.86554   0.0                    
  687.83215   0.0                    
  688.79877   0.005046029800000001   
  689.7654    0.00535521             
  690.73193   0.0                    
  691.69855   0.0                    
  692.66516   0.00425810539          
  693.6318    0.0                    
  694.5984    0.0                    
  695.565     0.00437413984          
  696.5316    0.0050441629           
  697.4982    0.0049317177           
  698.4648    0.00448930405          
  699.4314    0.0                    
  700.398     0.0                    
  701.3646    0.0054325761           
  702.33124   0.0056256165000000006  
  703.29785   0.0                    
  704.26447   0.0                    
  705.2311    0.0                    
  706.19763   0.0                    
  707.16425   0.0                    
  708.13086   0.0                    
  709.0975    0.00468511785          
  710.0641    0.0                    
  711.0307    0.0                    
  711.9973    0.0052293584           
  712.9639    0.0                    
  713.93054   0.0                    
  714.8971    0.0                    
  715.8637    0.0050889538000000005  
  716.8303    0.0                    
  717.79694   0.0                    
  718.76355   0.0                    
  719.73016   0.0                    
  720.6968    0.00424829363          
  721.6634    0.00455278355          
  722.62994   0.00455951811          
  723.59656   0.00432922007          
  724.5632    0.00437561327          
  725.5298    0.0045817038400000005  
  726.4964    0.0                    
  727.463     0.00418058298          
  728.4296    0.004157688709999999   
  729.39624   0.004541077940000001   
  730.36285   0.0                    
  731.3294    0.00466033855          
  732.296     0.0                    
  733.26263   0.00488927978          
  734.22925   0.0054725405           
  735.19586   0.0                    
  736.1625    0.00454261801          
  737.1291    0.005090438500000001   
  738.0957    0.004946074700000001   
  739.06226   0.00424331082          
  740.0289    0.004252122979999999   
  740.9955    0.0                    
  741.9621    0.00434106876          
  742.9287    0.00425102783          
  743.8953    0.0                    
  744.86194   0.0                    
  745.82855   0.00470110606          
  746.7951    0.0                    
  747.7617    0.0                    
  748.72833   0.00419247185          
  749.69495   0.0                    
  750.66156   0.0                    
  751.6282    0.00460949713          
  752.5948    0.0054814634           
  753.5614    0.00488741827          
  754.528     0.0                    
  755.49457   0.0                    
  756.4612    0.0042316850799999995  
  757.4278    0.00440210218          
  758.3944    0.0050929963           
  759.361     0.005498535000000001   
  760.32764   0.0                    
  761.29425   0.0045927660799999995  
  762.26086   0.0053329003           
  763.2274    0.00522732             
  764.19403   0.0047859539699999995  
  765.16064   0.00424834949          
  766.12726   0.0                    
  767.0939    0.0                    
  768.0605    0.0                    
  769.0271    0.0054339578999999995  
  769.9937    0.0049897729           
  770.9603    0.00420526771          
  771.9269    0.004960338599999999   
