# Sloan template for AGNs
# received by Angela Buongiorno  on June 2006
#   lambda    flux
    912.29    2.5444
    913.47    2.7753
    914.66    3.1004
    915.84    3.3426
    917.02    2.7594
    918.21    3.1525
    919.39    3.8911
    920.58    3.5397
    921.76    3.1551
    922.95    3.6606
    924.13    3.9088
    925.32    3.8271
    926.50    3.3572
    927.68    3.6298
    928.87    4.0831
    930.05    3.6304
    931.24    3.5937
    932.42    3.9421
    933.61    3.1572
    934.79    3.7459
    935.97    3.4248
    937.16    3.7845
    938.34    4.5453
    939.53    4.2959
    940.71    4.5886
    941.90    4.6676
    943.08    4.7744
    944.26    4.2148
    945.45    4.5244
    946.63    4.0048
    947.82    4.4795
    949.00    4.0571
    950.19    4.2192
    951.37    4.8543
    952.55    4.4158
    953.74    3.8806
    954.92    3.7315
    956.11    3.3726
    957.29    3.3675
    958.48    3.6321
    959.66    4.1913
    960.85    4.1831
    962.03    3.6469
    963.21    4.0119
    964.40    3.7271
    965.58    4.1071
    966.77    4.4927
    967.95    5.0448
    969.14    4.1736
    970.32    4.5322
    971.50    5.3091
    972.69    4.8522
    973.87    5.0527
    975.06    4.9569
    976.24    4.8573
    977.43    5.0956
    978.61    3.9541
    979.79    4.7634
    980.98    4.9303
    982.16    5.1800
    983.35    4.5043
    984.53    5.0885
    985.72    4.8967
    986.90    5.4086
    988.08    5.8804
    989.27    5.6464
    990.45    5.1552
    991.64    5.3189
    992.82    4.8845
    994.01    5.0903
    995.19    4.9691
    996.37    4.7435
    997.56    4.6308
    998.74    4.5319
    999.93    4.3941
   1001.11    4.2621
   1002.30    4.2328
   1003.48    4.1206
   1004.67    4.7170
   1005.85    4.8722
   1007.03    4.6585
   1008.22    4.5997
   1009.40    4.6390
   1010.59    4.9083
   1011.77    4.3559
   1012.96    4.8501
   1014.14    4.8675
   1015.32    5.2447
   1016.51    5.7152
   1017.69    5.3547
   1018.88    5.2005
   1020.06    6.0326
   1021.25    6.4694
   1022.43    5.7245
   1023.61    5.3188
   1024.80    6.5154
   1025.98    7.0300
   1027.17    7.2309
   1028.35    7.7670
   1029.54    8.1058
   1030.72    7.0870
   1031.90    7.0468
   1033.09    7.3565
   1034.27    7.9180
   1035.46    7.5507
   1036.64    8.0211
   1037.83    7.1090
   1039.01    6.9748
   1040.19    6.8529
   1041.38    6.0297
   1042.56    6.2129
   1043.75    5.9426
   1044.93    5.7253
   1046.12    5.7100
   1047.30    6.0417
   1048.49    5.7260
   1049.67    5.7536
   1050.85    5.6363
   1052.04    5.6781
   1053.22    5.5746
   1054.41    5.1819
   1055.59    5.2566
   1056.78    5.5371
   1057.96    5.6387
   1059.14    6.0123
   1060.33    5.5848
   1061.51    5.5206
   1062.70    5.5174
   1063.88    5.8906
   1065.07    5.1168
   1066.25    5.6830
   1067.43    5.6020
   1068.62    5.6865
   1069.80    5.2666
   1070.99    5.2740
   1072.17    5.0942
   1073.36    5.2491
   1074.54    5.3105
   1075.72    5.2832
   1076.91    4.9779
   1078.09    5.5015
   1079.28    5.3606
   1080.46    4.9090
   1081.65    4.7872
   1082.83    4.9716
   1084.01    4.8421
   1085.20    4.8662
   1086.38    4.6951
   1087.57    4.2106
   1088.75    4.7963
   1089.94    4.6625
   1091.12    4.4813
   1092.31    4.5813
   1093.49    4.6179
   1094.67    4.6800
   1095.86    4.6650
   1097.04    4.4713
   1098.23    4.3978
   1099.41    4.1383
   1100.60    4.2074
   1101.78    4.5097
   1102.96    4.5857
   1104.15    5.0521
   1105.33    5.0248
   1106.52    4.8947
   1107.70    4.9513
   1108.89    4.8119
   1110.07    5.0240
   1111.25    5.2555
   1112.44    5.0206
   1113.62    4.8144
   1114.81    4.7685
   1115.99    5.1853
   1117.18    5.1601
   1118.36    5.2005
   1119.54    5.0335
   1120.73    5.1100
   1121.91    5.1562
   1123.10    5.1196
   1124.28    4.8745
   1125.47    5.1709
   1126.65    4.5959
   1127.83    5.1532
   1129.02    5.1168
   1130.20    4.8900
   1131.39    4.8212
   1132.57    4.5119
   1133.76    4.8525
   1134.94    4.7371
   1136.13    4.6680
   1137.31    4.7838
   1138.49    4.4532
   1139.68    4.5240
   1140.86    4.5308
   1142.05    4.4187
   1143.23    4.6131
   1144.42    4.5879
   1145.60    4.6981
   1146.78    5.0037
   1147.97    4.7002
   1149.15    4.8035
   1150.34    4.5534
   1151.52    4.6858
   1152.71    4.8429
   1153.89    4.6811
   1155.07    4.6464
   1156.26    4.8830
   1157.44    4.7621
   1158.63    4.7580
   1159.81    4.5022
   1161.00    4.8122
   1162.18    4.8581
   1163.36    4.9165
   1164.55    4.9797
   1165.73    4.9951
   1166.92    5.0931
   1168.10    5.1664
   1169.29    5.3300
   1170.47    5.2578
   1171.66    5.6785
   1172.84    5.7218
   1174.02    5.9636
   1175.21    6.2301
   1176.39    6.2463
   1177.58    5.8130
   1178.76    5.8978
   1179.95    5.8439
   1181.13    5.6590
   1182.31    5.6058
   1183.50    6.1371
   1184.68    6.4381
   1185.87    6.0732
   1187.05    6.2524
   1188.24    6.9856
   1189.42    6.8730
   1190.60    7.2034
   1191.79    7.5125
   1192.97    7.9183
   1194.16    7.5103
   1195.34    7.7548
   1196.53    8.7796
   1197.71    8.6368
   1198.89    8.7673
   1200.08    9.3751
   1201.26   10.2082
   1202.45   10.5502
   1203.63   10.5606
   1204.82   11.3864
   1206.00   12.2665
   1207.18   13.2085
   1208.37   13.4303
   1209.55   14.8855
   1210.74   15.7776
   1211.92   17.3092
   1213.11   19.3137
   1214.29   20.5736
   1215.48   21.5795
   1216.66   21.1456
   1217.84   19.2092
   1219.03   18.4901
   1220.21   17.6117
   1221.40   16.8485
   1222.58   15.8374
   1223.77   15.3129
   1224.95   14.5935
   1226.13   14.2496
   1227.32   14.0141
   1228.50   13.9034
   1229.69   13.3033
   1230.87   13.1767
   1232.06   12.9839
   1233.24   12.9865
   1234.42   13.0348
   1235.61   13.0929
   1236.79   13.0914
   1237.98   13.0194
   1239.16   13.1921
   1240.35   12.8571
   1241.53   12.5184
   1242.71   12.1710
   1243.90   11.4991
   1245.08   10.8746
   1246.27   10.3122
   1247.45   10.0248
   1248.64    9.6800
   1249.82    9.3765
   1251.00    9.3050
   1252.19    9.0102
   1253.37    8.7495
   1254.56    8.8208
   1255.74    8.4478
   1256.93    8.4465
   1258.11    8.2895
   1259.30    8.2331
