#VVDS template for AGNs, obtained combinining
# all epoch1 AGN spectra
# produced by Angela Buongiorno, received  on June 2006
#   lambda    flux
     916.0    0.282E-18      
     917.2    0.511E-18      
     918.4    0.582E-18      
     919.6    0.637E-18      
     920.8    0.691E-18      
     922.0    0.747E-18      
     923.2    0.813E-18      
     924.3    0.898E-18      
     925.5    0.101E-17      
     926.7    0.118E-17      
     927.9    0.144E-17      
     929.1    0.185E-17      
     930.3    0.252E-17      
     931.5    0.315E-17      
     932.7    0.371E-17      
     933.9    0.411E-17      
     935.1    0.433E-17      
     936.2    0.454E-17      
     937.4    0.476E-17      
     938.6    0.501E-17      
     939.8    0.535E-17      
     941.0    0.585E-17      
     942.2    0.663E-17      
     943.4    0.765E-17      
     944.6    0.820E-17      
     945.8    0.829E-17      
     946.9    0.818E-17      
     948.1    0.782E-17      
     949.3    0.759E-17      
     950.5    0.719E-17      
     951.7    0.678E-17      
     952.9    0.641E-17      
     954.1    0.615E-17      
     955.3    0.598E-17      
     956.5    0.597E-17      
     957.6    0.607E-17      
     958.8    0.631E-17      
     960.0    0.624E-17      
     961.2    0.608E-17      
     962.4    0.579E-17      
     963.6    0.532E-17      
     964.8    0.535E-17      
     966.0    0.551E-17      
     967.2    0.588E-17      
     968.3    0.578E-17      
     969.5    0.556E-17      
     970.7    0.514E-17      
     971.9    0.535E-17      
     973.1    0.582E-17      
     974.3    0.667E-17      
     975.5    0.721E-17      
     976.7    0.726E-17      
     977.9    0.717E-17      
     979.1    0.688E-17      
     980.2    0.631E-17      
     981.4    0.583E-17      
     982.6    0.574E-17      
     983.8    0.573E-17      
     985.0    0.580E-17      
     986.2    0.599E-17      
     987.4    0.635E-17      
     988.6    0.696E-17      
     989.8    0.754E-17      
     990.9    0.818E-17      
     992.1    0.884E-17      
     993.3    0.948E-17      
     994.5    0.923E-17      
     995.7    0.853E-17      
     996.9    0.716E-17      
     998.1    0.594E-17      
     999.3    0.566E-17      
    1000.5    0.549E-17      
    1001.6    0.545E-17      
    1002.8    0.533E-17      
    1004.0    0.523E-17      
    1005.2    0.516E-17      
    1006.4    0.508E-17      
    1007.6    0.497E-17      
    1008.8    0.481E-17      
    1010.0    0.457E-17      
    1011.2    0.420E-17      
    1012.3    0.361E-17      
    1013.5    0.334E-17      
    1014.7    0.301E-17      
    1015.9    0.255E-17      
    1017.1    0.269E-17      
    1018.3    0.310E-17      
    1019.5    0.393E-17      
    1020.7    0.515E-17      
    1021.9    0.638E-17      
    1023.1    0.692E-17      
    1024.2    0.752E-17      
    1025.4    0.828E-17      
    1026.6    0.946E-17      
    1027.8    0.113E-16      
    1029.0    0.142E-16      
