#-- a3v
#\*l[Angstrom]	F(\*l)/F(555.6Angstrom]
1150.0	0.000000
1155.0	0.031472
1160.0	0.041861
1165.0	0.000000
1170.0	0.000000
1175.0	0.000000
1180.0	0.000000
1185.0	0.000000
1190.0	0.000000
1195.0	0.000000
1200.0	0.000000
1205.0	0.007763
1210.0	0.032597
1215.0	0.049138
1220.0	0.035107
1225.0	0.012297
1230.0	0.008853
1235.0	0.009024
1240.0	0.015564
1245.0	0.005788
1250.0	0.008141
1255.0	0.010380
1260.0	0.009908
1265.0	0.015776
1270.0	0.022560
1275.0	0.028252
1280.0	0.044197
1285.0	0.056652
1290.0	0.049619
1295.0	0.068418
1300.0	0.064254
1305.0	0.048627
1310.0	0.054869
1315.0	0.098457
1320.0	0.123269
1325.0	0.117805
1330.0	0.110760
1335.0	0.118982
1340.0	0.156111
1345.0	0.176466
1350.0	0.156372
1355.0	0.135375
1360.0	0.147126
1365.0	0.152137
1370.0	0.143659
1375.0	0.162518
1380.0	0.163347
1385.0	0.167811
1390.0	0.166477
1395.0	0.160943
1400.0	0.156764
1405.0	0.169611
1410.0	0.172429
1415.0	0.190395
1420.0	0.210136
1425.0	0.208977
1430.0	0.204553
1435.0	0.189658
1440.0	0.214908
1445.0	0.234664
1450.0	0.254696
1455.0	0.263577
1460.0	0.255723
1465.0	0.243311
1470.0	0.229754
1475.0	0.239523
1480.0	0.250504
1485.0	0.269883
1490.0	0.302688
1495.0	0.308387
1500.0	0.348699
1505.0	0.320290
1510.0	0.277526
1515.0	0.284740
1520.0	0.315430
1525.0	0.285902
1530.0	0.278463
1535.0	0.308885
1540.0	0.360926
1545.0	0.388254
1550.0	0.392958
1555.0	0.390193
1560.0	0.389230
1565.0	0.460690
1570.0	0.467526
1575.0	0.504887
1580.0	0.591349
1585.0	0.592767
1590.0	0.557535
1595.0	0.548230
1600.0	0.598859
1605.0	0.610749
1610.0	0.607378
1615.0	0.603066
1620.0	0.603360
1625.0	0.627023
1630.0	0.610169
1635.0	0.601846
1640.0	0.641903
1645.0	0.695675
1650.0	0.676760
1655.0	0.579837
1660.0	0.590097
1665.0	0.707265
1670.0	0.631649
1675.0	0.632344
1680.0	0.712219
1685.0	0.723268
1690.0	0.726292
1695.0	0.707626
1700.0	0.719414
1705.0	0.746126
1710.0	0.767696
1715.0	0.789036
1720.0	0.787056
1725.0	0.760873
1730.0	0.820652
1735.0	0.830157
1740.0	0.848679
1745.0	0.859384
1750.0	0.900829
1755.0	0.960421
1760.0	0.913352
1765.0	0.844615
1770.0	0.888232
1775.0	0.952519
1780.0	0.987326
1785.0	0.937554
1790.0	0.885167
1795.0	0.989087
1800.0	1.077985
1805.0	1.014981
1810.0	0.973626
1815.0	1.002433
1820.0	1.021064
1825.0	1.014267
1830.0	0.973733
1835.0	0.944397
1840.0	0.898711
1845.0	0.857289
1850.0	0.873393
1855.0	0.883804
1860.0	0.905337
1865.0	0.919287
1870.0	0.948111
1875.0	0.952265
1880.0	0.959722
1885.0	0.984240
1890.0	0.967093
1895.0	0.939858
1900.0	0.902296
1905.0	0.896680
1910.0	0.899496
1915.0	0.920315
1920.0	0.939878
1925.0	0.920474
1930.0	0.885326
1935.0	0.891460
1940.0	0.951299
1945.0	0.986250
1950.0	0.983661
1955.0	0.962449
1960.0	0.935132
1965.0	0.956161
1970.0	0.963449
1975.0	0.995171
1980.0	0.974115
1985.0	0.960774
1990.0	0.938083
1995.0	0.891940
2000.0	0.906586
2005.0	0.931401
2010.0	0.883368
2015.0	0.911852
2020.0	0.900239
2025.0	0.902125
2030.0	0.915106
2035.0	0.938406
2040.0	0.913104
2045.0	0.880299
2050.0	0.951679
2055.0	0.991395
2060.0	0.897929
2065.0	0.874686
2070.0	0.919249
2075.0	0.956698
2080.0	0.998548
2085.0	1.014821
2090.0	1.000340
2095.0	0.964088
2100.0	0.923543
2105.0	0.911347
2110.0	0.927912
2115.0	0.909672
2120.0	0.905545
2125.0	0.931691
2130.0	0.931987
2135.0	0.821748
2140.0	0.734855
2145.0	0.813165
2150.0	0.866613
2155.0	0.869463
2160.0	0.869573
2165.0	0.821737
2170.0	0.800069
2175.0	0.771982
2180.0	0.756810
2185.0	0.807072
2190.0	0.853384
2195.0	0.853090
2200.0	0.840772
2205.0	0.830116
2210.0	0.794878
2215.0	0.745113
2220.0	0.717050
2225.0	0.726328
2230.0	0.743144
2235.0	0.750740
2240.0	0.781806
2245.0	0.744625
2250.0	0.703536
2255.0	0.707747
2260.0	0.686971
2265.0	0.685037
2270.0	0.717806
2275.0	0.725609
2280.0	0.758137
2285.0	0.763654
2290.0	0.783798
2295.0	0.752984
2300.0	0.699532
2305.0	0.675568
2310.0	0.708516
2315.0	0.728642
2320.0	0.689717
2325.0	0.694214
2330.0	0.693517
2335.0	0.692790
2340.0	0.642624
2345.0	0.604273
2350.0	0.581407
2355.0	0.620933
2360.0	0.657986
2365.0	0.641200
2370.0	0.621508
2375.0	0.649716
2380.0	0.651033
2385.0	0.600068
2390.0	0.549994
2395.0	0.573416
2400.0	0.596802
2405.0	0.582153
2410.0	0.544306
2415.0	0.547222
2420.0	0.612505
2425.0	0.677521
2430.0	0.692488
2435.0	0.657627
2440.0	0.627139
2445.0	0.660394
2450.0	0.674038
2455.0	0.678716
2460.0	0.697739
2465.0	0.697330
2470.0	0.643590
2475.0	0.622886
2480.0	0.635535
2485.0	0.628828
2490.0	0.623372
2495.0	0.631040
2500.0	0.695555
2505.0	0.701033
2510.0	0.684577
2515.0	0.674473
2520.0	0.654566
2525.0	0.611149
2530.0	0.571473
2535.0	0.573292
2540.0	0.580326
2545.0	0.578060
2550.0	0.589949
2555.0	0.612680
2560.0	0.655936
2565.0	0.661054
2570.0	0.712949
2575.0	0.734788
2580.0	0.626161
2585.0	0.594806
2590.0	0.669941
2595.0	0.726037
2600.0	0.705974
2605.0	0.667520
2610.0	0.651613
2615.0	0.633780
2620.0	0.672468
2625.0	0.701797
2630.0	0.674764
2635.0	0.679337
2640.0	0.754484
2645.0	0.826649
2650.0	0.865225
2655.0	0.864785
2660.0	0.833859
2665.0	0.766190
2670.0	0.730603
2675.0	0.734791
2680.0	0.768082
2685.0	0.770655
2690.0	0.750917
2695.0	0.710296
2700.0	0.696371
2705.0	0.730903
2710.0	0.723487
2715.0	0.693514
2720.0	0.703630
2725.0	0.697509
2730.0	0.727741
2735.0	0.755193
2740.0	0.724671
2745.0	0.654234
2750.0	0.618530
2755.0	0.608333
2760.0	0.645140
2765.0	0.690645
2770.0	0.703078
2775.0	0.697383
2780.0	0.715559
2785.0	0.673098
2790.0	0.652657
2795.0	0.586834
2800.0	0.447880
2805.0	0.461069
2810.0	0.598645
2815.0	0.721918
2820.0	0.780668
2825.0	0.785518
2830.0	0.760652
2835.0	0.746353
2840.0	0.746970
2845.0	0.726763
2850.0	0.724001
2855.0	0.703783
2860.0	0.708963
2865.0	0.742947
2870.0	0.736801
2875.0	0.729170
2880.0	0.719359
2885.0	0.747995
2890.0	0.747739
2895.0	0.741196
2900.0	0.753384
2905.0	0.784272
2910.0	0.815969
2915.0	0.832476
2920.0	0.838894
2925.0	0.795901
2930.0	0.780415
2935.0	0.787630
2940.0	0.777172
2945.0	0.798871
2950.0	0.778604
2955.0	0.791762
2960.0	0.820901
2965.0	0.823829
2970.0	0.803839
2975.0	0.798581
2980.0	0.829048
2985.0	0.809438
2990.0	0.815796
2995.0	0.836693
3000.0	0.826645
3005.0	0.794143
3010.0	0.835852
3015.0	0.835393
3020.0	0.798415
3025.0	0.793957
3030.0	0.792117
3035.0	0.809455
3040.0	0.818849
3045.0	0.804329
3050.0	0.789985
3055.0	0.807367
3060.0	0.782458
3065.0	0.767501
3070.0	0.784333
3075.0	0.804126
3080.0	0.831064
3085.0	0.832743
3090.0	0.830733
3095.0	0.809201
3100.0	0.775977
3105.0	0.794708
3110.0	0.830839
3115.0	0.825617
3120.0	0.797305
3125.0	0.796812
3130.0	0.805727
3135.0	0.819487
3140.0	0.867560
3145.0	0.859897
3150.0	0.852049
3155.0	0.870719
3160.0	0.821461
3165.0	0.814684
3170.0	0.848516
3175.0	0.879850
3180.0	0.855968
3185.0	0.838113
3190.0	0.860774
