#-- a47iv
#\*l[Angstrom]	F(\*l)/F(555.6Angstrom]
1150.0	0.016382
1155.0	0.011100
1160.0	0.007573
1165.0	0.000000
1170.0	0.000000
1175.0	0.002963
1180.0	0.004812
1185.0	0.000000
1190.0	0.000000
1195.0	0.000000
1200.0	0.000000
1205.0	0.003479
1210.0	0.012130
1215.0	0.021089
1220.0	0.012803
1225.0	0.004961
1230.0	0.001935
1235.0	0.004621
1240.0	0.006628
1245.0	0.003106
1250.0	0.004505
1255.0	0.002873
1260.0	0.002064
1265.0	0.000741
1270.0	0.001831
1275.0	0.002796
1280.0	0.002645
1285.0	0.001010
1290.0	0.002057
1295.0	0.001795
1300.0	0.002932
1305.0	0.001859
1310.0	0.002227
1315.0	0.001077
1320.0	0.002648
1325.0	0.003148
1330.0	0.002297
1335.0	0.004517
1340.0	0.004731
1345.0	0.005058
1350.0	0.003370
1355.0	0.003829
1360.0	0.004222
1365.0	0.004849
1370.0	0.004210
1375.0	0.004876
1380.0	0.006149
1385.0	0.004759
1390.0	0.003930
1395.0	0.004567
1400.0	0.005385
1405.0	0.005748
1410.0	0.006051
1415.0	0.006528
1420.0	0.004609
1425.0	0.003372
1430.0	0.003379
1435.0	0.007166
1440.0	0.006992
1445.0	0.009250
1450.0	0.009611
1455.0	0.009496
1460.0	0.006863
1465.0	0.008684
1470.0	0.010911
1475.0	0.009583
1480.0	0.006998
1485.0	0.009806
1490.0	0.010642
1495.0	0.013559
1500.0	0.013711
1505.0	0.014259
1510.0	0.013468
1515.0	0.014177
1520.0	0.010663
1525.0	0.011690
1530.0	0.013568
1535.0	0.021825
1540.0	0.030646
1545.0	0.038750
1550.0	0.042383
1555.0	0.047347
1560.0	0.057935
1565.0	0.073745
1570.0	0.070103
1575.0	0.090470
1580.0	0.122939
1585.0	0.121194
1590.0	0.112470
1595.0	0.106320
1600.0	0.119975
1605.0	0.129450
1610.0	0.134920
1615.0	0.137452
1620.0	0.138071
1625.0	0.141383
1630.0	0.145804
1635.0	0.161444
1640.0	0.182946
1645.0	0.205567
1650.0	0.191799
1655.0	0.157693
1660.0	0.185694
1665.0	0.216082
1670.0	0.176549
1675.0	0.203912
1680.0	0.237828
1685.0	0.236163
1690.0	0.246538
1695.0	0.247526
1700.0	0.271555
1705.0	0.316251
1710.0	0.355732
1715.0	0.376832
1720.0	0.380919
1725.0	0.380016
1730.0	0.430696
1735.0	0.422711
1740.0	0.422597
1745.0	0.450348
1750.0	0.501676
1755.0	0.537023
1760.0	0.496520
1765.0	0.457194
1770.0	0.502280
1775.0	0.566550
1780.0	0.595272
1785.0	0.568423
1790.0	0.577942
1795.0	0.653380
1800.0	0.674116
1805.0	0.616599
1810.0	0.587915
1815.0	0.620148
1820.0	0.629086
1825.0	0.625034
1830.0	0.585010
1835.0	0.557814
1840.0	0.507068
1845.0	0.479302
1850.0	0.486542
1855.0	0.503049
1860.0	0.523835
1865.0	0.538898
1870.0	0.566329
1875.0	0.576139
1880.0	0.594562
1885.0	0.614176
1890.0	0.610741
1895.0	0.577491
1900.0	0.539039
1905.0	0.549594
1910.0	0.563032
1915.0	0.599681
1920.0	0.609278
1925.0	0.570285
1930.0	0.510519
1935.0	0.516215
1940.0	0.591867
1945.0	0.637304
1950.0	0.641735
1955.0	0.652557
1960.0	0.652335
1965.0	0.674956
1970.0	0.675386
1975.0	0.695299
1980.0	0.685882
1985.0	0.696605
1990.0	0.657706
1995.0	0.636015
2000.0	0.661366
2005.0	0.671639
2010.0	0.630867
2015.0	0.619520
2020.0	0.590454
2025.0	0.602243
2030.0	0.635184
2035.0	0.653488
2040.0	0.651870
2045.0	0.657735
2050.0	0.703315
2055.0	0.711501
2060.0	0.642001
2065.0	0.643708
2070.0	0.658566
2075.0	0.674572
2080.0	0.749345
2085.0	0.762347
2090.0	0.762263
2095.0	0.728748
2100.0	0.692135
2105.0	0.684651
2110.0	0.670524
2115.0	0.664218
2120.0	0.661068
2125.0	0.698594
2130.0	0.704376
2135.0	0.591538
2140.0	0.512454
2145.0	0.553709
2150.0	0.599820
2155.0	0.619639
2160.0	0.637378
2165.0	0.587188
2170.0	0.555201
2175.0	0.531257
2180.0	0.531660
2185.0	0.586407
2190.0	0.624230
2195.0	0.646017
2200.0	0.671270
2205.0	0.665746
2210.0	0.604872
2215.0	0.532949
2220.0	0.529511
2225.0	0.530988
2230.0	0.504361
2235.0	0.531269
2240.0	0.597760
2245.0	0.562575
2250.0	0.500791
2255.0	0.497488
2260.0	0.519429
2265.0	0.505740
2270.0	0.497855
2275.0	0.515324
2280.0	0.544213
2285.0	0.565133
2290.0	0.589644
2295.0	0.591845
2300.0	0.531217
2305.0	0.486424
2310.0	0.511795
2315.0	0.518541
2320.0	0.497423
2325.0	0.501377
2330.0	0.492795
2335.0	0.474905
2340.0	0.442517
2345.0	0.398605
2350.0	0.373456
2355.0	0.417445
2360.0	0.471844
2365.0	0.445641
2370.0	0.441501
2375.0	0.464739
2380.0	0.461305
2385.0	0.416578
2390.0	0.370862
2395.0	0.404889
