#-- a7iii
#\*l[Angstrom]	F(\*l)/F(555.6Angstrom]
1150.0	0.072090
1155.0	0.049768
1160.0	0.024678
1165.0	0.000000
1170.0	0.001894
1175.0	0.008262
1180.0	0.004035
1185.0	0.000000
1190.0	0.000000
1195.0	0.000000
1200.0	0.000650
1205.0	0.016540
1210.0	0.036657
1215.0	0.045319
1220.0	0.032410
1225.0	0.012270
1230.0	0.010155
1235.0	0.011228
1240.0	0.006018
1245.0	0.000616
1250.0	0.004854
1255.0	0.003179
1260.0	0.002374
1265.0	0.000071
1270.0	0.001833
1275.0	0.002104
1280.0	0.000000
1285.0	0.000000
1290.0	0.000000
1295.0	0.000000
1300.0	0.000000
1305.0	0.001102
1310.0	0.000000
1315.0	0.000000
1320.0	0.000000
1325.0	0.000000
1330.0	0.000000
1335.0	0.000000
1340.0	0.000335
1345.0	0.000802
1350.0	0.000000
1355.0	0.001385
1360.0	0.002301
1365.0	0.000000
1370.0	0.000000
1375.0	0.001392
1380.0	0.002505
1385.0	0.000000
1390.0	0.000000
1395.0	0.000000
1400.0	0.000000
1405.0	0.001429
1410.0	0.000000
1415.0	0.000000
1420.0	0.001755
1425.0	0.003649
1430.0	0.004839
1435.0	0.002419
1440.0	0.003789
1445.0	0.006257
1450.0	0.004623
1455.0	0.002833
1460.0	0.001768
1465.0	0.000151
1470.0	0.001198
1475.0	0.003189
1480.0	0.003325
1485.0	0.001648
1490.0	0.003179
1495.0	0.009593
1500.0	0.008847
1505.0	0.008609
1510.0	0.007349
1515.0	0.003637
1520.0	0.003549
1525.0	0.002573
1530.0	0.004133
1535.0	0.007087
1540.0	0.008022
1545.0	0.015716
1550.0	0.018695
1555.0	0.013640
1560.0	0.014140
1565.0	0.018028
1570.0	0.020848
1575.0	0.025884
1580.0	0.032029
1585.0	0.026190
1590.0	0.021596
1595.0	0.029445
1600.0	0.035214
1605.0	0.036085
1610.0	0.033626
1615.0	0.036463
1620.0	0.036392
1625.0	0.035421
1630.0	0.040291
1635.0	0.042803
1640.0	0.051269
1645.0	0.059848
1650.0	0.062887
1655.0	0.047864
1660.0	0.056240
1665.0	0.071388
1670.0	0.056832
1675.0	0.062967
1680.0	0.081299
1685.0	0.084478
1690.0	0.090806
1695.0	0.100251
1700.0	0.122108
1705.0	0.152406
1710.0	0.184939
1715.0	0.208045
1720.0	0.210025
1725.0	0.198333
1730.0	0.237228
1735.0	0.243423
1740.0	0.242302
1745.0	0.251619
1750.0	0.283200
1755.0	0.314411
1760.0	0.292366
1765.0	0.263867
1770.0	0.291513
1775.0	0.335759
1780.0	0.355306
1785.0	0.321587
1790.0	0.316690
1795.0	0.396889
1800.0	0.402949
1805.0	0.365818
1810.0	0.344586
1815.0	0.377169
1820.0	0.385966
1825.0	0.383101
1830.0	0.353644
1835.0	0.338315
1840.0	0.311954
1845.0	0.295483
1850.0	0.290748
