#-- b0v
#\*l[Angstrom]	F(\*l)/F(555.6Angstrom]
1150.02	25.963779168.676208
1155.01	8.482157133.073959
1160.01	8.189384113.737320
1165.01	9.793808111.826813
1170.0	99.958008
1175.0	79.515594
1180.0	86.660614
1185.0	96.530807
1190.0	89.222694
1195.0	79.401352
1200.0	79.882309
1205.0	73.226616
1210.0	58.262592
1215.0	33.695015
1220.0	53.025375
1225.0	83.707420
1230.0	90.966011
1235.0	93.970375
1240.0	93.165443
1245.0	89.924446
1250.0	86.548447
1255.0	87.089844
1260.0	89.849701
1265.0	94.026787
1270.0	93.423546
1275.0	92.871849
1280.0	92.543579
1285.0	90.534103
1290.0	91.355659
1295.0	86.102081
1300.0	80.671089
1305.0	83.867256
1310.0	92.127243
1315.0	89.050255
1320.0	88.100487
1325.0	83.684067
1330.0	84.501854
1335.0	78.060562
1340.0	76.939613
1345.0	76.758209
1350.0	76.892059
1355.0	77.445564
1360.0	75.202354
1365.0	74.610458
1370.0	74.100189
1375.0	71.746628
1380.0	70.372696
1385.0	66.704506
1390.0	59.943005
1395.0	50.103031
1400.0	52.738991
1405.0	54.312225
1410.0	60.012531
1415.0	61.452969
1420.0	59.305641
1425.0	56.955635
1430.0	55.779633
1435.0	59.296753
1440.0	58.541019
1445.0	58.128235
1450.0	57.637035
1455.0	56.331577
1460.0	55.911293
1465.0	55.878323
1470.0	56.346790
1475.0	56.583092
1480.0	55.878654
1485.0	55.892426
1490.0	57.050808
1495.0	54.875122
1500.0	51.270939
1505.0	50.574753
1510.0	51.588127
1515.0	51.134132
1520.0	51.989243
1525.0	48.221321
1530.0	44.027851
1535.0	42.311970
1540.0	42.003342
1545.0	35.908291
1550.0	30.613894
1555.0	38.497719
1560.0	41.829384
1565.0	40.695652
1570.0	41.436749
1575.0	42.118565
1580.0	41.630573
1585.0	43.122540
1590.0	42.972858
1595.0	40.950474
1600.0	40.213570
1605.0	38.583035
1610.0	36.625740
1615.0	36.961899
1620.0	36.426613
1625.0	36.448105
1630.0	36.243759
1635.0	36.642345
1640.0	35.883747
1645.0	37.114666
1650.0	39.098278
1655.0	37.094318
1660.0	35.598927
1665.0	36.358475
1670.0	35.429489
1675.0	35.643135
1680.0	37.256390
1685.0	37.011951
1690.0	35.464096
1695.0	35.513260
1700.0	35.282494
1705.0	34.823437
1710.0	35.136864
1715.0	34.150097
1720.0	31.360159
1725.0	31.257393
1730.0	32.901249
1735.0	34.096474
1740.0	33.529358
1745.0	33.538074
1750.0	32.858585
1755.0	33.239677
1760.0	34.124428
1765.0	33.969868
1770.0	33.506454
1775.0	32.991158
1780.0	32.808456
1785.0	31.892338
1790.0	29.174871
1795.0	29.939695
1800.0	31.508415
1805.0	30.794138
1810.0	30.565256
1815.0	31.002949
1820.0	31.079384
1825.0	31.061529
1830.0	31.320990
1835.0	31.199097
1840.0	29.781872
1845.0	28.468447
1850.0	28.101299
1855.0	27.903095
1860.0	28.001213
1865.0	28.255426
1870.0	27.822668
1875.0	27.600435
1880.0	27.458912
1885.0	26.015541
1890.0	25.259911
1895.0	25.389442
1900.0	25.612518
1905.0	25.209770
1910.0	24.944689
1915.0	24.403837
1920.0	23.241129
1925.0	22.910620
1930.0	23.882998
1935.0	24.863586
1940.0	24.520283
1945.0	24.678238
1950.0	24.389515
1955.0	23.721693
1960.0	22.488934
1965.0	22.304169
1970.0	22.657324
1975.0	22.888111
1980.0	22.977465
1985.0	22.687084
1990.0	21.923159
1995.0	21.506130
2000.0	21.317299
2005.0	21.695354
2010.0	21.361055
