#-- b12iii
#\*l[Angstrom]	F(\*l)/F(555.6Angstrom]
1150.0	80.717331
1155.0	58.822697
1160.0	46.084198
1165.0	43.013996
1170.0	35.115273
1175.0	27.668774
1180.0	32.747818
1185.0	34.962406
1190.0	27.112854
1195.0	24.834612
1200.0	24.910772
1205.0	20.042112
1210.0	12.891719
1215.0	9.822898
1220.0	18.641714
1225.0	29.074123
1230.0	33.424278
1235.0	36.043472
1240.0	37.187851
1245.0	36.164307
1250.0	35.131752
1255.0	35.547283
1260.0	36.050880
1265.0	38.114735
1270.0	40.016357
1275.0	40.059788
1280.0	39.881683
1285.0	39.547867
1290.0	37.829453
1295.0	33.898540
1300.0	32.102943
1305.0	34.797359
1310.0	38.057842
1315.0	39.087440
1320.0	38.809902
1325.0	36.536625
1330.0	34.586662
1335.0	32.473209
1340.0	33.958599
1345.0	34.813446
1350.0	35.428848
1355.0	35.498512
1360.0	34.323513
1365.0	33.512302
1370.0	33.319435
1375.0	32.093548
1380.0	30.678148
1385.0	28.514946
1390.0	24.248201
1395.0	22.666229
1400.0	23.572512
1405.0	25.771519
1410.0	27.755444
1415.0	27.260014
1420.0	26.929907
1425.0	26.052290
1430.0	26.712805
1435.0	27.740740
1440.0	28.041786
1445.0	27.773335
1450.0	27.969456
1455.0	27.160017
1460.0	26.948801
1465.0	27.089550
1470.0	27.623365
1475.0	27.542501
1480.0	27.390110
1485.0	28.052855
1490.0	28.241182
1495.0	26.874910
1500.0	25.082266
1505.0	24.744677
1510.0	24.673874
1515.0	23.699249
1520.0	23.926367
1525.0	21.895563
1530.0	19.742727
1535.0	18.741011
1540.0	16.918783
1545.0	14.698949
1550.0	16.165497
1555.0	19.253212
1560.0	19.380663
1565.0	19.505070
1570.0	20.150513
1575.0	20.539524
1580.0	20.746939
1585.0	21.407219
1590.0	21.091061
1595.0	19.972979
1600.0	19.016699
1605.0	17.977081
1610.0	17.268639
1615.0	17.784643
1620.0	17.931824
1625.0	17.916063
1630.0	18.084490
1635.0	18.447086
1640.0	18.788988
1645.0	19.650757
1650.0	19.437553
1655.0	18.264404
1660.0	17.963568
1665.0	18.425690
1670.0	18.162043
1675.0	18.947903
1680.0	20.172016
1685.0	19.725855
1690.0	18.965555
1695.0	18.605291
1700.0	18.273268
1705.0	18.035425
1710.0	17.620743
1715.0	16.938257
1720.0	16.045950
1725.0	16.533163
1730.0	17.643862
1735.0	18.541063
1740.0	18.265173
1745.0	17.875513
1750.0	17.777700
1755.0	18.274220
1760.0	18.694607
1765.0	18.602907
1770.0	17.915865
1775.0	17.552011
1780.0	17.482634
1785.0	16.004702
1790.0	13.397943
1795.0	15.812195
1800.0	17.246275
1805.0	16.967152
1810.0	16.551691
1815.0	16.652954
1820.0	17.005144
1825.0	17.016474
1830.0	16.890469
1835.0	16.586256
1840.0	15.751781
1845.0	15.039984
1850.0	14.796963
1855.0	14.739436
1860.0	14.957563
1865.0	14.987175
1870.0	15.011134
1875.0	15.040326
1880.0	14.635312
1885.0	13.677851
1890.0	13.154941
1895.0	13.322406
1900.0	13.496264
1905.0	13.297423
1910.0	13.150349
1915.0	12.657618
1920.0	12.261560
1925.0	12.086190
1930.0	12.681643
1935.0	13.211442
1940.0	13.299747
1945.0	13.289064
1950.0	12.959528
1955.0	12.289224
1960.0	11.508400
1965.0	11.429792
1970.0	12.287663
1975.0	13.260214
1980.0	12.863069
1985.0	12.801370
1990.0	12.067332
1995.0	11.345984
2000.0	11.282357
2005.0	11.695316
2010.0	11.569563
2015.0	12.280392
2020.0	12.181655
2025.0	12.526383
2030.0	12.545506
2035.0	12.103759
2040.0	11.817290
2045.0	11.556646
2050.0	11.638780
2055.0	11.894423
2060.0	11.129672
2065.0	11.160922
2070.0	11.515783
2075.0	11.607277
2080.0	11.635771
2085.0	11.486930
2090.0	11.163400
2095.0	10.261996
2100.0	10.205277
2105.0	10.326957
2110.0	10.627976
2115.0	11.102920
2120.0	11.063919
2125.0	11.181467
2130.0	11.247544
2135.0	10.619627
2140.0	10.322792
2145.0	10.276087
2150.0	9.990604
2155.0	10.101192
2160.0	10.403266
2165.0	9.953468
2170.0	9.897470
2175.0	9.609347
2180.0	9.344927
2185.0	9.521371
2190.0	9.788008
2195.0	10.162237
2200.0	10.110148
2205.0	9.631575
2210.0	9.274659
2215.0	9.051321
2220.0	9.256481
2225.0	9.539359
2230.0	9.430471
2235.0	9.247479
2240.0	9.364753
2245.0	9.309875
2250.0	9.388724
2255.0	9.287314
2260.0	9.362546
2265.0	9.230436
2270.0	8.999113
2275.0	8.946658
2280.0	9.071369
2285.0	9.002579
2290.0	9.169501
2295.0	8.815235
2300.0	8.668582
2305.0	8.626733
2310.0	8.980558
2315.0	9.237049
2320.0	9.124409
2325.0	9.026744
2330.0	9.133413
2335.0	9.141330
2340.0	9.053886
2345.0	9.045562
2350.0	9.291764
2355.0	9.262098
2360.0	9.113672
2365.0	8.917361
2370.0	8.971763
2375.0	9.091454
2380.0	8.933378
2385.0	8.563183
2390.0	8.276361
2395.0	8.589521
2400.0	8.801236
2405.0	8.549692
2410.0	8.421992
2415.0	8.269428
2420.0	8.322881
2425.0	8.603613
2430.0	8.644798
2435.0	8.688939
2440.0	8.768690
2445.0	8.863748
2450.0	8.815141
2455.0	9.091658
2460.0	9.411484
2465.0	9.330894
2470.0	9.008390
2475.0	8.662229
2480.0	8.707833
2485.0	8.812909
2490.0	8.494123
2495.0	8.505847
2500.0	8.818014
2505.0	8.623822
