#-- b2ii
#\*l[Angstrom]	F(\*l)/F(555.6Angstrom]
1150.0	18.542936
1155.0	14.136545
1160.0	11.919143
1165.0	11.779259
1170.0	9.762265
1175.0	7.220887
1180.0	8.682664
1185.0	9.957264
1190.0	8.457760
1195.0	6.953805
1200.0	6.227396
1205.0	4.113087
1210.0	2.305570
1215.0	1.430713
1220.0	2.270001
1225.0	4.932450
1230.0	7.242015
1235.0	8.517392
1240.0	10.999514
1245.0	12.740422
1250.0	11.770794
1255.0	11.528381
1260.0	11.624524
1265.0	12.365453
1270.0	13.371647
1275.0	13.174253
1280.0	13.423655
1285.0	13.620823
1290.0	13.066373
1295.0	11.582065
1300.0	10.503545
1305.0	11.337629
1310.0	13.339665
1315.0	13.905221
1320.0	13.874176
1325.0	13.134554
1330.0	12.728038
1335.0	12.122665
1340.0	12.642124
1345.0	13.045950
1350.0	13.440733
1355.0	13.362515
1360.0	13.376679
1365.0	12.916781
1370.0	12.877142
1375.0	12.522546
1380.0	11.733785
1385.0	10.257283
1390.0	8.399930
1395.0	7.539846
1400.0	8.454216
1405.0	11.062323
1410.0	11.937019
1415.0	11.267971
1420.0	10.752566
1425.0	10.699656
1430.0	10.857351
1435.0	11.328670
1440.0	11.648527
1445.0	11.664165
1450.0	11.602025
1455.0	11.425522
1460.0	11.636420
1465.0	11.678591
1470.0	11.396524
1475.0	11.613752
1480.0	11.681073
1485.0	11.800900
1490.0	12.218400
1495.0	11.728424
1500.0	10.859453
1505.0	10.490219
1510.0	10.932198
1515.0	10.496234
1520.0	10.712584
1525.0	10.094133
1530.0	8.887795
1535.0	7.928061
1540.0	7.030559
1545.0	6.091876
1550.0	7.285466
1555.0	9.459193
1560.0	9.293335
1565.0	8.596461
1570.0	8.875094
1575.0	9.207455
1580.0	9.200174
1585.0	9.720006
1590.0	10.145975
1595.0	9.652195
1600.0	8.956169
1605.0	8.448747
1610.0	8.054263
1615.0	8.048204
1620.0	8.223859
1625.0	8.387957
1630.0	8.344771
1635.0	8.695971
1640.0	9.086147
1645.0	9.523942
1650.0	9.577396
1655.0	8.889486
1660.0	8.393157
1665.0	8.724938
1670.0	8.785401
1675.0	8.820661
1680.0	9.523176
1685.0	9.644064
1690.0	9.313076
1695.0	9.005668
1700.0	8.984389
1705.0	8.759663
1710.0	8.400834
1715.0	8.120222
1720.0	7.646191
1725.0	7.774899
1730.0	8.537568
1735.0	9.056209
1740.0	9.058690
1745.0	8.901229
1750.0	8.763890
1755.0	8.848495
1760.0	9.296968
1765.0	9.215663
1770.0	8.972475
1775.0	8.646343
