#-- b2iv
#\*l[Angstrom]	F(\*l)/F(555.6Angstrom]
1150.01	27.428185109.078125
1155.0	74.531662
1160.0	55.292923
1165.0	56.495457
1170.0	51.923550
1175.0	39.748901
1180.0	41.459446
1185.0	48.929333
1190.0	42.087612
1195.0	31.887165
1200.0	33.801132
1205.0	23.850452
1210.0	13.777331
1215.0	8.064354
1220.0	15.654184
1225.0	30.561270
1230.0	38.953922
1235.0	45.507030
1240.0	49.650467
1245.0	49.666321
1250.0	46.385460
1255.0	46.987232
1260.0	46.000019
1265.0	47.198235
1270.0	48.502403
1275.0	48.334362
1280.0	48.271145
1285.0	48.695278
1290.0	44.813602
1295.0	38.863708
1300.0	34.178558
1305.0	35.639790
1310.0	41.351433
1315.0	45.795670
1320.0	46.462875
1325.0	44.229885
1330.0	41.365166
1335.0	37.148628
1340.0	39.478531
1345.0	41.890324
1350.0	42.312874
1355.0	41.191547
1360.0	39.930073
1365.0	38.321365
1370.0	38.125965
1375.0	37.208736
1380.0	34.487499
1385.0	33.401070
1390.0	30.438858
1395.0	26.097023
1400.0	27.686424
1405.0	28.811016
1410.0	31.322702
1415.0	31.015299
1420.0	30.471550
1425.0	31.672768
1430.0	31.202383
1435.0	31.260860
1440.0	32.394268
1445.0	32.735310
1450.0	32.316422
1455.0	31.565989
1460.0	31.775869
1465.0	30.413952
1470.0	30.428783
1475.0	30.921894
1480.0	30.348629
1485.0	31.036793
1490.0	31.327211
1495.0	30.001709
1500.0	27.862854
1505.0	26.819302
1510.0	27.505735
1515.0	25.291531
1520.0	25.915277
1525.0	25.475384
1530.0	23.253305
1535.0	22.321287
1540.0	22.091377
1545.0	21.380049
1550.0	19.440311
1555.0	21.511282
1560.0	23.220764
1565.0	23.602818
1570.0	23.469406
1575.0	23.756933
1580.0	23.490568
1585.0	23.648125
1590.0	23.262445
1595.0	22.609896
1600.0	21.716961
1605.0	21.499144
1610.0	21.151808
1615.0	21.710968
1620.0	22.136141
1625.0	21.813919
1630.0	21.598621
1635.0	21.832357
1640.0	21.309357
1645.0	21.146313
1650.0	21.292475
1655.0	21.311333
1660.0	21.458094
1665.0	21.790491
1670.0	21.474936
1675.0	21.090246
