#-- b5i
#\*l[Angstrom]	F(\*l)/F(555.6Angstrom]
1150.0	8.453187
1155.0	6.820466
1160.0	6.227903
1165.0	6.314741
1170.0	5.703541
1175.0	4.743167
1180.0	5.545461
1185.0	5.835412
1190.0	4.442760
1195.0	3.425070
1200.0	2.707309
1205.0	1.277817
1210.0	0.887630
1215.0	0.796896
1220.0	1.695169
1225.0	3.131439
1230.0	4.415824
1235.0	5.905135
1240.0	7.478426
1245.0	7.328770
1250.0	6.638159
1255.0	6.976542
1260.0	5.670106
1265.0	5.773029
1270.0	7.129881
1275.0	6.993999
1280.0	7.318699
1285.0	7.182537
1290.0	6.458522
1295.0	5.356989
1300.0	4.642964
1305.0	4.978525
1310.0	6.399639
1315.0	8.033667
1320.0	8.199872
1325.0	7.168270
1330.0	6.412168
1335.0	5.946573
1340.0	7.255865
1345.0	7.486057
1350.0	7.843868
1355.0	7.777391
1360.0	7.351834
1365.0	6.706155
1370.0	6.762109
1375.0	6.734920
1380.0	6.718630
1385.0	6.922940
1390.0	6.306220
1395.0	5.741408
1400.0	6.175116
1405.0	6.660765
1410.0	6.831835
1415.0	6.506279
1420.0	6.249966
1425.0	6.823714
1430.0	7.236362
1435.0	7.162015
1440.0	7.610860
1445.0	7.614293
1450.0	7.792153
1455.0	7.672908
1460.0	7.803586
1465.0	7.441377
1470.0	6.985239
1475.0	7.022460
1480.0	7.066513
1485.0	7.159101
1490.0	7.542347
1495.0	7.014956
1500.0	6.774666
1505.0	6.577842
1510.0	6.540220
1515.0	6.469320
1520.0	6.735830
1525.0	6.257535
1530.0	5.739502
1535.0	5.526872
1540.0	5.636603
1545.0	4.892794
1550.0	5.276331
1555.0	6.208998
1560.0	5.954300
1565.0	5.983721
1570.0	6.006270
1575.0	6.126379
1580.0	6.237036
1585.0	6.442217
1590.0	6.548567
1595.0	6.297031
1600.0	5.896742
1605.0	5.710594
1610.0	5.667091
1615.0	5.983460
1620.0	5.979784
1625.0	5.939276
1630.0	5.942705
1635.0	5.995558
1640.0	6.017573
1645.0	6.101079
1650.0	6.031672
1655.0	5.740652
1660.0	5.694307
1665.0	6.049489
1670.0	5.892515
1675.0	5.770488
1680.0	6.138637
1685.0	6.091805
1690.0	5.780603
1695.0	5.657226
1700.0	5.729993
1705.0	5.539926
1710.0	5.094034
1715.0	4.942769
1720.0	4.638016
1725.0	4.892010
1730.0	5.406663
1735.0	5.536167
1740.0	5.421625
1745.0	5.152807
1750.0	5.126394
1755.0	5.589442
1760.0	5.419081
1765.0	5.402972
1770.0	5.327959
1775.0	5.293413
1780.0	5.684301
1785.0	5.473256
1790.0	4.970935
1795.0	5.558799
1800.0	6.059553
1805.0	5.872593
1810.0	5.627327
1815.0	5.501031
1820.0	5.425435
1825.0	5.546395
1830.0	5.384350
1835.0	5.263122
1840.0	4.945451
1845.0	4.559691
1850.0	4.256236
1855.0	4.166877
1860.0	4.241334
1865.0	4.456493
1870.0	4.905108
1875.0	5.036115
1880.0	4.598895
1885.0	4.005392
1890.0	3.709297
1895.0	3.770338
1900.0	4.123675
1905.0	4.282934
1910.0	4.165008
1915.0	3.834182
1920.0	3.731555
1925.0	3.605623
1930.0	3.723879
1935.0	4.113236
1940.0	4.213595
1945.0	4.269259
1950.0	4.094551
1955.0	3.925403
1960.0	3.610398
1965.0	3.521355
1970.0	3.625107
1975.0	4.065402
1980.0	4.309789
1985.0	4.306828
1990.0	3.889534
1995.0	3.486808
2000.0	3.492100
2005.0	3.555412
2010.0	3.443694
2015.0	3.797916
2020.0	4.048384
2025.0	4.140805
2030.0	4.193077
2035.0	4.128282
2040.0	3.880551
2045.0	3.653858
2050.0	3.783982
2055.0	3.915621
2060.0	3.761540
2065.0	3.483114
2070.0	3.673074
2075.0	3.835754
2080.0	3.915125
2085.0	4.034917
2090.0	3.871928
2095.0	3.630244
2100.0	3.527285
