#-- f02iv
#\*l[Angstrom]	F(\*l)/F(555.6Angstrom]
1150.0	0.031096
1155.0	0.028771
1160.0	0.023100
1165.0	0.007724
1170.0	0.007765
1175.0	0.012171
1180.0	0.002458
1185.0	0.000021
1190.0	0.001387
1195.0	0.002472
1200.0	0.002583
1205.0	0.004398
1210.0	0.009066
1215.0	0.015257
1220.0	0.010152
1225.0	0.002678
1230.0	0.000883
1235.0	0.002486
1240.0	0.003344
1245.0	0.002322
1250.0	0.002433
1255.0	0.001963
1260.0	0.001794
1265.0	0.001730
1270.0	0.000993
1275.0	0.001206
1280.0	0.002753
1285.0	0.001179
1290.0	0.002076
1295.0	0.003024
1300.0	0.002450
1305.0	0.002615
1310.0	0.000992
1315.0	0.001566
1320.0	0.002433
1325.0	0.001357
1330.0	0.000535
1335.0	0.001950
1340.0	0.003358
1345.0	0.001847
1350.0	0.002358
1355.0	0.001672
1360.0	0.001008
1365.0	0.002964
1370.0	0.003357
1375.0	0.003643
1380.0	0.001231
1385.0	0.002246
1390.0	0.003308
1395.0	0.002630
1400.0	0.003822
1405.0	0.002446
1410.0	0.001499
1415.0	0.003155
1420.0	0.003952
1425.0	0.002812
1430.0	0.002605
1435.0	0.002254
1440.0	0.003440
1445.0	0.004767
1450.0	0.002491
1455.0	0.002059
1460.0	0.003513
1465.0	0.006277
1470.0	0.001115
1475.0	0.000501
1480.0	0.008130
1485.0	0.002156
1490.0	0.004778
1495.0	0.008458
1500.0	0.003841
1505.0	0.001957
1510.0	0.003420
1515.0	0.006114
1520.0	0.003962
1525.0	0.001139
1530.0	0.006855
1535.0	0.006453
1540.0	0.001694
1545.0	0.005060
1550.0	0.007856
1555.0	0.004681
1560.0	0.004986
1565.0	0.006985
1570.0	0.004669
1575.0	0.003905
1580.0	0.010616
1585.0	0.006638
1590.0	0.000646
1595.0	0.006199
1600.0	0.007845
1605.0	0.000414
1610.0	0.002153
1615.0	0.009288
1620.0	0.009288
1625.0	0.004239
1630.0	0.003526
1635.0	0.007625
1640.0	0.007296
1645.0	0.004462
1650.0	0.006430
1655.0	0.010808
1660.0	0.008122
1665.0	0.005241
1670.0	0.006120
1675.0	0.007489
1680.0	0.007684
1685.0	0.007725
1690.0	0.009811
1695.0	0.012474
1700.0	0.013737
1705.0	0.018894
1710.0	0.025563
1715.0	0.028889
1720.0	0.028573
1725.0	0.032588
1730.0	0.036540
1735.0	0.034869
1740.0	0.037658
1745.0	0.046543
1750.0	0.053467
1755.0	0.056035
1760.0	0.053461
1765.0	0.055556
1770.0	0.066260
1775.0	0.081664
1780.0	0.088193
1785.0	0.080906
1790.0	0.084405
1795.0	0.096423
1800.0	0.092407
1805.0	0.082739
1810.0	0.088719
1815.0	0.092094
1820.0	0.096793
1825.0	0.099158
1830.0	0.094583
1835.0	0.087977
1840.0	0.075555
1845.0	0.065242
1850.0	0.062377
1855.0	0.073305
1860.0	0.084228
1865.0	0.096596
1870.0	0.104122
1875.0	0.103329
1880.0	0.110359
1885.0	0.115436
1890.0	0.113247
1895.0	0.107158
1900.0	0.102887
1905.0	0.109420
1910.0	0.114537
1915.0	0.122210
1920.0	0.122388
1925.0	0.103746
1930.0	0.079497
1935.0	0.087534
1940.0	0.126969
1945.0	0.150440
1950.0	0.154359
1955.0	0.148171
1960.0	0.130557
1965.0	0.120288
1970.0	0.125874
1975.0	0.153200
1980.0	0.135512
1985.0	0.138206
1990.0	0.126816
1995.0	0.104043
2000.0	0.135484
2005.0	0.129068
2010.0	0.119349
2015.0	0.136556
2020.0	0.139711
2025.0	0.147397
2030.0	0.161361
2035.0	0.174035
2040.0	0.156750
2045.0	0.170267
2050.0	0.178552
2055.0	0.186918
2060.0	0.190130
2065.0	0.180939
2070.0	0.193590
2075.0	0.192993
2080.0	0.242860
2085.0	0.254889
2090.0	0.242000
2095.0	0.214551
2100.0	0.204367
2105.0	0.202543
2110.0	0.228288
2115.0	0.236223
2120.0	0.243092
2125.0	0.246770
2130.0	0.229948
2135.0	0.191790
2140.0	0.189643
2145.0	0.224489
2150.0	0.226696
2155.0	0.241970
2160.0	0.218054
2165.0	0.205600
2170.0	0.208143
2175.0	0.184302
2180.0	0.188536
2185.0	0.219667
2190.0	0.240475
2195.0	0.250513
2200.0	0.252790
2205.0	0.260006
2210.0	0.255639
2215.0	0.235494
2220.0	0.206614
2225.0	0.199020
2230.0	0.194154
2235.0	0.227175
2240.0	0.243507
2245.0	0.215120
2250.0	0.234834
2255.0	0.246088
2260.0	0.225322
2265.0	0.201199
2270.0	0.180519
2275.0	0.169826
2280.0	0.183906
2285.0	0.224859
2290.0	0.228670
2295.0	0.221671
2300.0	0.213329
2305.0	0.214930
2310.0	0.213090
2315.0	0.214249
2320.0	0.204110
2325.0	0.215844
2330.0	0.218151
2335.0	0.187652
2340.0	0.158698
2345.0	0.147215
2350.0	0.140352
2355.0	0.149136
2360.0	0.161431
2365.0	0.154526
2370.0	0.164708
2375.0	0.169920
2380.0	0.158278
2385.0	0.133973
2390.0	0.127165
2395.0	0.131896
2400.0	0.135050
2405.0	0.116920
2410.0	0.104860
2415.0	0.116189
2420.0	0.160623
2425.0	0.204973
