#-- f2ii
#\*l[Angstrom]	F(\*l)/F(555.6Angstrom]
1150.0	0.000000
1155.0	0.000000
1160.0	0.000000
1165.0	0.000000
1170.0	0.000000
1175.0	0.000000
1180.0	0.000000
1185.0	0.000000
1190.0	0.000000
1195.0	0.000000
1200.0	0.000000
1205.0	0.000000
1210.0	0.000000
1215.0	0.000000
1220.0	0.000000
1225.0	0.000000
1230.0	0.000000
1235.0	0.000000
1240.0	0.000000
1245.0	0.000000
1250.0	0.000000
1255.0	0.000000
1260.0	0.000000
1265.0	0.000000
1270.0	0.000000
1275.0	0.000000
1280.0	0.000000
1285.0	0.000000
1290.0	0.000000
1295.0	0.000000
1300.0	0.000000
1305.0	0.000000
1310.0	0.000000
1315.0	0.000000
1320.0	0.000000
1325.0	0.000000
1330.0	0.000000
1335.0	0.000000
1340.0	0.000000
1345.0	0.000000
1350.0	0.000000
1355.0	0.000000
1360.0	0.000001
1365.0	0.000001
1370.0	0.000002
1375.0	0.000002
1380.0	0.000002
1385.0	0.000002
1390.0	0.000002
1395.0	0.000001
1400.0	0.000000
1405.0	0.000000
1410.0	0.000000
1415.0	0.000000
1420.0	0.000000
1425.0	0.000000
1430.0	0.000000
1435.0	0.000000
1440.0	0.000000
1445.0	0.000000
1450.0	0.000000
1455.0	0.000005
1460.0	0.000012
1465.0	0.000018
1470.0	0.000024
1475.0	0.000028
1480.0	0.000030
1485.0	0.000029
1490.0	0.000024
1495.0	0.000015
1500.0	0.000000
1505.0	0.000000
1510.0	0.000000
1515.0	0.000000
1520.0	0.000000
1525.0	0.000000
1530.0	0.000000
1535.0	0.000000
1540.0	0.000000
1545.0	0.000000
1550.0	0.000000
1555.0	0.000078
1560.0	0.000181
1565.0	0.000309
1570.0	0.000464
1575.0	0.000647
1580.0	0.000859
1585.0	0.001101
1590.0	0.001375
1595.0	0.001681
1600.0	0.002022
1605.0	0.002397
1610.0	0.002805
1615.0	0.003246
1620.0	0.003716
1625.0	0.004215
1630.0	0.004741
1635.0	0.005291
1640.0	0.005865
1645.0	0.006460
1650.0	0.007075
1655.0	0.007714
1660.0	0.008401
1665.0	0.009166
1670.0	0.010038
1675.0	0.011048
1680.0	0.012225
1685.0	0.013599
1690.0	0.015201
1695.0	0.017060
1700.0	0.019205
1705.0	0.021654
1710.0	0.024375
1715.0	0.027323
1720.0	0.030453
1725.0	0.033720
1730.0	0.037079
1735.0	0.040486
1740.0	0.043894
1745.0	0.047260
1750.0	0.050539
1755.0	0.053691
1760.0	0.056696
1765.0	0.059541
1770.0	0.062211
1775.0	0.064693
1780.0	0.066973
1785.0	0.069036
1790.0	0.070869
1795.0	0.072457
1800.0	0.073787
1805.0	0.074858
1810.0	0.075720
1815.0	0.076439
1820.0	0.077080
1825.0	0.077706
1830.0	0.078382
1835.0	0.079174
1840.0	0.080145
1845.0	0.081360
1850.0	0.082884
1855.0	0.084757
1860.0	0.086923
1865.0	0.089301
1870.0	0.091810
1875.0	0.094371
1880.0	0.096902
1885.0	0.099323
1890.0	0.101554
1895.0	0.103513
1900.0	0.105121
1905.0	0.106321
1910.0	0.107152
1915.0	0.107678
1920.0	0.107963
1925.0	0.108069
1930.0	0.108061
1935.0	0.108002
1940.0	0.107955
1945.0	0.107985
1950.0	0.108154
1955.0	0.108514
1960.0	0.109067
1965.0	0.109804
1970.0	0.110714
1975.0	0.111788
1980.0	0.113016
1985.0	0.114389
1990.0	0.115895
1995.0	0.117527
2000.0	0.119272
2005.0	0.121119
2010.0	0.123041
2015.0	0.125007
2020.0	0.126987
2025.0	0.128951
2030.0	0.130868
2035.0	0.132708
2040.0	0.134442
2045.0	0.136038
2050.0	0.137466
2055.0	0.138710
2060.0	0.139801
2065.0	0.140787
2070.0	0.141712
2075.0	0.142624
2080.0	0.143568
2085.0	0.144590
2090.0	0.145736
2095.0	0.147053
2100.0	0.148585
2105.0	0.150361
2110.0	0.152337
2115.0	0.154449
2120.0	0.156635
2125.0	0.158832
2130.0	0.160978
2135.0	0.163009
2140.0	0.164863
2145.0	0.166478
2150.0	0.167790
2155.0	0.168754
2160.0	0.169394
2165.0	0.169751
2170.0	0.169866
2175.0	0.169781
2180.0	0.169536
2185.0	0.169174
2190.0	0.168734
2195.0	0.168259
2200.0	0.167790
2205.0	0.167360
2210.0	0.166979
2215.0	0.166646
2220.0	0.166363
2225.0	0.166130
2230.0	0.165950
2235.0	0.165823
2240.0	0.165749
2245.0	0.165731
2250.0	0.165768
2255.0	0.165852
2260.0	0.165929
2265.0	0.165937
2270.0	0.165811
2275.0	0.165487
2280.0	0.164904
2285.0	0.163996
2290.0	0.162700
2295.0	0.160954
2300.0	0.158693
2305.0	0.155881
2310.0	0.152592
2315.0	0.148928
2320.0	0.144991
2325.0	0.140881
2330.0	0.136699
2335.0	0.132549
2340.0	0.128530
2345.0	0.124744
2350.0	0.121294
2355.0	0.118266
2360.0	0.115696
2365.0	0.113606
2370.0	0.112017
2375.0	0.110950
2380.0	0.110428
2385.0	0.110472
2390.0	0.111104
2395.0	0.112346
2400.0	0.114218
2405.0	0.116721
2410.0	0.119761
2415.0	0.123223
2420.0	0.126992
2425.0	0.130953
2430.0	0.134990
2435.0	0.138988
2440.0	0.142832
2445.0	0.146406
2450.0	0.149596
2455.0	0.152306
2460.0	0.154525
2465.0	0.156262
2470.0	0.157525
2475.0	0.158324
2480.0	0.158667
2485.0	0.158564
2490.0	0.158022
2495.0	0.157051
2500.0	0.155660
2505.0	0.153871
2510.0	0.151756
2515.0	0.149401
2520.0	0.146893
2525.0	0.144317
2530.0	0.141759
2535.0	0.139304
2540.0	0.137040
2545.0	0.135051
2550.0	0.133423
2555.0	0.132249
2560.0	0.131643
2565.0	0.131725
2570.0	0.132617
2575.0	0.134439
2580.0	0.137312
2585.0	0.141356
2590.0	0.146693
2595.0	0.153442
2600.0	0.161725
2605.0	0.171569
2610.0	0.182633
2615.0	0.194480
2620.0	0.206676
2625.0	0.218785
2630.0	0.230373
2635.0	0.241004
2640.0	0.250243
2645.0	0.257654
2650.0	0.262803
2655.0	0.265383
2660.0	0.265599
2665.0	0.263787
2670.0	0.260280
2675.0	0.255412
2680.0	0.249519
2685.0	0.242934
2690.0	0.235991
2695.0	0.229026
2700.0	0.222372
2705.0	0.216299
2710.0	0.210819
2715.0	0.205878
2720.0	0.201424
2725.0	0.197403
2730.0	0.193762
2735.0	0.190449
2740.0	0.187409
2745.0	0.184591
2750.0	0.181941
2755.0	0.179426
