#-- f5i
#\*l[Angstrom]	F(\*l)/F(555.6Angstrom]
1150.0	0.009566
1155.0	0.004826
1160.0	0.001545
1165.0	0.001066
1170.0	0.001378
1175.0	0.000907
1180.0	0.000917
1185.0	0.000000
1190.0	0.000510
1195.0	0.000953
1200.0	0.000715
1205.0	0.000958
1210.0	0.001268
1215.0	0.001151
1220.0	0.000744
1225.0	0.000751
1230.0	0.000562
1235.0	0.000338
1240.0	0.000350
1245.0	0.000502
1250.0	0.000479
1255.0	0.000387
1260.0	0.000325
1265.0	0.000367
1270.0	0.000329
1275.0	0.000246
1280.0	0.000310
1285.0	0.000204
1290.0	0.000168
1295.0	0.000433
1300.0	0.000498
1305.0	0.000333
1310.0	0.000298
1315.0	0.000275
1320.0	0.000228
1325.0	0.000235
1330.0	0.000282
1335.0	0.000351
1340.0	0.000405
1345.0	0.000305
1350.0	0.000329
1355.0	0.000230
1360.0	0.000223
1365.0	0.000260
1370.0	0.000415
1375.0	0.000417
1380.0	0.000301
1385.0	0.000144
1390.0	0.000091
1395.0	0.000129
1400.0	0.000161
1405.0	0.000133
1410.0	0.000147
1415.0	0.000212
1420.0	0.000210
1425.0	0.000226
1430.0	0.000264
1435.0	0.000290
1440.0	0.000399
1445.0	0.000570
1450.0	0.000498
1455.0	0.000375
1460.0	0.000213
1465.0	0.000362
1470.0	0.000325
1475.0	0.000471
1480.0	0.000561
1485.0	0.000476
1490.0	0.000687
1495.0	0.000588
1500.0	0.000567
1505.0	0.000605
1510.0	0.000408
1515.0	0.000479
1520.0	0.000673
1525.0	0.000846
1530.0	0.000658
1535.0	0.000676
1540.0	0.000752
1545.0	0.000703
1550.0	0.000782
1555.0	0.000755
1560.0	0.000545
1565.0	0.000614
1570.0	0.000809
1575.0	0.000861
1580.0	0.000790
1585.0	0.000907
1590.0	0.000935
1595.0	0.000869
1600.0	0.000770
1605.0	0.000819
1610.0	0.000911
1615.0	0.000890
1620.0	0.000923
1625.0	0.000861
1630.0	0.000867
1635.0	0.000857
1640.0	0.000810
1645.0	0.000801
1650.0	0.000650
1655.0	0.000656
1660.0	0.001049
1665.0	0.000993
1670.0	0.000976
1675.0	0.001162
1680.0	0.001224
1685.0	0.001478
1690.0	0.001908
1695.0	0.002364
1700.0	0.002775
1705.0	0.003258
1710.0	0.003721
1715.0	0.004332
1720.0	0.004714
1725.0	0.005298
1730.0	0.005063
1735.0	0.005032
1740.0	0.005377
1745.0	0.006640
1750.0	0.007785
1755.0	0.007893
1760.0	0.007545
1765.0	0.008607
1770.0	0.010738
1775.0	0.012521
1780.0	0.011326
1785.0	0.009643
1790.0	0.014732
1795.0	0.017059
1800.0	0.015232
1805.0	0.014287
1810.0	0.017564
1815.0	0.017559
1820.0	0.016997
1825.0	0.015301
1830.0	0.014769
1835.0	0.014830
1840.0	0.012973
1845.0	0.011725
1850.0	0.011783
1855.0	0.012468
1860.0	0.013235
1865.0	0.015834
1870.0	0.018183
1875.0	0.020808
1880.0	0.027119
1885.0	0.028330
1890.0	0.028927
1895.0	0.023391
1900.0	0.019510
1905.0	0.019904
1910.0	0.025818
1915.0	0.035214
1920.0	0.034718
1925.0	0.022964
1930.0	0.017168
1935.0	0.027435
1940.0	0.042151
1945.0	0.045649
1950.0	0.041177
1955.0	0.027200
1960.0	0.023659
1965.0	0.025346
1970.0	0.027620
1975.0	0.027374
1980.0	0.027619
1985.0	0.027394
1990.0	0.025204
1995.0	0.022078
2000.0	0.021962
2005.0	0.023999
2010.0	0.030421
2015.0	0.032926
2020.0	0.033435
2025.0	0.034856
2030.0	0.029623
2035.0	0.032067
2040.0	0.035258
2045.0	0.033128
2050.0	0.035006
2055.0	0.043698
2060.0	0.033724
2065.0	0.036193
2070.0	0.036479
2075.0	0.039979
2080.0	0.044696
2085.0	0.044884
2090.0	0.045292
2095.0	0.041263
2100.0	0.040564
2105.0	0.050908
2110.0	0.049602
2115.0	0.041404
2120.0	0.043732
2125.0	0.051464
2130.0	0.050171
2135.0	0.041472
2140.0	0.038082
2145.0	0.042423
2150.0	0.044731
2155.0	0.048353
2160.0	0.050237
2165.0	0.047481
2170.0	0.043998
2175.0	0.042793
2180.0	0.041050
2185.0	0.036598
2190.0	0.050744
2195.0	0.066056
2200.0	0.066474
2205.0	0.065511
2210.0	0.057311
2215.0	0.046828
2220.0	0.036658
2225.0	0.041323
2230.0	0.047288
2235.0	0.049000
2240.0	0.051843
2245.0	0.053314
2250.0	0.053279
2255.0	0.051510
2260.0	0.047948
2265.0	0.050094
2270.0	0.052285
2275.0	0.051749
2280.0	0.049388
2285.0	0.058530
2290.0	0.063730
2295.0	0.063593
2300.0	0.059901
2305.0	0.050067
2310.0	0.053690
2315.0	0.060392
2320.0	0.057165
2325.0	0.057501
2330.0	0.055375
2335.0	0.042705
2340.0	0.032682
