#-- f5v
#\*l[Angstrom]	F(\*l)/F(555.6Angstrom]
1150.0	0.003635
1155.0	0.002063
1160.0	0.001474
1165.0	0.001403
1170.0	0.002089
1175.0	0.000890
1180.0	0.001100
1185.0	0.001237
1190.0	0.000750
1195.0	0.000000
1200.0	0.001912
1205.0	0.002674
1210.0	0.009632
1215.0	0.021289
1220.0	0.015726
1225.0	0.003618
1230.0	0.000575
1235.0	0.000170
1240.0	0.000516
1245.0	0.000340
1250.0	0.000625
1255.0	0.000709
1260.0	0.000670
1265.0	0.000537
1270.0	0.000351
1275.0	0.000189
1280.0	0.000600
1285.0	0.000402
1290.0	0.000084
1295.0	0.000127
1300.0	0.000443
1305.0	0.000832
1310.0	0.000724
1315.0	0.000470
1320.0	0.000260
1325.0	0.000110
1330.0	0.000469
1335.0	0.000903
1340.0	0.000683
1345.0	0.000370
1350.0	0.000544
1355.0	0.000488
1360.0	0.000679
1365.0	0.000343
1370.0	0.000326
1375.0	0.000275
1380.0	0.000482
1385.0	0.000443
1390.0	0.000436
1395.0	0.000642
1400.0	0.000508
1405.0	0.000360
1410.0	0.000260
1415.0	0.000248
1420.0	0.000474
1425.0	0.000428
1430.0	0.000638
1435.0	0.000456
1440.0	0.000584
1445.0	0.000755
1450.0	0.000868
1455.0	0.000824
1460.0	0.000881
1465.0	0.000856
1470.0	0.001054
1475.0	0.000760
1480.0	0.000801
1485.0	0.001086
1490.0	0.000688
1495.0	0.000619
1500.0	0.000857
1505.0	0.000831
1510.0	0.000770
1515.0	0.000775
1520.0	0.001116
1525.0	0.001232
1530.0	0.001295
1535.0	0.001223
1540.0	0.001384
1545.0	0.001567
1550.0	0.002252
1555.0	0.001687
1560.0	0.001794
1565.0	0.001821
1570.0	0.001459
1575.0	0.001588
1580.0	0.001764
1585.0	0.001461
1590.0	0.001368
1595.0	0.001573
1600.0	0.001502
1605.0	0.001482
1610.0	0.001283
1615.0	0.001708
1620.0	0.001657
1625.0	0.001632
1630.0	0.001468
1635.0	0.001295
1640.0	0.001713
1645.0	0.002038
1650.0	0.001914
1655.0	0.001774
1660.0	0.001898
1665.0	0.002226
1670.0	0.002334
1675.0	0.002449
1680.0	0.002695
1685.0	0.002919
1690.0	0.003011
1695.0	0.003348
1700.0	0.004008
1705.0	0.004880
1710.0	0.005406
1715.0	0.005657
1720.0	0.005860
1725.0	0.006258
1730.0	0.007299
1735.0	0.007174
1740.0	0.007554
1745.0	0.008848
1750.0	0.010473
1755.0	0.012501
1760.0	0.013294
1765.0	0.013425
1770.0	0.015677
1775.0	0.020149
1780.0	0.021967
1785.0	0.020505
1790.0	0.019731
1795.0	0.021930
1800.0	0.022722
1805.0	0.021019
1810.0	0.019964
1815.0	0.022694
1820.0	0.024995
1825.0	0.028236
1830.0	0.027295
1835.0	0.027310
1840.0	0.024187
1845.0	0.020082
1850.0	0.017558
1855.0	0.021295
1860.0	0.024751
1865.0	0.027832
1870.0	0.033120
1875.0	0.032954
1880.0	0.033451
1885.0	0.036070
1890.0	0.036157
1895.0	0.035724
1900.0	0.033720
1905.0	0.036074
1910.0	0.038514
1915.0	0.041838
1920.0	0.044833
1925.0	0.041196
1930.0	0.030798
1935.0	0.027228
1940.0	0.040694
1945.0	0.055712
1950.0	0.058978
1955.0	0.050903
1960.0	0.046265
1965.0	0.053160
1970.0	0.034615
1975.0	0.064734
1980.0	0.047506
1985.0	0.065885
1990.0	0.047406
1995.0	0.031215
2000.0	0.057676
2005.0	0.048003
2010.0	0.038555
2015.0	0.074320
2020.0	0.071656
2025.0	0.065006
2030.0	0.068785
2035.0	0.064758
2040.0	0.060776
2045.0	0.069431
2050.0	0.083349
2055.0	0.080528
2060.0	0.071641
2065.0	0.078231
2070.0	0.101114
2075.0	0.089670
2080.0	0.110657
2085.0	0.130941
2090.0	0.123597
2095.0	0.103636
2100.0	0.121062
2105.0	0.122430
2110.0	0.129517
2115.0	0.140884
2120.0	0.141236
2125.0	0.151000
2130.0	0.172057
2135.0	0.135861
2140.0	0.129792
2145.0	0.125561
2150.0	0.143223
2155.0	0.162731
2160.0	0.153187
2165.0	0.129064
2170.0	0.131901
2175.0	0.116925
2180.0	0.105891
2185.0	0.117032
2190.0	0.161894
2195.0	0.170484
2200.0	0.172117
2205.0	0.161817
2210.0	0.157526
2215.0	0.145223
2220.0	0.131301
2225.0	0.136992
2230.0	0.137459
2235.0	0.146119
2240.0	0.154632
2245.0	0.145280
2250.0	0.157083
2255.0	0.145402
2260.0	0.143929
2265.0	0.133613
2270.0	0.129428
2275.0	0.109914
2280.0	0.096942
2285.0	0.122665
2290.0	0.163736
2295.0	0.158075
2300.0	0.143735
2305.0	0.131046
2310.0	0.145302
2315.0	0.160893
2320.0	0.147012
2325.0	0.140769
2330.0	0.155271
2335.0	0.135626
2340.0	0.108255
2345.0	0.090759
2350.0	0.075146
2355.0	0.080173
2360.0	0.106046
2365.0	0.101891
2370.0	0.089020
2375.0	0.097590
2380.0	0.113764
2385.0	0.107211
2390.0	0.073075
2395.0	0.087605
2400.0	0.094939
2405.0	0.070479
2410.0	0.078552
2415.0	0.070759
2420.0	0.080377
2425.0	0.129003
2430.0	0.159735
2435.0	0.151120
2440.0	0.149491
2445.0	0.151248
2450.0	0.163765
2455.0	0.141399
2460.0	0.125815
2465.0	0.121061
2470.0	0.113816
2475.0	0.119337
2480.0	0.127369
2485.0	0.123655
2490.0	0.114844
2495.0	0.096875
2500.0	0.108844
2505.0	0.143772
2510.0	0.145582
2515.0	0.138023
2520.0	0.115691
2525.0	0.090670
2530.0	0.088676
2535.0	0.093432
2540.0	0.102848
2545.0	0.106354
2550.0	0.112788
2555.0	0.125148
2560.0	0.145405
2565.0	0.156214
2570.0	0.178218
2575.0	0.198814
2580.0	0.163058
2585.0	0.168007
2590.0	0.188982
2595.0	0.192132
2600.0	0.175712
2605.0	0.143549
2610.0	0.150080
2615.0	0.135753
2620.0	0.137004
2625.0	0.157228
2630.0	0.162791
2635.0	0.148873
2640.0	0.207157
2645.0	0.308884
2650.0	0.344581
2655.0	0.333426
2660.0	0.341301
2665.0	0.331876
2670.0	0.294697
2675.0	0.297227
2680.0	0.312208
2685.0	0.308589
2690.0	0.303592
2695.0	0.285118
2700.0	0.274318
2705.0	0.302031
2710.0	0.315733
2715.0	0.292896
2720.0	0.276307
2725.0	0.255476
2730.0	0.262767
2735.0	0.279428
2740.0	0.269400
2745.0	0.211677
2750.0	0.182248
2755.0	0.173125
2760.0	0.202653
2765.0	0.246859
2770.0	0.272530
2775.0	0.275763
2780.0	0.284097
2785.0	0.234039
2790.0	0.202593
2795.0	0.165008
2800.0	0.102132
2805.0	0.081316
2810.0	0.104929
2815.0	0.179685
2820.0	0.263913
2825.0	0.325425
2830.0	0.341137
2835.0	0.341137
2840.0	0.347254
2845.0	0.348297
2850.0	0.332451
2855.0	0.270122
2860.0	0.260064
2865.0	0.355350
2870.0	0.384254
2875.0	0.383215
2880.0	0.372639
2885.0	0.339831
2890.0	0.384006
2895.0	0.396021
2900.0	0.410897
2905.0	0.472675
2910.0	0.520994
2915.0	0.505657
2920.0	0.492005
2925.0	0.461632
2930.0	0.422486
2935.0	0.429648
2940.0	0.461800
2945.0	0.461240
2950.0	0.459387
2955.0	0.469355
2960.0	0.517671
2965.0	0.535956
2970.0	0.504432
2975.0	0.470021
2980.0	0.505905
2985.0	0.478853
2990.0	0.433548
2995.0	0.471421
3000.0	0.493679
3005.0	0.451333
3010.0	0.453855
3015.0	0.488082
3020.0	0.492171
3025.0	0.465582
3030.0	0.491829
3035.0	0.514878
3040.0	0.510849
3045.0	0.500693
3050.0	0.518867
3055.0	0.550747
3060.0	0.522033
3065.0	0.493602
3070.0	0.510372
3075.0	0.528926
3080.0	0.539188
3085.0	0.556711
