#-- wf5v
#\*l[Angstrom]	F(\*l)/F(555.6Angstrom]
1150.0	0.006516
1155.0	0.018401
1160.0	0.015602
1165.0	0.000000
1170.0	0.000000
1175.0	0.000000
1180.0	0.000000
1185.0	0.000000
1190.0	0.000000
1195.0	0.000000
1200.0	0.000000
1205.0	0.000336
1210.0	0.016180
1215.0	0.020992
1220.0	0.013106
1225.0	0.004364
1230.0	0.000387
1235.0	0.000820
1240.0	0.002452
1245.0	0.004063
1250.0	0.002320
1255.0	0.003562
1260.0	0.003990
1265.0	0.000336
1270.0	0.002562
1275.0	0.002182
1280.0	0.004004
1285.0	0.004936
1290.0	0.001029
1295.0	0.000000
1300.0	0.000781
1305.0	0.003788
1310.0	0.004194
1315.0	0.002025
1320.0	0.000000
1325.0	0.001903
1330.0	0.001492
1335.0	0.001223
1340.0	0.003120
1345.0	0.001672
1350.0	0.000585
1355.0	0.002153
1360.0	0.002374
1365.0	0.000724
1370.0	0.000000
1375.0	0.001066
1380.0	0.000383
1385.0	0.000000
1390.0	0.000000
1395.0	0.000000
1400.0	0.001800
1405.0	0.004077
1410.0	0.000000
1415.0	0.000000
1420.0	0.000230
1425.0	0.001268
1430.0	0.001453
1435.0	0.000000
1440.0	0.000123
1445.0	0.002174
1450.0	0.001482
1455.0	0.001420
1460.0	0.002608
1465.0	0.001518
1470.0	0.004072
1475.0	0.002981
1480.0	0.000000
1485.0	0.000000
1490.0	0.000000
1495.0	0.001286
1500.0	0.000000
1505.0	0.000231
1510.0	0.002091
1515.0	0.001498
1520.0	0.000000
1525.0	0.000000
1530.0	0.000000
1535.0	0.005198
1540.0	0.006111
1545.0	0.003826
1550.0	0.001275
1555.0	0.004071
1560.0	0.003948
1565.0	0.004145
1570.0	0.000134
1575.0	0.000380
1580.0	0.004094
1585.0	0.002963
1590.0	0.000000
1595.0	0.004120
1600.0	0.004887
1605.0	0.000000
1610.0	0.000346
1615.0	0.001533
1620.0	0.003990
1625.0	0.002185
1630.0	0.000202
1635.0	0.002062
1640.0	0.001308
1645.0	0.000721
1650.0	0.000129
1655.0	0.001650
1660.0	0.003305
1665.0	0.005093
1670.0	0.004683
1675.0	0.004413
1680.0	0.003959
1685.0	0.003988
1690.0	0.007293
1695.0	0.006833
1700.0	0.013473
1705.0	0.020165
1710.0	0.026598
1715.0	0.031218
1720.0	0.030793
1725.0	0.035054
1730.0	0.039160
1735.0	0.037813
1740.0	0.043114
1745.0	0.052198
1750.0	0.063501
1755.0	0.073784
1760.0	0.070752
1765.0	0.069438
1770.0	0.084270
1775.0	0.104520
1780.0	0.109690
1785.0	0.105533
1790.0	0.108915
1795.0	0.107070
1800.0	0.115619
1805.0	0.102064
1810.0	0.104677
1815.0	0.116443
1820.0	0.117580
1825.0	0.125514
1830.0	0.128547
1835.0	0.120130
1840.0	0.099231
1845.0	0.081585
1850.0	0.079463
1855.0	0.097640
1860.0	0.109949
1865.0	0.119585
1870.0	0.133288
1875.0	0.133670
1880.0	0.144082
1885.0	0.147677
1890.0	0.139935
1895.0	0.133690
1900.0	0.127989
1905.0	0.133968
1910.0	0.142612
1915.0	0.154350
1920.0	0.155658
1925.0	0.138397
1930.0	0.100566
1935.0	0.096943
1940.0	0.148169
1945.0	0.185213
1950.0	0.183559
1955.0	0.159956
1960.0	0.167002
1965.0	0.173065
1970.0	0.172882
1975.0	0.190741
1980.0	0.166393
