#-- g2iv
#\*l[Angstrom]	F(\*l)/F(555.6Angstrom]
1150.0	0.000000
1155.0	0.000000
1160.0	0.000000
1165.0	0.000000
1170.0	0.000000
1175.0	0.000000
1180.0	0.000000
1185.0	0.000000
1190.0	0.000000
1195.0	0.000000
1200.0	0.000000
1205.0	0.000000
1210.0	0.000000
1215.0	0.000000
1220.0	0.000000
1225.0	0.000000
1230.0	0.000000
1235.0	0.000000
1240.0	0.000000
1245.0	0.000000
1250.0	0.000000
1255.0	0.000000
1260.0	0.000000
1265.0	0.000000
1270.0	0.000000
1275.0	0.000000
1280.0	0.000000
1285.0	0.000000
1290.0	0.000000
1295.0	0.000000
1300.0	0.000000
1305.0	0.000000
1310.0	0.000000
1315.0	0.000000
1320.0	0.000000
1325.0	0.000000
1330.0	0.000000
1335.0	0.000000
1340.0	0.000000
1345.0	0.000000
1350.0	0.000000
1355.0	0.000000
1360.0	0.000000
1365.0	0.000000
1370.0	0.000000
1375.0	0.000000
1380.0	0.000000
1385.0	0.000000
1390.0	0.000000
1395.0	0.000000
1400.0	0.000000
1405.0	0.000000
1410.0	0.000000
1415.0	0.000000
1420.0	0.000000
1425.0	0.000000
1430.0	0.000000
1435.0	0.000000
1440.0	0.000000
1445.0	0.000000
1450.0	0.000000
1455.0	0.000000
1460.0	0.000000
1465.0	0.000000
1470.0	0.000000
1475.0	0.000000
1480.0	0.000000
1485.0	0.000000
1490.0	0.000000
1495.0	0.000000
1500.0	0.000000
1505.0	0.000000
1510.0	0.000000
1515.0	0.000000
1520.0	0.000000
1525.0	0.000000
1530.0	0.000000
1535.0	0.000000
1540.0	0.000000
1545.0	0.000000
1550.0	0.000000
1555.0	0.000000
1560.0	0.000000
1565.0	0.000000
1570.0	0.000000
1575.0	0.000000
1580.0	0.000000
1585.0	0.000000
1590.0	0.000000
1595.0	0.000000
1600.0	0.000000
1605.0	0.000000
1610.0	0.000000
1615.0	0.000000
1620.0	0.000000
1625.0	0.000000
1630.0	0.000000
1635.0	0.000000
1640.0	0.000000
1645.0	0.000000
1650.0	0.000000
1655.0	0.000000
1660.0	0.000000
1665.0	0.000000
1670.0	0.000000
1675.0	0.000000
1680.0	0.000000
1685.0	0.000000
1690.0	0.000000
1695.0	0.000000
1700.0	0.000000
1705.0	0.000000
1710.0	0.000000
1715.0	0.000000
1720.0	0.000000
1725.0	0.000000
1730.0	0.000000
1735.0	0.000000
1740.0	0.000000
1745.0	0.000000
1750.0	0.000000
1755.0	0.000001
1760.0	0.000001
1765.0	0.000002
1770.0	0.000002
1775.0	0.000003
1780.0	0.000003
1785.0	0.000003
1790.0	0.000002
1795.0	0.000001
1800.0	0.000000
1805.0	0.000000
1810.0	0.000000
1815.0	0.000000
1820.0	0.000000
1825.0	0.000000
1830.0	0.000000
1835.0	0.000000
1840.0	0.000000
1845.0	0.000000
1850.0	0.000000
1855.0	0.000007
1860.0	0.000016
1865.0	0.000025
1870.0	0.000033
1875.0	0.000038
1880.0	0.000041
1885.0	0.000040
1890.0	0.000033
1895.0	0.000020
1900.0	0.000000
1905.0	0.000000
1910.0	0.000000
1915.0	0.000000
1920.0	0.000000
1925.0	0.000000
1930.0	0.000000
1935.0	0.000000
1940.0	0.000000
1945.0	0.000000
1950.0	0.000000
1955.0	0.000106
1960.0	0.000240
1965.0	0.000401
1970.0	0.000585
1975.0	0.000789
1980.0	0.001010
1985.0	0.001247
1990.0	0.001496
1995.0	0.001755
2000.0	0.002020
2005.0	0.002291
2010.0	0.002573
2015.0	0.002873
2020.0	0.003198
2025.0	0.003555
2030.0	0.003950
2035.0	0.004392
2040.0	0.004886
2045.0	0.005440
2050.0	0.006061
2055.0	0.006753
2060.0	0.007511
2065.0	0.008330
2070.0	0.009201
2075.0	0.010119
2080.0	0.011075
2085.0	0.012063
2090.0	0.013077
2095.0	0.014109
2100.0	0.015152
2105.0	0.016199
2110.0	0.017248
2115.0	0.018294
2120.0	0.019335
2125.0	0.020365
2130.0	0.021383
2135.0	0.022384
2140.0	0.023364
2145.0	0.024322
2150.0	0.025253
2155.0	0.026153
2160.0	0.027019
2165.0	0.027848
2170.0	0.028636
2175.0	0.029381
2180.0	0.030078
2185.0	0.030724
2190.0	0.031316
2195.0	0.031850
2200.0	0.032323
2205.0	0.032733
2210.0	0.033084
2215.0	0.033380
2220.0	0.033627
2225.0	0.033829
2230.0	0.033991
2235.0	0.034119
2240.0	0.034217
2245.0	0.034290
2250.0	0.034343
2255.0	0.034380
2260.0	0.034398
2265.0	0.034393
2270.0	0.034359
2275.0	0.034294
2280.0	0.034192
2285.0	0.034049
2290.0	0.033861
2295.0	0.033624
2300.0	0.033333
2305.0	0.032986
2310.0	0.032587
2315.0	0.032143
2320.0	0.031659
2325.0	0.031143
2330.0	0.030599
2335.0	0.030035
2340.0	0.029457
2345.0	0.028871
2350.0	0.028283
2355.0	0.027703
2360.0	0.027155
2365.0	0.026668
2370.0	0.026268
2375.0	0.025984
2380.0	0.025844
2385.0	0.025875
2390.0	0.026105
2395.0	0.026561
2400.0	0.027273
2405.0	0.028250
2410.0	0.029442
2415.0	0.030778
2420.0	0.032189
2425.0	0.033607
2430.0	0.034963
2435.0	0.036187
2440.0	0.037212
2445.0	0.037967
2450.0	0.038384
2455.0	0.038418
2460.0	0.038124
2465.0	0.037579
2470.0	0.036863
2475.0	0.036052
2480.0	0.035226
2485.0	0.034463
2490.0	0.033841
2495.0	0.033438
2500.0	0.033333
2505.0	0.033581
2510.0	0.034143
2515.0	0.034955
2520.0	0.035957
2525.0	0.037084
2530.0	0.038275
2535.0	0.039467
2540.0	0.040597
2545.0	0.041604
2550.0	0.042424
2555.0	0.043027
2560.0	0.043503
2565.0	0.043977
2570.0	0.044572
2575.0	0.045411
2580.0	0.046616
2585.0	0.048313
2590.0	0.050623
2595.0	0.053669
2600.0	0.057576
2605.0	0.062414
2610.0	0.068047
2615.0	0.074288
2620.0	0.080948
2625.0	0.087839
2630.0	0.094775
2635.0	0.101565
2640.0	0.108024
2645.0	0.113962
2650.0	0.119192
2655.0	0.123566
2660.0	0.127097
2665.0	0.129837
2670.0	0.131839
2675.0	0.133156
2680.0	0.133841
2685.0	0.133946
2690.0	0.133525
2695.0	0.132630
2700.0	0.131313
2705.0	0.129625
2710.0	0.127599
2715.0	0.125268
2720.0	0.122662
2725.0	0.119814
2730.0	0.116755
2735.0	0.113515
2740.0	0.110127
2745.0	0.106621
2750.0	0.103030
2755.0	0.099400
