#-- g5ii
#\*l[Angstrom]	F(\*l)/F(555.6Angstrom]
1150.0	0.000000
1155.0	0.000000
1160.0	0.000000
1165.0	0.000000
1170.0	0.000000
1175.0	0.000000
1180.0	0.000000
1185.0	0.000000
1190.0	0.000000
1195.0	0.000000
1200.0	0.000000
1205.0	0.000000
1210.0	0.000000
1215.0	0.000000
1220.0	0.000000
1225.0	0.000000
1230.0	0.000000
1235.0	0.000000
1240.0	0.000000
1245.0	0.000000
1250.0	0.000000
1255.0	0.000000
1260.0	0.000000
1265.0	0.000000
1270.0	0.000000
1275.0	0.000000
1280.0	0.000000
1285.0	0.000000
1290.0	0.000000
1295.0	0.000000
1300.0	0.000000
1305.0	0.000000
1310.0	0.000000
1315.0	0.000000
1320.0	0.000000
1325.0	0.000000
1330.0	0.000000
1335.0	0.000000
1340.0	0.000000
1345.0	0.000000
1350.0	0.000000
1355.0	0.000000
1360.0	0.000000
1365.0	0.000000
1370.0	0.000000
1375.0	0.000000
1380.0	0.000000
1385.0	0.000000
1390.0	0.000000
1395.0	0.000000
1400.0	0.000000
1405.0	0.000000
1410.0	0.000000
1415.0	0.000000
1420.0	0.000000
1425.0	0.000000
1430.0	0.000000
1435.0	0.000000
1440.0	0.000000
1445.0	0.000000
1450.0	0.000000
1455.0	0.000000
1460.0	0.000000
1465.0	0.000000
1470.0	0.000000
1475.0	0.000000
1480.0	0.000000
1485.0	0.000000
1490.0	0.000000
1495.0	0.000000
1500.0	0.000000
1505.0	0.000000
1510.0	0.000000
1515.0	0.000000
1520.0	0.000000
1525.0	0.000000
1530.0	0.000000
1535.0	0.000000
1540.0	0.000000
1545.0	0.000000
1550.0	0.000000
1555.0	0.000000
1560.0	0.000000
1565.0	0.000000
1570.0	0.000000
1575.0	0.000000
1580.0	0.000000
1585.0	0.000000
1590.0	0.000000
1595.0	0.000000
1600.0	0.000000
1605.0	0.000000
1610.0	0.000000
1615.0	0.000000
1620.0	0.000000
1625.0	0.000000
1630.0	0.000000
1635.0	0.000000
1640.0	0.000000
1645.0	0.000000
1650.0	0.000000
1655.0	0.000000
1660.0	0.000000
1665.0	0.000000
1670.0	0.000000
1675.0	0.000000
1680.0	0.000000
1685.0	0.000000
1690.0	0.000000
1695.0	0.000000
1700.0	0.000000
1705.0	0.000000
1710.0	0.000000
1715.0	0.000000
1720.0	0.000000
1725.0	0.000000
1730.0	0.000000
1735.0	0.000000
1740.0	0.000000
1745.0	0.000000
1750.0	0.000000
1755.0	0.000000
1760.0	0.000000
1765.0	0.000000
1770.0	0.000000
1775.0	0.000000
1780.0	0.000000
1785.0	0.000000
1790.0	0.000000
1795.0	0.000000
1800.0	0.000000
1805.0	0.000000
1810.0	0.000000
1815.0	0.000000
1820.0	0.000000
1825.0	0.000000
1830.0	0.000000
1835.0	0.000000
1840.0	0.000000
1845.0	0.000000
1850.0	0.000000
1855.0	0.000001
1860.0	0.000002
1865.0	0.000002
1870.0	0.000003
1875.0	0.000004
1880.0	0.000004
1885.0	0.000004
1890.0	0.000003
1895.0	0.000002
1900.0	0.000000
1905.0	0.000000
1910.0	0.000000
1915.0	0.000000
1920.0	0.000000
1925.0	0.000000
1930.0	0.000000
1935.0	0.000000
1940.0	0.000000
1945.0	0.000000
1950.0	0.000000
1955.0	0.000010
1960.0	0.000022
1965.0	0.000034
1970.0	0.000045
1975.0	0.000053
1980.0	0.000057
1985.0	0.000055
1990.0	0.000046
1995.0	0.000028
2000.0	0.000000
2005.0	0.000000
2010.0	0.000000
2015.0	0.000000
2020.0	0.000000
2025.0	0.000000
2030.0	0.000000
2035.0	0.000000
2040.0	0.000000
2045.0	0.000000
2050.0	0.000000
2055.0	0.000145
2060.0	0.000325
2065.0	0.000531
2070.0	0.000755
2075.0	0.000988
2080.0	0.001222
2085.0	0.001449
2090.0	0.001659
2095.0	0.001845
2100.0	0.001997
2105.0	0.002111
2110.0	0.002187
2115.0	0.002230
2120.0	0.002246
2125.0	0.002238
2130.0	0.002210
2135.0	0.002168
2140.0	0.002115
2145.0	0.002057
2150.0	0.001997
2155.0	0.001940
2160.0	0.001889
2165.0	0.001846
2170.0	0.001814
2175.0	0.001796
2180.0	0.001793
2185.0	0.001810
2190.0	0.001847
2195.0	0.001909
2200.0	0.001997
2205.0	0.002114
2210.0	0.002257
2215.0	0.002423
2220.0	0.002610
2225.0	0.002814
2230.0	0.003033
2235.0	0.003263
2240.0	0.003502
2245.0	0.003747
2250.0	0.003995
2255.0	0.004242
2260.0	0.004487
2265.0	0.004726
2270.0	0.004956
2275.0	0.005175
2280.0	0.005379
2285.0	0.005566
2290.0	0.005732
2295.0	0.005875
2300.0	0.005992
2305.0	0.006081
2310.0	0.006143
2315.0	0.006182
2320.0	0.006199
2325.0	0.006197
2330.0	0.006179
2335.0	0.006147
2340.0	0.006103
2345.0	0.006051
2350.0	0.005992
2355.0	0.005931
2360.0	0.005877
2365.0	0.005840
2370.0	0.005832
2375.0	0.005864
2380.0	0.005946
2385.0	0.006089
2390.0	0.006303
2395.0	0.006600
2400.0	0.006991
2405.0	0.007479
2410.0	0.008044
2415.0	0.008657
2420.0	0.009291
2425.0	0.009919
2430.0	0.010512
2435.0	0.011043
2440.0	0.011484
2445.0	0.011807
2450.0	0.011984
2455.0	0.012000
2460.0	0.011882
2465.0	0.011672
2470.0	0.011409
2475.0	0.011135
2480.0	0.010888
2485.0	0.010709
2490.0	0.010639
2495.0	0.010718
2500.0	0.010985
2505.0	0.011466
2510.0	0.012121
2515.0	0.012895
2520.0	0.013731
2525.0	0.014576
2530.0	0.015373
2535.0	0.016066
2540.0	0.016602
2545.0	0.016924
2550.0	0.016977
2555.0	0.016732
2560.0	0.016259
2565.0	0.015656
2570.0	0.015021
2575.0	0.014451
2580.0	0.014043
2585.0	0.013894
2590.0	0.014103
2595.0	0.014765
2600.0	0.015979
2605.0	0.017804
2610.0	0.020154
2615.0	0.022905
2620.0	0.025931
2625.0	0.029110
2630.0	0.032317
2635.0	0.035428
2640.0	0.038319
2645.0	0.040865
2650.0	0.042943
2655.0	0.044460
2660.0	0.045455
2665.0	0.045996
2670.0	0.046153
2675.0	0.045997
2680.0	0.045596
2685.0	0.045021
2690.0	0.044340
2695.0	0.043624
2700.0	0.042943
2705.0	0.042352
2710.0	0.041854
2715.0	0.041439
2720.0	0.041096
2725.0	0.040814
2730.0	0.040582
2735.0	0.040390
2740.0	0.040228
2745.0	0.040083
2750.0	0.039947
2755.0	0.039810
