#-- wg5v
#\*l[Angstrom]	F(\*l)/F(555.6Angstrom]
1150.0	0.004238
1155.0	0.003044
1160.0	0.001544
1165.0	0.000986
1170.0	0.001096
1175.0	0.001069
1180.0	0.000532
1185.0	0.000454
1190.0	0.000105
1195.0	0.001423
1200.0	0.005172
1205.0	0.035668
1210.0	0.098756
1215.0	0.114361
1220.0	0.051312
1225.0	0.007491
1230.0	0.000896
1235.0	0.000612
1240.0	0.000627
1245.0	0.000492
1250.0	0.000299
1255.0	0.000167
1260.0	0.000188
1265.0	0.000183
1270.0	0.000191
1275.0	0.000299
1280.0	0.000384
1285.0	0.000318
1290.0	0.000215
1295.0	0.000246
1300.0	0.000554
1305.0	0.000747
1310.0	0.000316
1315.0	0.000153
1320.0	0.000127
1325.0	0.000187
1330.0	0.000466
1335.0	0.000936
1340.0	0.000330
1345.0	0.000073
1350.0	0.000015
1355.0	0.000162
1360.0	0.000229
1365.0	0.000205
1370.0	0.000149
1375.0	0.000182
1380.0	0.000150
1385.0	0.000136
1390.0	0.000308
1395.0	0.000524
1400.0	0.000450
1405.0	0.000494
1410.0	0.000295
1415.0	0.000159
1420.0	0.000164
1425.0	0.000271
1430.0	0.000355
1435.0	0.000226
1440.0	0.000269
1445.0	0.000393
1450.0	0.000434
1455.0	0.000379
1460.0	0.000202
1465.0	0.000347
1470.0	0.000539
1475.0	0.000374
1480.0	0.000281
1485.0	0.000582
1490.0	0.000647
1495.0	0.000612
1500.0	0.000454
1505.0	0.000371
1510.0	0.000489
1515.0	0.000417
1520.0	0.000424
1525.0	0.000435
1530.0	0.000751
1535.0	0.000699
1540.0	0.000544
1545.0	0.001321
1550.0	0.001574
1555.0	0.000637
1560.0	0.000410
1565.0	0.000438
1570.0	0.000338
1575.0	0.000468
1580.0	0.000526
1585.0	0.000429
1590.0	0.000287
1595.0	0.000324
1600.0	0.000435
1605.0	0.000431
1610.0	0.000344
1615.0	0.000359
1620.0	0.000346
1625.0	0.000493
1630.0	0.000647
1635.0	0.000826
1640.0	0.000953
1645.0	0.000534
1650.0	0.000607
1655.0	0.001182
1660.0	0.001203
1665.0	0.000720
1670.0	0.000625
1675.0	0.000540
1680.0	0.000580
1685.0	0.000600
1690.0	0.000676
1695.0	0.000744
1700.0	0.000844
1705.0	0.000918
1710.0	0.000854
1715.0	0.000904
1720.0	0.000839
1725.0	0.000838
1730.0	0.000922
1735.0	0.000997
1740.0	0.001048
1745.0	0.001139
1750.0	0.001275
1755.0	0.001394
1760.0	0.001409
1765.0	0.001345
1770.0	0.001475
1775.0	0.001524
1780.0	0.001505
1785.0	0.001415
1790.0	0.001047
1795.0	0.001465
1800.0	0.001769
1805.0	0.002302
1810.0	0.002741
1815.0	0.003233
1820.0	0.003165
1825.0	0.002358
1830.0	0.002180
1835.0	0.002276
1840.0	0.002229
1845.0	0.002011
1850.0	0.002085
1855.0	0.002254
1860.0	0.002371
1865.0	0.002707
1870.0	0.003060
1875.0	0.002899
1880.0	0.003001
1885.0	0.003078
1890.0	0.003290
1895.0	0.003316
