#-- g8i
#\*l[Angstrom]	F(\*l)/F(555.6Angstrom]
1150.0	0.000000
1155.0	0.000000
1160.0	0.000193
1165.0	0.000000
1170.0	0.000000
1175.0	0.000000
1180.0	0.000000
1185.0	0.000000
1190.0	0.000000
1195.0	0.000000
1200.0	0.000192
1205.0	0.000928
1210.0	0.003801
1215.0	0.007548
1220.0	0.005202
1225.0	0.001018
1230.0	0.000067
1235.0	0.000082
1240.0	0.000051
1245.0	0.000000
1250.0	0.000034
1255.0	0.000036
1260.0	0.000050
1265.0	0.000033
1270.0	0.000016
1275.0	0.000085
1280.0	0.000080
1285.0	0.000079
1290.0	0.000438
1295.0	0.001219
1300.0	0.002552
1305.0	0.003452
1310.0	0.001554
1315.0	0.000261
1320.0	0.000050
1325.0	0.000027
1330.0	0.000042
1335.0	0.000116
1340.0	0.000163
1345.0	0.000128
1350.0	0.000155
1355.0	0.000238
1360.0	0.000229
1365.0	0.000153
1370.0	0.000117
1375.0	0.000151
1380.0	0.000138
1385.0	0.000064
1390.0	0.000033
1395.0	0.000074
1400.0	0.000041
1405.0	0.000054
1410.0	0.000052
1415.0	0.000034
1420.0	0.000020
1425.0	0.000050
1430.0	0.000077
1435.0	0.000095
1440.0	0.000031
1445.0	0.000052
1450.0	0.000095
1455.0	0.000057
1460.0	0.000060
1465.0	0.000143
1470.0	0.000301
1475.0	0.000234
1480.0	0.000161
1485.0	0.000204
1490.0	0.000145
1495.0	0.000171
1500.0	0.000204
1505.0	0.000170
1510.0	0.000122
1515.0	0.000093
1520.0	0.000054
1525.0	0.000140
1530.0	0.000185
1535.0	0.000194
1540.0	0.000178
1545.0	0.000134
1550.0	0.000136
1555.0	0.000101
1560.0	0.000041
1565.0	0.000029
1570.0	0.000044
1575.0	0.000078
1580.0	0.000124
1585.0	0.000111
1590.0	0.000130
1595.0	0.000122
1600.0	0.000070
1605.0	0.000091
1610.0	0.000091
1615.0	0.000156
1620.0	0.000125
1625.0	0.000095
1630.0	0.000068
1635.0	0.000109
1640.0	0.000280
1645.0	0.000242
1650.0	0.000141
1655.0	0.000168
1660.0	0.000206
1665.0	0.000178
1670.0	0.000176
1675.0	0.000165
1680.0	0.000193
1685.0	0.000107
1690.0	0.000101
1695.0	0.000126
1700.0	0.000171
1705.0	0.000160
1710.0	0.000173
1715.0	0.000196
1720.0	0.000204
1725.0	0.000211
1730.0	0.000226
1735.0	0.000209
1740.0	0.000194
1745.0	0.000225
1750.0	0.000320
1755.0	0.000333
1760.0	0.000190
1765.0	0.000198
1770.0	0.000258
1775.0	0.000317
1780.0	0.000366
1785.0	0.000367
1790.0	0.000342
1795.0	0.000371
1800.0	0.000467
1805.0	0.000525
1810.0	0.000588
1815.0	0.000732
1820.0	0.000773
1825.0	0.000507
1830.0	0.000374
1835.0	0.000381
1840.0	0.000345
1845.0	0.000342
1850.0	0.000314
1855.0	0.000326
1860.0	0.000350
1865.0	0.000351
1870.0	0.000398
1875.0	0.000377
1880.0	0.000417
1885.0	0.000488
1890.0	0.000513
1895.0	0.000562
1900.0	0.000553
1905.0	0.000489
1910.0	0.000443
1915.0	0.000475
1920.0	0.000506
1925.0	0.000506
1930.0	0.000529
1935.0	0.000546
1940.0	0.000593
1945.0	0.000656
1950.0	0.000604
1955.0	0.000000
1960.0	0.000000
1965.0	0.000000
1970.0	0.000226
1975.0	0.000153
1980.0	0.000041
1985.0	0.000000
1990.0	0.000049
1995.0	0.000899
2000.0	0.000845
2005.0	0.001524
2010.0	0.000548
2015.0	0.000746
2020.0	0.000660
2025.0	0.001027
2030.0	0.000371
2035.0	0.000000
2040.0	0.000000
2045.0	0.000223
2050.0	0.001180
2055.0	0.000311
2060.0	0.000000
2065.0	0.000504
2070.0	0.001152
2075.0	0.001055
2080.0	0.000791
2085.0	0.001012
2090.0	0.000374
2095.0	0.000118
2100.0	0.000887
2105.0	0.000945
2110.0	0.000000
2115.0	0.000386
2120.0	0.000535
2125.0	0.000000
2130.0	0.000123
2135.0	0.000073
2140.0	0.000789
2145.0	0.000952
2150.0	0.001290
2155.0	0.001443
2160.0	0.000948
2165.0	0.000800
2170.0	0.000541
2175.0	0.000425
2180.0	0.000805
2185.0	0.000400
2190.0	0.000492
2195.0	0.000548
2200.0	0.000394
2205.0	0.000608
2210.0	0.000646
2215.0	0.001180
2220.0	0.001148
2225.0	0.000661
2230.0	0.000762
2235.0	0.000540
2240.0	0.001145
2245.0	0.002020
2250.0	0.001961
2255.0	0.002388
2260.0	0.002905
2265.0	0.002421
2270.0	0.002276
2275.0	0.002562
2280.0	0.002347
2285.0	0.002002
2290.0	0.001483
2295.0	0.000871
2300.0	0.001192
2305.0	0.001325
2310.0	0.001202
2315.0	0.001441
2320.0	0.001195
2325.0	0.002333
2330.0	0.002174
2335.0	0.003051
2340.0	0.002342
2345.0	0.002064
2350.0	0.002857
2355.0	0.002225
2360.0	0.002912
2365.0	0.003083
2370.0	0.002903
2375.0	0.002819
2380.0	0.002837
2385.0	0.003114
2390.0	0.003371
2395.0	0.003394
2400.0	0.002628
2405.0	0.002845
2410.0	0.002977
2415.0	0.002850
2420.0	0.003120
2425.0	0.002937
2430.0	0.002748
2435.0	0.003376
2440.0	0.003845
2445.0	0.003588
2450.0	0.003409
2455.0	0.004148
2460.0	0.004413
2465.0	0.004006
2470.0	0.003370
2475.0	0.003781
2480.0	0.003873
2485.0	0.003812
2490.0	0.003694
2495.0	0.002881
2500.0	0.002922
2505.0	0.003315
2510.0	0.004023
2515.0	0.003838
2520.0	0.003554
2525.0	0.002694
2530.0	0.002718
2535.0	0.003584
2540.0	0.003727
2545.0	0.003507
2550.0	0.003522
2555.0	0.004006
2560.0	0.004803
2565.0	0.004945
2570.0	0.005275
2575.0	0.005496
2580.0	0.003685
2585.0	0.003380
2590.0	0.004578
2595.0	0.005299
2600.0	0.005497
2605.0	0.005402
2610.0	0.005403
2615.0	0.005856
2620.0	0.006553
2625.0	0.007318
2630.0	0.007458
2635.0	0.007587
2640.0	0.008624
2645.0	0.009045
2650.0	0.008708
2655.0	0.008885
2660.0	0.009338
2665.0	0.008993
2670.0	0.009166
2675.0	0.009846
2680.0	0.009253
2685.0	0.009302
2690.0	0.009280
2695.0	0.008772
2700.0	0.008829
2705.0	0.009359
2710.0	0.010100
2715.0	0.010216
2720.0	0.010213
2725.0	0.009499
2730.0	0.010333
2735.0	0.011288
2740.0	0.011813
2745.0	0.010764
2750.0	0.009754
2755.0	0.009977
