#-- o8iii
#\*l[Angstrom]	F(\*l)/F(555.6Angstrom]
1150.0	42.407425
1155.0	33.094707
1160.0	28.105522
1165.0	25.259573
1170.0	23.153645
1175.0	24.109468
1180.0	24.315250
1185.0	21.637413
1190.0	15.523624
1195.0	15.515518
1200.0	14.822867
1205.0	9.351143
1210.0	3.558274
1215.0	1.119698
1220.0	3.599699
1225.0	7.804561
1230.0	7.713953
1235.0	11.432046
1240.0	27.092165
1245.0	34.812096
1250.0	28.976881
1255.0	26.714216
1260.0	27.774818
1265.0	28.833733
1270.0	30.116142
1275.0	30.850407
1280.0	30.438484
1285.0	31.034836
1290.0	31.457289
1295.0	30.977301
1300.0	29.491348
1305.0	30.492313
1310.0	32.370758
1315.0	31.232496
1320.0	29.531504
1325.0	31.091269
1330.0	31.309933
1335.0	28.186846
1340.0	26.719275
1345.0	27.371384
1350.0	28.054155
1355.0	27.318346
1360.0	26.515944
1365.0	26.669899
1370.0	26.033829
1375.0	24.476685
1380.0	21.890242
1385.0	18.727989
1390.0	19.659313
1395.0	24.312500
1400.0	29.305035
1405.0	30.045202
1410.0	26.677095
1415.0	24.274874
1420.0	24.378708
1425.0	23.134026
1430.0	23.735548
1435.0	25.449806
1440.0	24.470655
1445.0	23.394642
1450.0	22.774652
1455.0	21.742226
1460.0	21.503277
1465.0	22.600733
1470.0	23.983444
1475.0	25.212008
1480.0	26.115294
1485.0	27.164072
1490.0	28.095900
1495.0	27.201332
1500.0	24.502460
1505.0	24.986588
1510.0	26.657597
1515.0	25.792690
1520.0	24.660095
1525.0	22.055025
1530.0	19.058975
1535.0	12.369664
1540.0	7.832278
1545.0	10.716280
1550.0	21.291166
1555.0	26.845823
1560.0	22.731327
1565.0	20.181852
1570.0	20.239647
1575.0	21.018057
1580.0	20.371601
1585.0	20.612638
1590.0	20.629747
1595.0	20.012148
1600.0	18.424767
1605.0	17.089897
1610.0	16.416096
1615.0	17.107100
1620.0	17.167007
1625.0	16.714413
1630.0	16.258451
1635.0	16.231470
1640.0	16.311426
1645.0	17.470190
1650.0	18.163280
1655.0	17.045876
1660.0	16.717417
1665.0	17.536158
1670.0	17.893839
1675.0	18.170853
1680.0	19.636587
1685.0	19.329304
1690.0	18.207499
1695.0	17.579361
1700.0	17.296461
1705.0	17.073406
1710.0	16.228642
1715.0	14.576410
1720.0	14.694257
1725.0	16.128902
1730.0	17.354851
1735.0	18.100166
1740.0	17.262835
1745.0	17.571491
1750.0	17.757542
1755.0	17.627384
1760.0	18.551510
1765.0	18.153305
1770.0	17.653080
1775.0	17.451771
1780.0	17.611177
1785.0	15.857885
1790.0	11.025812
1795.0	14.250124
1800.0	16.412931
1805.0	15.958702
1810.0	15.565578
1815.0	16.046961
1820.0	16.934723
1825.0	16.506197
1830.0	16.148693
1835.0	16.109179
1840.0	15.945634
1845.0	15.622842
1850.0	15.041477
1855.0	14.362033
1860.0	14.398850
1865.0	14.592279
1870.0	14.083439
1875.0	13.912041
1880.0	14.302147
1885.0	14.013246
1890.0	13.895707
1895.0	13.668299
1900.0	13.240902
1905.0	12.703928
1910.0	12.442489
1915.0	12.411217
1920.0	11.874570
1925.0	11.515812
1930.0	11.953981
1935.0	11.912534
1940.0	11.673103
1945.0	11.375293
1950.0	11.494267
1955.0	11.481780
1960.0	10.681927
1965.0	10.247885
1970.0	10.701011
1975.0	10.744381
1980.0	10.093458
1985.0	10.191929
1990.0	9.344323
1995.0	8.341738
2000.0	9.144217
2005.0	9.708358
2010.0	9.695713
2015.0	9.527818
2020.0	8.556144
2025.0	7.997608
2030.0	8.014608
2035.0	8.009953
2040.0	7.640467
2045.0	7.274504
2050.0	6.317981
2055.0	6.771051
2060.0	6.659698
2065.0	6.485349
2070.0	6.374470
2075.0	7.166002
2080.0	6.782075
2085.0	6.262462
2090.0	5.954296
2095.0	5.619604
2100.0	6.125531
2105.0	6.336325
2110.0	5.997372
2115.0	5.353892
2120.0	5.200162
2125.0	5.744336
2130.0	5.709845
2135.0	5.252420
2140.0	4.797670
2145.0	4.715477
2150.0	4.370546
2155.0	5.089490
2160.0	4.736445
2165.0	4.305620
2170.0	4.169085
2175.0	3.422689
2180.0	3.436270
2185.0	4.023036
2190.0	4.458323
2195.0	4.727329
2200.0	4.794919
2205.0	4.528313
2210.0	4.066381
2215.0	3.670109
2220.0	3.900310
2225.0	4.861063
2230.0	4.326349
2235.0	4.458086
2240.0	4.097840
2245.0	4.197453
2250.0	5.582845
2255.0	5.365613
2260.0	4.626154
2265.0	5.224051
2270.0	5.072331
2275.0	4.741222
2280.0	4.778829
2285.0	4.840281
2290.0	5.110814
2295.0	5.337291
2300.0	5.399147
2305.0	5.615145
2310.0	6.008114
2315.0	5.867641
2320.0	5.904644
2325.0	5.971664
2330.0	6.838138
2335.0	6.820606
2340.0	6.796342
2345.0	7.375274
2350.0	7.462484
2355.0	6.917085
2360.0	6.625106
2365.0	6.100817
2370.0	6.894687
2375.0	7.084087
2380.0	7.410023
2385.0	7.127030
2390.0	6.139491
2395.0	7.055869
2400.0	7.765903
2405.0	6.787018
2410.0	6.248712
2415.0	6.389081
2420.0	6.740257
2425.0	7.233955
2430.0	7.419565
2435.0	7.069197
2440.0	7.098455
2445.0	8.025084
2450.0	7.706199
2455.0	7.881846
2460.0	8.873337
2465.0	8.579753
2470.0	8.376390
2475.0	8.487758
2480.0	8.291384
2485.0	8.291246
2490.0	7.262856
2495.0	7.462488
2500.0	8.557685
2505.0	8.488048
2510.0	7.919848
2515.0	7.671072
2520.0	7.561963
2525.0	8.208413
2530.0	8.272217
2535.0	8.421222
2540.0	8.493572
2545.0	8.702281
2550.0	8.818415
2555.0	8.452409
2560.0	8.449559
2565.0	8.869862
2570.0	8.773855
2575.0	8.231565
2580.0	7.014668
2585.0	7.238880
2590.0	7.941204
2595.0	8.124684
2600.0	7.978357
2605.0	8.324503
2610.0	9.035596
2615.0	8.915917
2620.0	8.785262
2625.0	8.296761
2630.0	8.578389
2635.0	8.869298
2640.0	8.237402
2645.0	8.297419
2650.0	8.485655
2655.0	8.470433
2660.0	7.857729
2665.0	8.124451
2670.0	8.089087
2675.0	8.257996
2680.0	8.195713
2685.0	8.308826
2690.0	8.356392
2695.0	8.247478
2700.0	8.187602
2705.0	8.395635
2710.0	8.335655
2715.0	8.506427
2720.0	8.435304
2725.0	8.297269
2730.0	8.184540
2735.0	7.812904
2740.0	7.688029
2745.0	7.934096
2750.0	8.003583
2755.0	7.693751
2760.0	7.680161
2765.0	7.810261
2770.0	7.617052
2775.0	8.287591
2780.0	8.367759
2785.0	8.308491
2790.0	8.467141
2795.0	8.136704
2800.0	7.775493
2805.0	7.808554
2810.0	7.756246
2815.0	8.285589
2820.0	8.891314
2825.0	8.379792
2830.0	7.550437
2835.0	7.605997
2840.0	8.330362
2845.0	8.557723
2850.0	8.545989
2855.0	8.169869
2860.0	8.248257
2865.0	8.357473
2870.0	8.299275
2875.0	8.300476
2880.0	8.449086
2885.0	8.345662
2890.0	8.629553
2895.0	8.451286
2900.0	8.074205
2905.0	8.097342
2910.0	8.428379
2915.0	8.387275
2920.0	7.970790
2925.0	7.790362
2930.0	7.900084
2935.0	8.349111
2940.0	8.156556
2945.0	7.991913
2950.0	8.017221
2955.0	8.286983
2960.0	8.403189
2965.0	7.944617
2970.0	7.859673
2975.0	7.926118
2980.0	8.053806
2985.0	7.848180
2990.0	7.794253
2995.0	7.621831
3000.0	7.651678
3005.0	7.621460
3010.0	7.575540
3015.0	7.295222
3020.0	7.586408
3025.0	7.527031
3030.0	7.139586
3035.0	7.231963
3040.0	7.558030
3045.0	7.698891
3050.0	7.827047
3055.0	7.738121
3060.0	7.361306
3065.0	7.078155
3070.0	7.202114
3075.0	7.160220
3080.0	7.466287
3085.0	7.634934
3090.0	7.855844
3095.0	8.045078
3100.0	7.807221
3105.0	7.746077
3110.0	7.326547
3115.0	7.054332
3120.0	6.777660
3125.0	7.406250
3130.0	7.976314
3135.0	8.173423
3140.0	8.173329
3145.0	7.870514
3150.0	7.834916
3155.0	7.102836
3160.0	6.711923
3165.0	7.029160
3170.0	8.173374
3175.0	7.705692
3180.0	7.086802
3185.0	7.055284
3190.0	7.023603
3195.0	6.991781
3200.0	6.959835
3205.0	6.927795
3210.0	6.895733
3215.0	6.863729
3220.0	6.831867
3225.0	6.800225
3230.0	6.768887
3235.0	6.737935
3240.0	6.707448
3245.0	6.677509
3250.0	6.648200
3255.0	6.619551
3260.0	6.591393
3265.0	6.563506
3270.0	6.535668
3275.0	6.507659
3280.0	6.479259
3285.0	6.450248
3290.0	6.420405
3295.0	6.389510
3300.0	6.357341
3305.0	6.323767
3310.0	6.289001
3315.0	6.253345
3320.0	6.217101
3325.0	6.180569
3330.0	6.144052
3335.0	6.107850
3340.0	6.072266
3345.0	6.037601
3350.0	6.004156
3355.0	5.972142
3360.0	5.941414
3365.0	5.911732
3370.0	5.882858
3375.0	5.854556
3380.0	5.826587
3385.0	5.798715
3390.0	5.770701
3395.0	5.742308
3400.0	5.713297
3405.0	5.683497
3410.0	5.652993
3415.0	5.621934
3420.0	5.590473
3425.0	5.558759
3430.0	5.526943
3435.0	5.495174
3440.0	5.463605
3445.0	5.432384
3450.0	5.401663
3455.0	5.371558
3460.0	5.342051
3465.0	5.313087
3470.0	5.284616
3475.0	5.256586
3480.0	5.228942
3485.0	5.201634
3490.0	5.174607
3495.0	5.147811
3500.0	5.121192
3505.0	5.094706
3510.0	4.989414
3515.0	4.985306
3520.0	4.952553
3525.0	4.954184
3530.0	4.892676
3535.0	4.845538
3540.0	4.814007
3545.0	4.587391
3550.0	4.764397
3555.0	4.717180
3560.0	4.712489
3565.0	4.710567
3570.0	4.498705
3575.0	4.648416
3580.0	4.576401
3585.0	4.517880
3590.0	4.542076
3595.0	4.517005
3600.0	4.496761
3605.0	4.525572
3610.0	4.532762
3615.0	4.523765
3620.0	4.495307
3625.0	4.440233
3630.0	4.405800
3635.0	4.410686
3640.0	4.477422
3645.0	4.485550
3650.0	4.462698
3655.0	4.469739
3660.0	4.451706
3665.0	4.393899
3670.0	4.357759
3675.0	4.347364
3680.0	4.342082
3685.0	4.330791
3690.0	4.264448
3695.0	4.218603
3700.0	4.161879
3705.0	4.114015
3710.0	4.118319
3715.0	4.154870
3720.0	4.153380
3725.0	4.170592
3730.0	4.188214
3735.0	4.189288
3740.0	4.306595
3745.0	4.209097
3750.0	4.026992
3755.0	3.962586
3760.0	3.989812
3765.0	4.010306
3770.0	3.909907
3775.0	4.108999
3780.0	4.335312
3785.0	4.337678
3790.0	4.071712
3795.0	3.802136
3800.0	3.978751
3805.0	4.225565
3810.0	4.214251
3815.0	4.149306
3820.0	4.085270
3825.0	4.068363
3830.0	3.919586
3835.0	3.722685
3840.0	3.938784
3845.0	4.158281
3850.0	4.187984
3855.0	4.162157
3860.0	4.109375
3865.0	4.067517
3870.0	4.077858
3875.0	4.024016
3880.0	3.882699
3885.0	3.597227
3890.0	3.511724
3895.0	3.789827
3900.0	3.926458
3905.0	3.975184
3910.0	3.949728
3915.0	3.905879
3920.0	3.852573
3925.0	3.841339
3930.0	3.773357
3935.0	3.781025
3940.0	3.873202
3945.0	3.828063
3950.0	3.792201
3955.0	3.723078
3960.0	3.541070
3965.0	3.255591
3970.0	3.105763
3975.0	3.391574
3980.0	3.546606
3985.0	3.619766
3990.0	3.628308
3995.0	3.611261
4000.0	3.580331
4005.0	3.526620
4010.0	3.522656
4015.0	3.512000
4020.0	3.423447
4025.0	3.304236
4030.0	3.364967
4035.0	3.435334
4040.0	3.443700
4045.0	3.435549
4050.0	3.396770
4055.0	3.386131
4060.0	3.395542
4065.0	3.323464
4070.0	3.251117
4075.0	3.259472
4080.0	3.261627
4085.0	3.192139
4090.0	3.105980
4095.0	2.922164
4100.0	2.699117
4105.0	2.827610
4110.0	3.056653
4115.0	3.105893
4120.0	3.120809
4125.0	3.148464
4130.0	3.156540
4135.0	3.139805
4140.0	3.090679
4145.0	3.072163
4150.0	3.054594
4155.0	3.042259
4160.0	3.015640
4165.0	3.006965
4170.0	3.030215
4175.0	3.006694
4180.0	2.940435
4185.0	2.906496
4190.0	2.887858
4195.0	2.813051
4200.0	2.772576
4205.0	2.800559
4210.0	2.831593
4215.0	2.828809
4220.0	2.808895
4225.0	2.789940
4230.0	2.789720
4235.0	2.783812
4240.0	2.776886
4245.0	2.764400
4250.0	2.729134
4255.0	2.687893
4260.0	2.669616
4265.0	2.650532
4270.0	2.644094
4275.0	2.643003
4280.0	2.630312
4285.0	2.623858
4290.0	2.628168
4295.0	2.669662
4300.0	2.657120
4305.0	2.647848
4310.0	2.628818
4315.0	2.598858
4320.0	2.585913
4325.0	2.566941
4330.0	2.515566
4335.0	2.345432
4340.0	2.201079
4345.0	2.321410
4350.0	2.485625
4355.0	2.561296
4360.0	2.534755
4365.0	2.513844
4370.0	2.503875
4375.0	2.494794
4380.0	2.463000
4385.0	2.422601
4390.0	2.412377
4395.0	2.448491
4400.0	2.449084
4405.0	2.421753
4410.0	2.384278
4415.0	2.352483
4420.0	2.322208
4425.0	2.244542
4430.0	2.212145
4435.0	2.227051
4440.0	2.285049
4445.0	2.291810
4450.0	2.298637
4455.0	2.303937
4460.0	2.286427
4465.0	2.186984
4470.0	2.097487
4475.0	2.161899
4480.0	2.226430
4485.0	2.253192
4490.0	2.251184
4495.0	2.237247
4500.0	2.227112
4505.0	2.215672
4510.0	2.200460
4515.0	2.189641
4520.0	2.188255
4525.0	2.184676
4530.0	2.158260
4535.0	2.128580
4540.0	2.067645
4545.0	2.069376
4550.0	2.098336
4555.0	2.111652
4560.0	2.111723
4565.0	2.101775
4570.0	2.102861
4575.0	2.090610
4580.0	2.087127
4585.0	2.067857
4590.0	2.045314
4595.0	2.036406
4600.0	2.009452
4605.0	2.039368
4610.0	2.031265
4615.0	2.029106
4620.0	2.030251
4625.0	2.019481
4630.0	2.009394
4635.0	2.006690
4640.0	1.983603
4645.0	1.919982
4650.0	1.882302
4655.0	1.925515
4660.0	1.953106
4665.0	1.953605
4670.0	1.942371
4675.0	1.926558
4680.0	1.902481
4685.0	1.851681
4690.0	1.861331
4695.0	1.884487
4700.0	1.869841
4705.0	1.857101
4710.0	1.829067
4715.0	1.824006
4720.0	1.831965
4725.0	1.824048
4730.0	1.819794
4735.0	1.814210
4740.0	1.809721
4745.0	1.807919
4750.0	1.794919
4755.0	1.777269
4760.0	1.754363
4765.0	1.744872
4770.0	1.743762
4775.0	1.736354
4780.0	1.695415
4785.0	1.718435
4790.0	1.718146
4795.0	1.706355
4800.0	1.683260
4805.0	1.707292
4810.0	1.707195
4815.0	1.707870
4820.0	1.696245
4825.0	1.682852
4830.0	1.680809
4835.0	1.688756
4840.0	1.683827
4845.0	1.660887
4850.0	1.616027
4855.0	1.490948
4860.0	1.356238
4865.0	1.424238
4870.0	1.545151
4875.0	1.578952
4880.0	1.580454
4885.0	1.580222
4890.0	1.582578
4895.0	1.579663
4900.0	1.576470
4905.0	1.579623
4910.0	1.592057
4915.0	1.575336
4920.0	1.531277
4925.0	1.540217
4930.0	1.574607
4935.0	1.575042
4940.0	1.566290
4945.0	1.566997
4950.0	1.564930
4955.0	1.551194
4960.0	1.537850
4965.0	1.523201
4970.0	1.518201
4975.0	1.514381
4980.0	1.504081
4985.0	1.504743
4990.0	1.504411
4995.0	1.492887
5000.0	1.472829
5005.0	1.464388
5010.0	1.447625
5015.0	1.426016
5020.0	1.439364
5025.0	1.441981
5030.0	1.440934
5035.0	1.438883
5040.0	1.427787
5045.0	1.417882
5050.0	1.415451
5055.0	1.415927
5060.0	1.409982
5065.0	1.405858
5070.0	1.400837
5075.0	1.393039
5080.0	1.383758
5085.0	1.376965
5090.0	1.379649
5095.0	1.381270
5100.0	1.372902
5105.0	1.361395
5110.0	1.355058
5115.0	1.356481
5120.0	1.356247
5125.0	1.346229
5130.0	1.338873
