#-- o9v
#\*l[Angstrom]	F(\*l)/F(555.6Angstrom]
1150.02	64.131905179.802002
1155.01	41.635273131.910675
1160.01	30.757036105.233490
1165.01	32.578747101.691246
1170.0	86.662430
1175.0	70.147293
1180.0	78.362907
1185.0	85.207527
1190.0	77.702744
1195.0	68.849564
1200.0	67.268265
1205.0	61.135899
1210.0	45.369308
1215.0	28.861963
1220.0	47.061722
1225.0	69.537415
1230.0	76.168571
1235.0	74.040817
1240.0	73.639435
1245.0	77.914902
1250.0	75.940147
1255.0	76.334549
1260.0	79.712029
1265.0	83.818031
1270.0	84.917282
1275.0	84.950371
1280.0	83.935829
1285.0	82.218506
1290.0	84.083557
1295.0	80.281158
1300.0	74.253761
1305.0	75.847694
1310.0	80.161942
1315.0	79.952248
1320.0	78.024010
1325.0	76.358887
1330.0	75.222664
1335.0	70.153854
1340.0	69.139252
1345.0	68.828400
1350.0	70.513680
1355.0	70.889450
1360.0	68.256683
1365.0	67.369926
1370.0	68.334488
1375.0	66.845787
1380.0	65.646118
1385.0	63.043907
1390.0	57.464581
1395.0	51.727757
1400.0	51.638123
1405.0	53.016109
1410.0	56.261356
1415.0	57.782391
1420.0	55.628418
1425.0	52.151321
1430.0	52.059566
1435.0	56.030888
1440.0	55.218540
1445.0	54.245895
1450.0	53.339615
1455.0	51.114182
1460.0	51.116306
1465.0	53.364700
1470.0	54.569580
1475.0	54.775818
1480.0	54.436646
1485.0	54.796371
1490.0	55.404472
1495.0	53.337784
1500.0	49.071339
1505.0	49.548946
1510.0	51.993652
1515.0	51.202408
1520.0	51.640812
1525.0	47.000557
1530.0	41.938618
1535.0	40.872444
1540.0	38.723423
1545.0	27.390661
1550.0	25.436367
1555.0	36.711403
1560.0	39.077000
1565.0	38.035110
1570.0	39.420124
1575.0	40.673119
1580.0	39.914726
1585.0	40.470734
1590.0	40.370781
1595.0	38.360912
1600.0	37.727009
1605.0	35.692619
1610.0	33.187248
1615.0	32.765545
1620.0	32.249386
1625.0	32.818359
1630.0	32.777611
1635.0	33.048889
1640.0	33.044807
1645.0	34.913635
1650.0	36.738266
1655.0	34.963200
1660.0	33.424103
1665.0	34.422012
1670.0	33.295414
1675.0	33.851238
1680.0	37.084778
1685.0	36.684086
1690.0	34.897095
1695.0	34.289528
1700.0	33.613556
1705.0	33.973125
1710.0	34.270393
1715.0	33.283947
1720.0	30.466631
1725.0	30.447886
1730.0	32.417831
1735.0	33.934410
1740.0	33.787624
1745.0	33.863075
1750.0	33.122540
1755.0	33.458340
1760.0	33.823471
1765.0	32.840515
1770.0	32.740849
1775.0	33.133659
1780.0	32.895294
1785.0	31.523764
1790.0	28.651840
1795.0	29.471903
1800.0	30.697769
1805.0	30.186916
1810.0	30.067715
1815.0	30.626698
1820.0	31.414555
1825.0	31.345531
1830.0	31.124331
1835.0	31.265133
1840.0	30.104235
1845.0	29.615738
1850.0	29.209311
1855.0	28.686716
1860.0	28.717447
1865.0	29.282413
1870.0	28.509161
1875.0	27.226856
1880.0	27.336088
1885.0	26.834608
1890.0	26.554157
1895.0	26.814453
1900.0	26.994553
1905.0	26.672199
1910.0	25.929312
1915.0	24.932613
1920.0	24.151770
1925.0	23.857803
1930.0	25.075621
1935.0	25.585064
1940.0	25.512880
1945.0	25.509493
1950.0	25.282597
1955.0	24.956957
1960.0	24.169029
1965.0	23.616026
1970.0	23.080374
1975.0	23.969954
1980.0	24.299051
1985.0	23.548044
1990.0	22.663961
1995.0	22.537642
2000.0	22.759605
2005.0	22.943035
2010.0	22.437654
2015.0	22.923765
2020.0	22.566818
2025.0	22.694973
2030.0	22.594891
2035.0	22.653690
2040.0	22.678841
2045.0	22.439014
2050.0	22.398272
2055.0	21.071911
2060.0	19.692041
2065.0	20.223734
2070.0	21.244205
2075.0	20.895672
2080.0	20.568859
2085.0	20.753059
2090.0	20.768238
2095.0	20.046516
2100.0	19.765232
2105.0	19.215921
2110.0	19.300461
2115.0	20.234818
2120.0	19.870388
2125.0	19.392368
2130.0	19.306805
2135.0	19.158978
2140.0	19.526342
2145.0	19.220222
2150.0	18.723803
2155.0	18.395657
2160.0	18.317705
2165.0	18.289053
2170.0	17.712465
2175.0	17.903021
2180.0	17.928493
2185.0	18.061028
2190.0	17.915649
2195.0	18.091932
2200.0	17.597321
2205.0	17.210056
2210.0	16.815662
2215.0	16.702831
2220.0	16.363789
2225.0	16.342178
2230.0	16.479040
2235.0	16.199802
2240.0	15.964721
2245.0	15.943511
2250.0	15.973087
2255.0	15.874268
2260.0	15.796679
2265.0	15.732259
2270.0	15.548719
2275.0	15.521976
2280.0	15.455567
2285.0	15.574055
2290.0	15.888752
2295.0	15.480504
2300.0	14.761627
2305.0	14.213152
2310.0	14.762710
2315.0	14.958247
2320.0	15.005971
2325.0	14.877272
2330.0	14.958472
2335.0	15.484849
2340.0	15.202257
2345.0	14.860731
2350.0	14.630497
2355.0	14.648830
2360.0	15.000845
2365.0	15.287478
2370.0	15.147299
2375.0	14.816542
2380.0	14.590626
2385.0	14.201163
2390.0	13.585414
2395.0	13.362177
2400.0	13.586219
2405.0	14.200870
2410.0	14.116563
2415.0	14.187052
2420.0	14.284183
2425.0	13.983757
2430.0	14.186916
2435.0	14.343793
2440.0	14.112788
2445.0	13.755800
2450.0	13.890887
2455.0	14.037315
2460.0	13.879814
2465.0	14.295817
2470.0	14.095819
2475.0	13.423907
2480.0	13.493793
2485.0	13.473615
2490.0	13.289298
2495.0	13.355533
2500.0	13.470635
2505.0	13.327949
2510.0	13.211136
2515.0	12.549574
2520.0	12.567934
2525.0	12.512714
2530.0	13.045125
2535.0	13.423721
2540.0	12.931369
2545.0	12.613271
2550.0	12.932350
2555.0	12.843961
2560.0	12.723427
2565.0	12.605470
2570.0	12.614239
2575.0	12.631711
2580.0	11.003408
2585.0	10.779988
2590.0	11.779220
2595.0	12.153422
2600.0	12.251131
2605.0	11.939261
2610.0	12.200558
2615.0	12.537869
2620.0	12.291729
2625.0	12.580055
2630.0	12.291632
2635.0	12.319071
2640.0	12.282742
2645.0	11.891155
2650.0	11.907295
2655.0	12.027767
2660.0	12.150163
2665.0	11.574048
2670.0	11.417302
