name	dataset	extended_results	level	OperatorResult_name	ResultStore_key	hdf5_type
Redshift	model_parameters	False	candidate	Redshift	extrema_results	f8
RedshiftUncertainty	model_parameters	False	candidate	Deltaz	extrema_results	f8
RedshiftProba	model_parameters	False	candidate	ValSumProba	extrema_results	f8
RedshiftLogProbaDensity	model_parameters	False	candidate	ValProba	extrema_results	f8
RedshiftProbaZmin	model_parameters	False	candidate	ValSumProbaZmin	extrema_results	f8
RedshiftProbaZmax	model_parameters	False	candidate	ValSumProbaZmax	extrema_results	f8
ContinuumName	model_parameters	False	candidate	FittedTplName	extrema_results	S40
ContinuumIsmCoeff	model_parameters	False	candidate	FittedTplEbmvCoeff	extrema_results	f8
ContinuumIgmIndex	model_parameters	False	candidate	FittedTplMeiksinIdx	extrema_results	i
ContinuumAmplitude	model_parameters	False	candidate	FittedTplAmplitude	extrema_results	f8
ContinuumAmplitudeUncertainty	model_parameters	False	candidate	FittedTplAmplitudeError	extrema_results	f8
ContinuumMtM	model_parameters	True	candidate	FittedTplMtm	extrema_results	f8
ContinuumDtM	model_parameters	True	candidate	FittedTplDtm	extrema_results	f8
ContinuumLeastSquare	model_parameters	True	candidate	FittedTplMerit	extrema_results	f8
ContinuumLogPrior	model_parameters	True	candidate	FittedTplLogPrior	extrema_results	f8
LinesRatioName	model_parameters	False	candidate	FittedTplratioName	extrema_results	S60
LeastSquare	model_parameters	False	candidate	Merit	extrema_results	f8
VelocityEmission	model_parameters	False	candidate	Elv	extrema_results	f8
VelocityAbsorption	model_parameters	False	candidate	Alv	extrema_results	f8
StrongEmissionLinesSNR	model_parameters	False	candidate	StrongELSNR	extrema_results	f8
LinesRatioIsmCoeff	model_parameters	False	candidate	FittedTplratioIsmCoeff	extrema_results	f8
LinesRatioAmplitude	model_parameters	False	candidate	FittedTplratioAmplitude	extrema_results	f8
FittedLineLambda	fitted_lines	False	candidate	LambdaObs	extrema_results	f8
FittedLineID	fitted_lines	False	candidate	lineId	extrema_results	i
FittedLineFlux	fitted_lines	False	candidate	Fluxs	extrema_results	f8
ModelLambda	model	False	candidate	ModelLambda	extrema_results	f8
ModelFlux	model	False	candidate	ModelFlux	extrema_results	f8
BestContinuumLambda	continuum	False	candidate	wavel	extrema_results	f8
BestContinuumFlux	continuum	False	candidate	fluxes	extrema_results	f8
GaussianPDFAmp	model_parameters	True	candidate	GaussAmp	extrema_results	f8
GaussianPDFAmpErr	model_parameters	True	candidate	GaussAmpErr	extrema_results	f8
GaussianPDFSigma	model_parameters	True	candidate	GaussSigma	extrema_results	f8
GaussianPDFSigmaErr	model_parameters	True	candidate	GaussSigmaErr	extrema_results	f8
lfOII	model_parameters	False	candidate	lfOII	extrema_results	f8
snrOII	model_parameters	False	candidate	snrOII	extrema_results	f8
lfHa	model_parameters	False	candidate	lfHa	extrema_results	f8
snrHa	model_parameters	False	candidate	snrHa	extrema_results	f8
FirstpassRedshift	model_parameters	True	candidate	Redshift	extrema_results	f8
FirstpassRedshiftLogProbaDensity	model_parameters	True	candidate	ValProba	extrema_results	f8
FirstpassContinuumName	model_parameters	True	candidate	FittedTplName	extrema_results	S40
FirstpassContinuumIsmCoeff	model_parameters	True	candidate	FittedTplEbmvCoeff	extrema_results	f8
FirstpassContinuumIgmIndex	model_parameters	True	candidate	FittedTplMeiksinIdx	extrema_results	i
FirstpassContinuumAmplitude	model_parameters	True	candidate	FittedTplAmplitude	extrema_results	f8
FirstpassContinuumAmplitudeUncertainty	model_parameters	True	candidate	FittedTplAmplitudeError	extrema_results	f8
FirstpassContinuumLeastSquare	model_parameters	True	candidate	FittedTplMerit	extrema_results	f8
FirstpassContinuumLogPrior	model_parameters	True	candidate	FittedTplLogPrior	extrema_results	f8
FirstpassFittedTemplateDtM	model_parameters	True	candidate	FittedTplDtm	extrema_results	f8
FirstpassFittedTemplateMtM	model_parameters	True	candidate	FittedTplMtm	extrema_results	f8
FirstpassVelocityEmission	model_parameters	True	candidate	Elv	extrema_results	f8
FirstpassVelocityAbsorption	model_parameters	True	candidate	Alv	extrema_results	f8
<ObjectType>Evidence	classification	False	root	m_evidences[object_type]	solveResult	f8
<ObjectType>Proba	classification	False	root	m_proba[object_type]	solveResult	f8
Type	classification	False	root	m_TypeLabel	solveResult	S1
PDFProbaLog	pdf	False	object	valProbaLog	pdf	f8
ContinuumVectAmplitude	modeltplCombination_parameters	FALSE	candidate	FittedTplAmplitudeList	extrema_results	f8
ContinuumVectAmplitudeUncertainty	modeltplCombination_parameters	FALSE	candidate	FittedTplAmplitudeErrorList	extrema_results	f8
LinemeasLineLambda	linemeas	False	object	LambdaObs	linemeas	f8
LinemeasLineID	linemeas	False	object	lineId	linemeas	i
LinemeasLineFlux	linemeas	False	object	Fluxs	linemeas	f8
LinemeasLineFluxDirectIntegration	linemeas	False	object	FluxDirectIntegration	linemeas	f8
LinemeasLineFluxDirectIntegrationError	linemeas	False	object	FluxDirectIntegrationError	linemeas	f8
LinemeasLineFluxError	linemeas	False	object	FluxErrors	linemeas	f8
LinemeasLineFittingError	linemeas	False	object	FittingError	linemeas	f8
LinemeasLineCenterContinuumFlux	linemeas	False	object	CenterContinuumFlux	linemeas	f8
LinemeasLineWidth	linemeas	False	object	Sigmas	linemeas	f8
Linemeas_snrOII	linemeas_parameters	False	object	snrOII	linemeas	f8
Linemeas_snrHa	linemeas_parameters	False	object	snrHa	linemeas	f8
LinemeasLfOII	linemeas_parameters	False	object	lfOII	linemeas	f8
LinemeasLfHa	linemeas_parameters	False	object	lfHa	linemeas	f8
Linemeas_VelocityEmission	linemeas_parameters	False	object	EmissionVelocity	linemeas	f8
Linemeas_VelocityAbsorption	linemeas_parameters	False	object	AbsorptionVelocity	linemeas	f8
ModelLambda	linemeas_model	False	object	ModelLambda	linemeas_model	f8
ModelFlux	linemeas_model	False	object	ModelFlux	linemeas_model	f8
Reliability	reliability	False	object	m_ReliabilityLabel	solveResult	f8
FirstpassPDFProbaLog	firstpass_pdf	True	object	valProbaLog	firstpass_pdf	f8
ContextWarningFlags	context_warningFlag	False	root	flagValue	context_warningFlag	i
<MethodType>WarningFlags	warningFlag	False	method	flagValue	warningFlag	i
SubType	model_parameters	False	candidate			S10
Rank	model_parameters	False	candidate	Rank	extrema_results	i
FPZmin	firstpass_pdf_params	True	object	zmin	firstpass_pdf	f8
FPZmax	firstpass_pdf_params	True	object	zmax	firstpass_pdf	f8
FPZstep	firstpass_pdf_params	True	object	zstep	firstpass_pdf	f8
zmin	pdf_params	False	object	zmin	pdf	f8
zmax	pdf_params	False	object	zmax	pdf	f8
zstep	pdf_params	False	object	zstep	pdf	f8
zcenter	pdf_params	False	object	zcenter	pdf	f8
