#linemodel solution 0 for z = xx, velocityEmission = xx, velocityAbsorption = xx, merit = xxx{
#type	#force	#Name_____________	#elt_ID	#lambda_rest	#amp_____	#err_____	#err_fit_____
A	W	HalphaA           	7	6564.580	-1.00000e+00	-1.00000e+00	0.00000e+00
A	W	NaD               	8	5895.600	-1.00000e+00	-1.00000e+00	0.00000e+00
A	S	MgI5175           	9	5176.710	-1.00000e+00	-1.00000e+00	0.00000e+00
A	W	HbetaA            	10	4862.620	-1.00000e+00	-1.00000e+00	0.00000e+00
A	W	HgammaA           	11	4341.580	-1.00000e+00	-1.00000e+00	0.00000e+00
A	W	GBand             	12	4304.570	-1.00000e+00	-1.00000e+00	0.00000e+00
A	W	HdeltaA           	13	4102.810	-1.00000e+00	-1.00000e+00	0.00000e+00
A	W	HepsilonA         	14	3971.150	-1.00000e+00	-1.00000e+00	0.00000e+00
A	S	CaII_H            	1	3969.550	-1.00000e+00	-1.00000e+00	0.00000e+00
A	S	CaII_K            	1	3934.730	-1.00000e+00	-1.00000e+00	0.00000e+00
A	W	H8A               	15	3890.110	-1.00000e+00	-1.00000e+00	0.00000e+00
A	W	H9A               	16	3836.430	-1.00000e+00	-1.00000e+00	0.00000e+00
A	W	H10A              	17	3798.930	-1.00000e+00	-1.00000e+00	0.00000e+00
A	W	H11A              	18	3771.650	-1.00000e+00	-1.00000e+00	0.00000e+00
A	W	FeI               	19	3582.190	-1.00000e+00	-1.00000e+00	0.00000e+00
A	S	MgI2852           	20	2853.730	-1.00000e+00	-1.00000e+00	0.00000e+00
A	S	MgII2803          	2	2804.290	-1.00000e+00	-1.00000e+00	0.00000e+00
A	S	MgII2796          	2	2797.110	-1.00000e+00	-1.00000e+00	0.00000e+00
A	S	FeII2600          	21	2600.870	-1.00000e+00	-1.00000e+00	0.00000e+00
A	W	FeII2586          	22	2587.350	-1.00000e+00	-1.00000e+00	0.00000e+00
A	S	FeII2382          	23	2383.400	-1.00000e+00	-1.00000e+00	0.00000e+00
A	W	FeII2374          	24	2375.100	-1.00000e+00	-1.00000e+00	0.00000e+00
A	S	FeII2344          	25	2344.840	-1.00000e+00	-1.00000e+00	0.00000e+00
A	W	FeII2260          	26	2261.390	-1.00000e+00	-1.00000e+00	0.00000e+00
A	W	FeII2249          	27	2250.490	-1.00000e+00	-1.00000e+00	0.00000e+00
A	W	AlIII1862         	28	1863.290	-1.00000e+00	-1.00000e+00	0.00000e+00
A	W	AlIII1854         	29	1855.220	-1.00000e+00	-1.00000e+00	0.00000e+00
A	W	AlII1670          	30	1671.230	-1.00000e+00	-1.00000e+00	0.00000e+00
A	W	FeII1608          	31	1608.880	-1.00000e+00	-1.00000e+00	0.00000e+00
A	W	CI                	32	1560.730	-1.00000e+00	-1.00000e+00	0.00000e+00
A	S	CIV1550A          	0	1551.190	-1.00000e+00	-1.00000e+00	0.00000e+00
A	S	CIV1548A          	0	1548.610	-1.00000e+00	-1.00000e+00	0.00000e+00
A	W	SiII1526          	33	1527.120	-1.00000e+00	-1.00000e+00	0.00000e+00
A	W	SiIV1402          	34	1403.150	-1.00000e+00	-1.00000e+00	0.00000e+00
A	W	SiIV1393          	35	1394.120	-1.00000e+00	-1.00000e+00	0.00000e+00
A	W	NiII              	36	1370.500	-1.00000e+00	-1.00000e+00	0.00000e+00
A	W	CII               	37	1334.890	-1.00000e+00	-1.00000e+00	0.00000e+00
A	W	OI                	38	1302.510	-1.00000e+00	-1.00000e+00	0.00000e+00
A	W	SiII1260          	39	1260.760	-1.00000e+00	-1.00000e+00	0.00000e+00
A	S	LyAA              	40	1211.000	-1.00000e+00	-1.00000e+00	0.00000e+00
E	W	[SII]6731         	41	6732.710	-1.00000e+00	-1.00000e+00	0.00000e+00
E	W	[SII]6716         	42	6718.320	-1.00000e+00	-1.00000e+00	0.00000e+00
E	W	[NII](doublet-1)  	5	6585.230	-1.00000e+00	-1.00000e+00	0.00000e+00
E	S	Halpha            	43	6564.580	-1.00000e+00	-1.00000e+00	0.00000e+00
E	W	[NII](doublet-1/2.95)	5	6549.840	-1.00000e+00	-1.00000e+00	0.00000e+00
E	S	[OIII](doublet-1) 	6	5008.160	-1.00000e+00	-1.00000e+00	0.00000e+00
E	S	[OIII](doublet-1/3)	6	4960.150	-1.00000e+00	-1.00000e+00	0.00000e+00
E	S	Hbeta             	44	4862.620	-1.00000e+00	-1.00000e+00	0.00000e+00
E	W	Hgamma            	45	4341.580	-1.00000e+00	-1.00000e+00	0.00000e+00
E	W	Hdelta            	46	4102.810	-1.00000e+00	-1.00000e+00	0.00000e+00
E	W	Hepsilon          	47	3971.150	-1.00000e+00	-1.00000e+00	0.00000e+00
E	W	H8                	48	3890.110	-1.00000e+00	-1.00000e+00	0.00000e+00
E	W	NeIII             	49	3869.050	-1.00000e+00	-1.00000e+00	0.00000e+00
E	W	H9                	50	3836.430	-1.00000e+00	-1.00000e+00	0.00000e+00
E	W	H10               	51	3798.930	-1.00000e+00	-1.00000e+00	0.00000e+00
E	W	H11               	52	3771.650	-1.00000e+00	-1.00000e+00	0.00000e+00
E	S	[OII]3729         	53	3729.880	-1.00000e+00	-1.00000e+00	0.00000e+00
E	S	[OII]3726         	54	3727.090	-1.00000e+00	-1.00000e+00	0.00000e+00
E	W	[NeVa]            	55	3426.730	-1.00000e+00	-1.00000e+00	0.00000e+00
E	W	[NeVb]            	56	3346.810	-1.00000e+00	-1.00000e+00	0.00000e+00
E	W	[CIII]1907        	57	1906.680	-1.00000e+00	-1.00000e+00	0.00000e+00
E	W	[CIII]1909        	58	1908.730	-1.00000e+00	-1.00000e+00	0.00000e+00
E	W	HeII(doublet-3)   	4	1640.470	-1.50000e+00	-1.50000e+00	0.00000e+00
E	W	HeII(doublet-2)   	4	1640.330	-1.50000e+00	-1.50000e+00	0.00000e+00
E	S	CIV1550           	3	1551.190	-1.00000e+00	-1.00000e+00	0.00000e+00
E	S	CIV1548           	3	1548.610	-1.00000e+00	-1.00000e+00	0.00000e+00
