# lambda       flux                   
  916.3952     0.0033797487599999997  
  917.58984    0.0033824930399999997  
  918.7844     0.0033646941           
  919.97906    0.0032664702600000003  
  921.1737     0.00319730004          
  922.3683     0.0032444604           
  923.5629     0.00334710522          
  924.7575     0.0034696679399999998  
  925.95215    0.00363127158          
  927.1468     0.00381526686          
  928.3414     0.00400006242          
  929.536      0.0041054607           
  930.73065    0.0036051690600000003  
  931.92523    0.00266042232          
  933.1199     0.0024885527400000003  
  934.3145     0.00258599952          
  935.5091     0.0030092725799999998  
  936.70374    0.0035293654800000003  
  937.8984     0.00349333236          
  939.09296    0.0029392329599999996  
  940.2876     0.00229927032          
  941.4822     0.00110488914          
  942.6768     -8.064014400000001E-4  
  943.87146    -0.00164867238         
  945.06604    5.6929716E-4           
  946.2607     0.0028950220800000002  
  947.4553     0.0027458244           
  948.6499     0.0022642659           
  949.84454    0.0029763239400000005  
  951.0392     0.00398508714          
  952.23376    0.0058664844           
  953.4284     0.0077108166           
  954.62305    0.0061249500000000005  
  955.8176     0.00414677232          
  957.01227    0.007021042200000001   
  958.20685    0.0093235968           
  959.4015     0.009815936400000001   
  960.5961     0.006941959199999999   
  961.7907     0.0043919064           
  962.98535    0.0057663306           
  964.18       0.0085341276           
  965.3746     0.0087461424           
  966.5692     0.007654370400000001   
  967.76385    0.00536392098          
  968.95844    0.00513783972          
  970.1531     0.005724648            
  971.3477     0.0056083536           
  972.5423     0.005155839000000001   
  973.73694    0.0045019152           
  974.9315     0.00436281768          
  976.12616    0.00452652894          
  977.3208     0.0044092501199999995  
  978.5154     0.00420273252          
  979.71       0.003952645560000001   
  980.90466    0.00317632104          
  982.09924    0.00263090052          
  983.2939     0.00430697898          
  984.4885     0.0060473843999999995  
  985.6831     0.0054978912           
  986.87775    0.0063543258           
  988.0724     0.0071315423999999995  
  989.26697    0.0057400326           
  990.4616     0.0064596582           
  991.6562     0.007054360199999999   
  992.8508     0.008195229            
  994.0455     0.0090706878           
  995.24005    0.0101002572           
  996.4347     0.0102565764           
  997.62933    0.0085308984           
  998.8239     0.007982074799999999   
  1000.01855   0.0105151446           
  1001.2132    0.0115857432           
  1002.4078    0.0096777774           
  1003.6024    0.0083222964           
  1004.79706   0.0081829602           
  1005.99164   0.006945717600000001   
  1007.1863    0.0063285678000000005  
  1008.38086   0.008892714599999999   
  1009.5755    0.009092168999999999   
  1010.77014   0.0070531722           
  1011.9647    0.0063939996           
  1013.15936   0.007792372800000001   
  1014.354     0.0091808694           
  1015.5486    0.0091787364           
  1016.7432    0.0073415322           
  1017.93787   0.00525126888          
  1019.13245   0.00398226348          
  1020.3271    0.00463746492          
  1021.5217    0.0061423649999999995  
  1022.7163    0.0065844143999999995  
  1023.91095   0.0062776242           
  1025.1056    0.004804940519999999   
  1026.3002    0.00527592474          
  1027.4948    0.006161562            
  1028.6895    0.006172119            
  1029.884     0.006758818200000001   
  1031.0786    0.0084853494           
  1032.2733    0.0098482932           
  1033.4679    0.010918719            
  1034.6625    0.0114702156           
  1035.8572    0.0109949832           
  1037.0518    0.009723650399999999   
  1038.2463    0.0090406206           
  1039.441     0.009696105            
  1040.6356    0.0107331048           
  1041.8302    0.012377350799999999   
  1043.0249    0.0140793876           
