# lambda	flux
 99.27839661 1e-24
 100.27839661 1e-24
 101.27839661 1e-24
 102.27839661 1e-24
 103.27839661 1e-24
 104.27839661 1e-24
 105.27839661 1e-24
 106.27839661 1e-24
 107.27839661 1e-24
 108.27839661 1e-24
 109.27839661 1e-24
 110.27839661 1e-24
 111.27839661 1e-24
 112.27839661 1e-24
 113.27839661 1e-24
 114.27839661 1e-24
 115.27839661 1e-24
 116.27839661 1e-24
 117.27839661 1e-24
 118.27839661 1e-24
 119.27839661 1e-24
 120.27839661 1e-24
 121.27839661 1e-24
 122.27839661 1e-24
 123.27839661 1e-24
 124.27839661 1e-24
 125.27839661 1e-24
 126.27839661 1e-24
 127.27839661 1e-24
 128.27839661 1e-24
 129.27839661 1e-24
 130.27839661 1e-24
 131.27839661 1e-24
 132.27839661 1e-24
 133.27839661 1e-24
 134.27839661 1e-24
 135.27839661 1e-24
 136.27839661 1e-24
 137.27839661 1e-24
 138.27839661 1e-24
 139.27839661 1e-24
 140.27839661 1e-24
 141.27839661 1e-24
 142.27839661 1e-24
 143.27839661 1e-24
 144.27839661 1e-24
 145.27839661 1e-24
 146.27839661 1e-24
 147.27839661 1e-24
 148.27839661 1e-24
 149.27839661 1e-24
 150.27839661 1e-24
 151.27839661 1e-24
 152.27839661 1e-24
 153.27839661 1e-24
 154.27839661 1e-24
 155.27839661 1e-24
 156.27839661 1e-24
 157.27839661 1e-24
 158.27839661 1e-24
 159.27839661 1e-24
 160.27839661 1e-24
 161.27839661 1e-24
 162.27839661 1e-24
 163.27839661 1e-24
 164.27839661 1e-24
 165.27839661 1e-24
 166.27839661 1e-24
 167.27839661 1e-24
 168.27839661 1e-24
 169.27839661 1e-24
 170.27839661 1e-24
 171.27839661 1e-24
 172.27839661 1e-24
 173.27839661 1e-24
 174.27839661 1e-24
 175.27839661 1e-24
 176.27839661 1e-24
 177.27839661 1e-24
 178.27839661 1e-24
 179.27839661 1e-24
 180.27839661 1e-24
 181.27839661 1e-24
 182.27839661 1e-24
 183.27839661 1e-24
 184.27839661 1e-24
 185.27839661 1e-24
 186.27839661 1e-24
 187.27839661 1e-24
 188.27839661 1e-24
 189.27839661 1e-24
 190.27839661 1e-24
 191.27839661 1e-24
 192.27839661 1e-24
 193.27839661 1e-24
 194.27839661 1e-24
 195.27839661 1e-24
 196.27839661 1e-24
 197.27839661 1e-24
 198.27839661 1e-24
 199.27839661 1e-24
 200.27839661 1e-24
 201.27839661 1e-24
 202.27839661 1e-24
 203.27839661 1e-24
 204.27839661 1e-24
 205.27839661 1e-24
 206.27839661 1e-24
 207.27839661 1e-24
 208.27839661 1e-24
 209.27839661 1e-24
 210.27839661 1e-24
 211.27839661 1e-24
 212.27839661 1e-24
 213.27839661 1e-24
 214.27839661 1e-24
 215.27839661 1e-24
 216.27839661 1e-24
 217.27839661 1e-24
 218.27839661 1e-24
 219.27839661 1e-24
 220.27839661 1e-24
 221.27839661 1e-24
 222.27839661 1e-24
 223.27839661 1e-24
 224.27839661 1e-24
 225.27839661 1e-24
 226.27839661 1e-24
 227.27839661 1e-24
 228.27839661 1e-24
 229.27839661 1e-24
 230.27839661 1e-24
 231.27839661 1e-24
 232.27839661 1e-24
 233.27839661 1e-24
 234.27839661 1e-24
 235.27839661 1e-24
 236.27839661 1e-24
 237.27839661 1e-24
 238.27839661 1e-24
 239.27839661 1e-24
 240.27839661 1e-24
 241.27839661 1e-24
 242.27839661 1e-24
 243.27839661 1e-24
 244.27839661 1e-24
 245.27839661 1e-24
 246.27839661 1e-24
 247.27839661 1e-24
 248.27839661 1e-24
 249.27839661 1e-24
 250.27839661 1e-24
 251.27839661 1e-24
 252.27839661 1e-24
 253.27839661 1e-24
 254.27839661 1e-24
 255.27839661 1e-24
 256.27839661 1e-24
 257.27839661 1e-24
 258.27839661 1e-24
 259.27839661 1e-24
 260.27839661 1e-24
 261.27839661 1e-24
 262.27839661 1e-24
 263.27839661 1e-24
 264.27839661 1e-24
 265.27839661 1e-24
 266.27839661 1e-24
 267.27839661 1e-24
 268.27839661 1e-24
 269.27839661 1e-24
 270.27839661 1e-24
 271.27839661 1e-24
 272.27839661 1e-24
 273.27839661 1e-24
 274.27839661 1e-24
 275.27839661 1e-24
 276.27839661 1e-24
 277.27839661 1e-24
 278.27839661 1e-24
 279.27839661 1e-24
 280.27839661 1e-24
 281.27839661 1e-24
 282.27839661 1e-24
 283.27839661 1e-24
 284.27839661 1e-24
 285.27839661 1e-24
 286.27839661 1e-24
 287.27839661 1e-24
 288.27839661 1e-24
 289.27839661 1e-24
 290.27839661 1e-24
 291.27839661 1e-24
 292.27839661 1e-24
 293.27839661 1e-24
 294.27839661 1e-24
 295.27839661 1e-24
 296.27839661 1e-24
 297.27839661 1e-24
 298.27839661 1e-24
 299.27839661 1e-24
 300.27839661 1e-24
 301.27839661 1e-24
 302.27839661 1e-24
 303.27839661 1e-24
 304.27839661 1e-24
 305.27839661 1e-24
 306.27839661 1e-24
 307.27839661 1e-24
 308.27839661 1e-24
 309.27839661 1e-24
 310.27839661 1e-24
 311.27839661 1e-24
 312.27839661 1e-24
 313.27839661 1e-24
 314.27839661 1e-24
 315.27839661 1e-24
 316.27839661 1e-24
 317.27839661 1e-24
 318.27839661 1e-24
 319.27839661 1e-24
 320.27839661 1e-24
 321.27839661 1e-24
 322.27839661 1e-24
 323.27839661 1e-24
 324.27839661 1e-24
 325.27839661 1e-24
 326.27839661 1e-24
 327.27839661 1e-24
 328.27839661 1e-24
 329.27839661 1e-24
 330.27839661 1e-24
 331.27839661 1e-24
 332.27839661 1e-24
 333.27839661 1e-24
 334.27839661 1e-24
 335.27839661 1e-24
 336.27839661 1e-24
 337.27839661 1e-24
 338.27839661 1e-24
 339.27839661 1e-24
 340.27839661 1e-24
 341.27839661 1e-24
 342.27839661 1e-24
 343.27839661 1e-24
 344.27839661 1e-24
 345.27839661 1e-24
 346.27839661 1e-24
 347.27839661 1e-24
 348.27839661 1e-24
 349.27839661 1e-24
 350.27839661 1e-24
 351.27839661 1e-24
 352.27839661 1e-24
 353.27839661 1e-24
 354.27839661 1e-24
 355.27839661 1e-24
 356.27839661 1e-24
 357.27839661 1e-24
 358.27839661 1e-24
 359.27839661 1e-24
 360.27839661 1e-24
 361.27839661 1e-24
 362.27839661 1e-24
 363.27839661 1e-24
 364.27839661 1e-24
 365.27839661 1e-24
 366.27839661 1e-24
 367.27839661 1e-24
 368.27839661 1e-24
 369.27839661 1e-24
 370.27839661 1e-24
 371.27839661 1e-24
 372.27839661 1e-24
 373.27839661 1e-24
 374.27839661 1e-24
 375.27839661 1e-24
 376.27839661 1e-24
 377.27839661 1e-24
 378.27839661 1e-24
 379.27839661 1e-24
 380.27839661 1e-24
 381.27839661 1e-24
 382.27839661 1e-24
 383.27839661 1e-24
