# lambda	flux
 99.26143646 1e-24
 100.26143646 1e-24
 101.26143646 1e-24
 102.26143646 1e-24
 103.26143646 1e-24
 104.26143646 1e-24
 105.26143646 1e-24
 106.26143646 1e-24
 107.26143646 1e-24
 108.26143646 1e-24
 109.26143646 1e-24
 110.26143646 1e-24
 111.26143646 1e-24
 112.26143646 1e-24
 113.26143646 1e-24
 114.26143646 1e-24
 115.26143646 1e-24
 116.26143646 1e-24
 117.26143646 1e-24
 118.26143646 1e-24
 119.26143646 1e-24
 120.26143646 1e-24
 121.26143646 1e-24
 122.26143646 1e-24
 123.26143646 1e-24
 124.26143646 1e-24
 125.26143646 1e-24
 126.26143646 1e-24
 127.26143646 1e-24
 128.26143646 1e-24
 129.26143646 1e-24
 130.26143646 1e-24
 131.26143646 1e-24
 132.26143646 1e-24
 133.26143646 1e-24
 134.26143646 1e-24
 135.26143646 1e-24
 136.26143646 1e-24
 137.26143646 1e-24
 138.26143646 1e-24
 139.26143646 1e-24
 140.26143646 1e-24
 141.26143646 1e-24
 142.26143646 1e-24
 143.26143646 1e-24
 144.26143646 1e-24
 145.26143646 1e-24
 146.26143646 1e-24
 147.26143646 1e-24
 148.26143646 1e-24
 149.26143646 1e-24
 150.26143646 1e-24
 151.26143646 1e-24
 152.26143646 1e-24
 153.26143646 1e-24
 154.26143646 1e-24
 155.26143646 1e-24
 156.26143646 1e-24
 157.26143646 1e-24
 158.26143646 1e-24
 159.26143646 1e-24
 160.26143646 1e-24
 161.26143646 1e-24
 162.26143646 1e-24
 163.26143646 1e-24
 164.26143646 1e-24
 165.26143646 1e-24
 166.26143646 1e-24
 167.26143646 1e-24
 168.26143646 1e-24
 169.26143646 1e-24
 170.26143646 1e-24
 171.26143646 1e-24
 172.26143646 1e-24
 173.26143646 1e-24
 174.26143646 1e-24
 175.26143646 1e-24
 176.26143646 1e-24
 177.26143646 1e-24
 178.26143646 1e-24
 179.26143646 1e-24
 180.26143646 1e-24
 181.26143646 1e-24
 182.26143646 1e-24
 183.26143646 1e-24
 184.26143646 1e-24
 185.26143646 1e-24
 186.26143646 1e-24
 187.26143646 1e-24
 188.26143646 1e-24
 189.26143646 1e-24
 190.26143646 1e-24
 191.26143646 1e-24
 192.26143646 1e-24
 193.26143646 1e-24
 194.26143646 1e-24
 195.26143646 1e-24
 196.26143646 1e-24
 197.26143646 1e-24
 198.26143646 1e-24
 199.26143646 1e-24
 200.26143646 1e-24
 201.26143646 1e-24
 202.26143646 1e-24
 203.26143646 1e-24
 204.26143646 1e-24
 205.26143646 1e-24
 206.26143646 1e-24
 207.26143646 1e-24
 208.26143646 1e-24
 209.26143646 1e-24
 210.26143646 1e-24
 211.26143646 1e-24
 212.26143646 1e-24
 213.26143646 1e-24
 214.26143646 1e-24
 215.26143646 1e-24
 216.26143646 1e-24
 217.26143646 1e-24
 218.26143646 1e-24
 219.26143646 1e-24
 220.26143646 1e-24
 221.26143646 1e-24
 222.26143646 1e-24
 223.26143646 1e-24
 224.26143646 1e-24
 225.26143646 1e-24
 226.26143646 1e-24
 227.26143646 1e-24
 228.26143646 1e-24
 229.26143646 1e-24
 230.26143646 1e-24
 231.26143646 1e-24
 232.26143646 1e-24
 233.26143646 1e-24
 234.26143646 1e-24
 235.26143646 1e-24
 236.26143646 1e-24
 237.26143646 1e-24
 238.26143646 1e-24
 239.26143646 1e-24
 240.26143646 1e-24
 241.26143646 1e-24
 242.26143646 1e-24
 243.26143646 1e-24
 244.26143646 1e-24
 245.26143646 1e-24
 246.26143646 1e-24
 247.26143646 1e-24
 248.26143646 1e-24
 249.26143646 1e-24
 250.26143646 1e-24
 251.26143646 1e-24
 252.26143646 1e-24
 253.26143646 1e-24
 254.26143646 1e-24
 255.26143646 1e-24
 256.26143646 1e-24
 257.26143646 1e-24
 258.26143646 1e-24
 259.26143646 1e-24
 260.26143646 1e-24
 261.26143646 1e-24
 262.26143646 1e-24
 263.26143646 1e-24
 264.26143646 1e-24
 265.26143646 1e-24
 266.26143646 1e-24
 267.26143646 1e-24
 268.26143646 1e-24
 269.26143646 1e-24
 270.26143646 1e-24
 271.26143646 1e-24
 272.26143646 1e-24
 273.26143646 1e-24
 274.26143646 1e-24
 275.26143646 1e-24
 276.26143646 1e-24
 277.26143646 1e-24
 278.26143646 1e-24
 279.26143646 1e-24
 280.26143646 1e-24
 281.26143646 1e-24
 282.26143646 1e-24
 283.26143646 1e-24
 284.26143646 1e-24
 285.26143646 1e-24
 286.26143646 1e-24
 287.26143646 1e-24
 288.26143646 1e-24
 289.26143646 1e-24
 290.26143646 1e-24
 291.26143646 1e-24
 292.26143646 1e-24
 293.26143646 1e-24
 294.26143646 1e-24
 295.26143646 1e-24
 296.26143646 1e-24
 297.26143646 1e-24
 298.26143646 1e-24
 299.26143646 1e-24
 300.26143646 1e-24
 301.26143646 1e-24
 302.26143646 1e-24
 303.26143646 1e-24
 304.26143646 1e-24
 305.26143646 1e-24
 306.26143646 1e-24
 307.26143646 1e-24
 308.26143646 1e-24
 309.26143646 1e-24
 310.26143646 1e-24
 311.26143646 1e-24
 312.26143646 1e-24
 313.26143646 1e-24
 314.26143646 1e-24
 315.26143646 1e-24
 316.26143646 1e-24
 317.26143646 1e-24
 318.26143646 1e-24
 319.26143646 1e-24
 320.26143646 1e-24
 321.26143646 1e-24
 322.26143646 1e-24
 323.26143646 1e-24
 324.26143646 1e-24
 325.26143646 1e-24
 326.26143646 1e-24
 327.26143646 1e-24
 328.26143646 1e-24
 329.26143646 1e-24
 330.26143646 1e-24
 331.26143646 1e-24
 332.26143646 1e-24
 333.26143646 1e-24
 334.26143646 1e-24
 335.26143646 1e-24
 336.26143646 1e-24
 337.26143646 1e-24
