# lambda	flux
 99.02314 0
 100.21784 0
 101.41254 0
 102.60724 0
 103.80194 0
 104.99664 0
 106.19134 0
 107.38604 0
 108.58074 0
 109.77544 0
 110.97014 0
 112.16484 0
 113.35954 0
 114.55424 0
 115.74894 0
 116.94364 0
 118.13834 0
 119.33304 0
 120.52774 0
 121.72244 0
 122.91714 0
 124.11184 0
 125.30654 0
 126.50124 0
 127.69594 0
 128.89064 0
 130.08534 0
 131.28004 0
 132.47474 0
 133.66944 0
 134.86414 0
 136.05884 0
 137.25354 0
 138.44824 0
 139.64294 0
 140.83764 0
 142.03234 0
 143.22704 0
 144.42174 0
 145.61644 0
 146.81114 0
 148.00584 0
 149.20054 0
 150.39524 0
 151.58994 0
 152.78464 0
 153.97934 0
 155.17404 0
 156.36874 0
 157.56344 0
 158.75814 0
 159.95284 0
 161.14754 0
 162.34224 0
 163.53694 0
 164.73164 0
 165.92634 0
 167.12104 0
 168.31574 0
 169.51044 0
 170.70514 0
 171.89984 0
 173.09454 0
 174.28924 0
 175.48394 0
 176.67864 0
 177.87334 0
 179.06804 0
 180.26274 0
 181.45744 0
 182.65214 0
 183.84684 0
 185.04154 0
 186.23624 0
 187.43094 0
 188.62564 0
 189.82034 0
 191.01504 0
 192.20974 0
 193.40444 0
 194.59914 0
 195.79384 0
 196.98854 0
 198.18324 0
 199.37794 0
 200.57264 0
 201.76734 0
 202.96204 0
 204.15674 0
 205.35144 0
 206.54614 0
 207.74084 0
 208.93554 0
 210.13024 0
 211.32494 0
 212.51964 0
 213.71434 0
 214.90904 0
 216.10374 0
 217.29844 0
 218.49314 0
 219.68784 0
 220.88254 0
 222.07724 0
 223.27194 0
 224.46664 0
 225.66134 0
 226.85604 0
 228.05074 0
 229.24544 0
 230.44014 0
 231.63484 0
 232.82954 0
 234.02424 0
 235.21894 0
 236.41364 0
 237.60834 0
 238.80304 0
 239.99774 0
 241.19244 0
 242.38714 0
 243.58184 0
 244.77654 0
 245.97124 0
 247.16594 0
 248.36064 0
 249.55534 0
 250.75004 0
 251.94474 0
 253.13944 0
 254.33414 0
 255.52884 0
 256.72354 0
 257.91824 0
 259.11294 0
 260.30764 0
 261.50234 0
 262.69704 0
 263.89174 0
