# lambda	flux
 97.5655652001 0
 100.19186512 0
 102.81816504 0
 105.44446496 0
 108.07076488 0
 110.6970648 0
 113.32336472 0
 115.94966464 0
 118.57596456 0
 121.20226448 0
 123.8285644 0
 126.45486432 0
 129.08116424 0
 131.70746416 0
 134.33376408 0
 136.960064 0
 139.58636392 0
 142.21266384 0
 144.83896376 0
 147.46526368 0
 150.0915636 0
 152.71786352 0
 155.34416344 0
 157.97046336 0
 160.59676328 0
 163.2230632 0
 165.84936312 0
 168.47566304 0
 171.10196296 0
 173.72826288 0
 176.3545628 0
 178.98086272 0
 181.60716264 0
 184.23346256 0
 186.85976248 0
 189.4860624 0
 192.11236232 0
 194.73866224 0
 197.36496216 0
 199.99126208 0
 202.617562 0
 205.24386192 0
 207.87016184 0
 210.49646176 0
 213.12276168 0
 215.7490616 0
 218.37536152 0
 221.00166144 0
 223.62796136 0
 226.25426128 0
 228.8805612 0
 231.50686112 0
 234.13316104 0
 236.75946096 0
 239.38576088 0
 242.0120608 0
 244.63836072 0
 247.26466064 0
 249.89096056 0
 252.51726048 0
 255.1435604 0
 257.76986032 0
 260.39616024 0
 263.02246016 0
 265.64876008 0
 268.27506 0
 270.90135992 0
 273.52765984 0
 276.15395976 0
 278.78025968 0
 281.4065596 0
 284.03285952 0
 286.65915944 0
 289.28545936 0
 291.91175928 0
 294.5380592 0
 297.16435912 0
 299.79065904 0
 302.41695896 0
 305.04325888 0
 307.6695588 0
 310.29585872 0
 312.92215864 0
 315.54845856 0
 318.17475848 0
 320.8010584 0
 323.42735832 0
 326.05365824 0
 328.67995816 0
 331.30625808 0
 333.932558 0
 336.55885792 0
 339.18515784 0
 341.81145776 0
 344.43775768 0
 347.0640576 0
 349.69035752 0
 352.31665744 0
 354.94295736 0
 357.56925728 0
 360.1955572 0
 362.82185712 0
 365.44815704 0
 368.07445696 0
 370.70075688 0
 373.3270568 0
 375.95335672 0
 378.57965664 0
 381.20595656 0
 383.83225648 0
 386.4585564 0
 389.08485632 0
 391.71115624 0
 394.33745616 0
 396.96375608 0
 399.590056 0
 402.21635592 0
 404.84265584 0
 407.46895576 0
 410.09525568 0
 412.7215556 0
 415.34785552 0
 417.97415544 0
 420.60045536 0
 423.22675528 0
 425.8530552 0
 428.47935512 0
 431.10565504 0
 433.73195496 0
 436.35825488 0
 438.9845548 0
 441.61085472 0
 444.23715464 0
 446.86345456 0
 449.48975448 0
 452.1160544 0
 454.74235432 0
 457.36865424 0
 459.99495416 0
 462.62125408 0
 465.247554 0
 467.87385392 0
 470.50015384 0
 473.12645376 0
 475.75275368 0
 478.3790536 0
 481.00535352 0
 483.63165344 0
 486.25795336 0
 488.88425328 0
 491.5105532 0
 494.13685312 0
 496.76315304 0
 499.38945296 0
 502.01575288 0
 504.6420528 0
 507.26835272 0
 509.89465264 0
 512.52095256 0
 515.14725248 0
 517.7735524 0
 520.39985232 0
 523.02615224 0
 525.65245216 0
 528.27875208 0
 530.905052 0
 533.53135192 0
 536.15765184 0
 538.78395176 0
 541.41025168 0
 544.0365516 0
 546.66285152 0
 549.28915144 0
 551.91545136 0
 554.54175128 0
 557.1680512 0
 559.79435112 0
 562.42065104 0
 565.04695096 0
 567.67325088 0
 570.2995508 0
 572.92585072 0
 575.55215064 0
 578.17845056 0
 580.80475048 0
 583.4310504 0
 586.05735032 0
 588.68365024 0
 591.30995016 0
 593.93625008 0
 596.56255 0
 599.18884992 0
 601.81514984 0
 604.44144976 0
 607.06774968 0
 609.6940496 0
 612.32034952 0
 614.94664944 0
 617.57294936 0
 620.19924928 0
 622.8255492 0
 625.45184912 0
 628.07814904 0
 630.70444896 0
 633.33074888 0
 635.9570488 0
 638.58334872 0
 641.20964864 0
 643.83594856 0
 646.46224848 0
 649.0885484 0
 651.71484832 0
 654.34114824 0
 656.96744816 0
 659.59374808 0
 662.220048 0
 664.84634792 0
 667.47264784 0
 670.09894776 0
 672.72524768 0
 675.3515476 0
 677.97784752 0
 680.60414744 0
 683.23044736 0
 685.85674728 0
 688.4830472 0
 691.10934712 0
 693.73564704 0
 696.36194696 0
 698.98824688 0
 701.6145468 0
 704.24084672 0
 706.86714664 0
 709.49344656 0
 712.11974648 0
 714.7460464 0
 717.37234632 0
 719.99864624 0
 722.62494616 0
 725.25124608 0
 727.877546 0
 730.50384592 0
 733.13014584 0
 735.75644576 0
 738.38274568 0
 741.0090456 0
 743.63534552 0
 746.26164544 0
 748.88794536 0
 751.51424528 0
 754.1405452 0
 756.76684512 0
 759.39314504 0
 762.01944496 0
 764.64574488 0
 767.2720448 0
 769.89834472 0
 772.52464464 0
 775.15094456 0
 777.77724448 0
 780.4035444 0
 783.02984432 0
 785.65614424 0
 788.28244416 0
 790.90874408 0
 793.535044 0
 796.16134392 0
 798.78764384 0
 801.41394376 0
 804.04024368 0
 806.6665436 0
 809.29284352 0
 811.91914344 0
 814.54544336 0
 817.17174328 0
 819.7980432 0
 822.42434312 0
 825.05064304 0
 827.67694296 0
 830.30324288 0
 832.9295428 0
 835.55584272 0
 838.18214264 0
 840.80844256 0
 843.43474248 0
 846.0610424 0
 848.68734232 0
 851.31364224 0
 853.93994216 0
 856.56624208 0
 859.192542 0
 861.81884192 0
 864.44514184 0
 867.07144176 0
 869.69774168 0
 872.3240416 0
 874.95034152 0
 877.57664144 0
 880.20294136 0
 882.82924128 0
 885.4555412 0
 888.08184112 0
 890.70814104 0
 893.33444096 0
 895.96074088 0
 898.5870408 0
 901.21334072 0
 903.83964064 0
 906.46594056 0
 909.09224048 0
 911.7185404 0
 914.34484032 1.61097249743e-21
 916.97114024 3.41531580597e-21
 919.59744016 5.21965911451e-21
 922.22374008 7.02400242304e-21
 924.85004 8.82834573158e-21
 927.47633992 1.06326890401e-20
 930.10263984 1.24370323487e-20
 932.72893976 1.42413756572e-20
 935.35523968 1.60457189657e-20
 937.9815396 1.78500622743e-20
 940.60783952 1.96544055828e-20
 943.23413944 2.14587488913e-20
 945.86043936 2.32630921999e-20
 948.48673928 2.50674355084e-20
 951.1130392 2.68717788169e-20
 953.73933912 2.86761221255e-20
 956.36563904 3.0480465434e-20
 958.99193896 3.22848087426e-20
 961.61823888 3.40891520511e-20
 964.2445388 3.58934953596e-20
 966.87083872 3.76978386682e-20
 969.49713864 3.95021819767e-20
 972.12343856 4.13065252852e-20
 974.74973848 4.31108685938e-20
 977.3760384 4.49152119023e-20
 980.00233832 4.67195552109e-20
 982.62863824 4.85238985194e-20
 985.25493816 5.03282418279e-20
 987.88123808 5.21325851365e-20
 990.507538 5.3936928445e-20
 993.13383792 5.57412717535e-20
 995.76013784 5.75456150621e-20
 998.38643776 5.93499583706e-20
 1001.01273768 6.11543016791e-20
 1003.6390376 6.29586449877e-20
 1006.26533752 6.47629882962e-20
 1008.89163744 6.65673316048e-20
 1011.51793736 6.83716749133e-20
 1014.14423728 7.01760182218e-20
 1016.7705372 7.19803615304e-20
 1019.39683712 7.37847048389e-20
 1022.02313704 7.55890481474e-20
 1024.64943696 7.7393391456e-20
 1027.27573688 7.91977347645e-20
 1029.9020368 8.10020780731e-20
 1032.52833672 8.28064213816e-20
 1035.15463664 8.46107646901e-20
 1037.78093656 8.64151079987e-20
 1040.40723648 8.82194513072e-20
 1043.0335364 9.00237946157e-20
 1045.65983632 9.18281379243e-20
 1048.28613624 9.36324812328e-20
 1050.91243616 9.54368245413e-20
 1053.53873608 9.72411678499e-20
 1056.165036 9.90455111584e-20
 1058.79133592 1.00849854467e-19
 1061.41763584 1.02654197775e-19
 1064.04393576 1.04458541084e-19
 1066.67023568 1.06262884393e-19
 1069.2965356 1.08067227701e-19
 1071.92283552 1.0987157101e-19
 1074.54913544 1.11675914318e-19
 1077.17543536 1.13480257627e-19
 1079.80173528 1.15284600935e-19
 1082.4280352 1.17088944244e-19
 1085.05433512 1.18893287552e-19
 1087.68063504 1.20697630861e-19
 1090.30693496 1.22501974169e-19
