# lambda	flux
 97.56556702 1.729485e-26
 98.56556702 1.729485e-26
 99.56556702 1.729485e-26
 100.56556702 1.729485e-26
 101.56556702 1.729485e-26
 102.56556702 1.729485e-26
 103.56556702 1.729485e-26
 104.56556702 1.729485e-26
 105.56556702 1.729485e-26
 106.56556702 1.729485e-26
 107.56556702 1.729485e-26
 108.56556702 1.729485e-26
 109.56556702 1.729485e-26
 110.56556702 1.729485e-26
 111.56556702 1.729485e-26
 112.56556702 1.729485e-26
 113.56556702 1.729485e-26
 114.56556702 1.729485e-26
 115.56556702 1.729485e-26
 116.56556702 1.729485e-26
 117.56556702 1.729485e-26
 118.56556702 1.729485e-26
 119.56556702 1.729485e-26
 120.56556702 1.729485e-26
 121.56556702 1.729485e-26
 122.56556702 1.729485e-26
 123.56556702 1.729485e-26
 124.56556702 1.729485e-26
 125.56556702 1.729485e-26
 126.56556702 1.729485e-26
 127.56556702 1.729485e-26
 128.56556702 1.729485e-26
 129.56556702 1.729485e-26
 130.56556702 1.729485e-26
 131.56556702 1.729485e-26
 132.56556702 1.729485e-26
 133.56556702 1.729485e-26
 134.56556702 1.729485e-26
 135.56556702 1.729485e-26
 136.56556702 1.729485e-26
 137.56556702 1.729485e-26
 138.56556702 1.729485e-26
 139.56556702 1.729485e-26
 140.56556702 1.729485e-26
 141.56556702 1.729485e-26
 142.56556702 1.729485e-26
 143.56556702 1.729485e-26
 144.56556702 1.729485e-26
 145.56556702 1.729485e-26
 146.56556702 1.729485e-26
 147.56556702 1.729485e-26
 148.56556702 1.729485e-26
 149.56556702 1.729485e-26
 150.56556702 1.729485e-26
 151.56556702 1.729485e-26
 152.56556702 1.729485e-26
 153.56556702 1.729485e-26
 154.56556702 1.729485e-26
 155.56556702 1.729485e-26
 156.56556702 1.729485e-26
 157.56556702 1.729485e-26
 158.56556702 1.729485e-26
 159.56556702 1.729485e-26
 160.56556702 1.729485e-26
 161.56556702 1.729485e-26
 162.56556702 1.729485e-26
 163.56556702 1.729485e-26
 164.56556702 1.729485e-26
 165.56556702 1.729485e-26
 166.56556702 1.729485e-26
 167.56556702 1.729485e-26
 168.56556702 1.729485e-26
 169.56556702 1.729485e-26
 170.56556702 1.729485e-26
 171.56556702 1.729485e-26
 172.56556702 1.729485e-26
 173.56556702 1.729485e-26
 174.56556702 1.729485e-26
 175.56556702 1.729485e-26
 176.56556702 1.729485e-26
 177.56556702 1.729485e-26
 178.56556702 1.729485e-26
 179.56556702 1.729485e-26
 180.56556702 1.729485e-26
 181.56556702 1.729485e-26
 182.56556702 1.729485e-26
 183.56556702 1.729485e-26
 184.56556702 1.729485e-26
 185.56556702 1.729485e-26
 186.56556702 1.729485e-26
 187.56556702 1.729485e-26
 188.56556702 1.729485e-26
 189.56556702 1.729485e-26
 190.56556702 1.729485e-26
 191.56556702 1.729485e-26
 192.56556702 1.729485e-26
 193.56556702 1.729485e-26
 194.56556702 1.729485e-26
 195.56556702 1.729485e-26
 196.56556702 1.729485e-26
 197.56556702 1.729485e-26
 198.56556702 1.729485e-26
 199.56556702 1.729485e-26
 200.56556702 1.729485e-26
 201.56556702 1.729485e-26
 202.56556702 1.729485e-26
 203.56556702 1.729485e-26
 204.56556702 1.729485e-26
 205.56556702 1.729485e-26
 206.56556702 1.729485e-26
 207.56556702 1.729485e-26
 208.56556702 1.729485e-26
 209.56556702 1.729485e-26
 210.56556702 1.729485e-26
 211.56556702 1.729485e-26
 212.56556702 1.729485e-26
 213.56556702 1.729485e-26
 214.56556702 1.729485e-26
 215.56556702 1.729485e-26
 216.56556702 1.729485e-26
 217.56556702 1.729485e-26
 218.56556702 1.729485e-26
 219.56556702 1.729485e-26
 220.56556702 1.729485e-26
 221.56556702 1.729485e-26
 222.56556702 1.729485e-26
 223.56556702 1.729485e-26
 224.56556702 1.729485e-26
 225.56556702 1.729485e-26
 226.56556702 1.729485e-26
 227.56556702 1.729485e-26
 228.56556702 1.729485e-26
 229.56556702 1.729485e-26
 230.56556702 1.729485e-26
 231.56556702 1.729485e-26
 232.56556702 1.729485e-26
 233.56556702 1.729485e-26
 234.56556702 1.729485e-26
 235.56556702 1.729485e-26
